Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Термосы и термокружки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;387;0,0000049;
февраль 2018;533;0,0000068;
март 2018;427;0,0000050;
апрель 2018;490;0,0000064;
май 2018;613;0,0000081;
июнь 2018;485;0,0000069;
июль 2018;430;0,0000061;
август 2018;482;0,0000068;
сентябрь 2018;454;0,0000057;
октябрь 2018;565;0,0000061;
ноябрь 2018;431;0,0000050;
декабрь 2018;706;0,0000082;
январь 2019;774;0,0000087;
февраль 2019;558;0,0000066;
март 2019;315;0,0000035;
апрель 2019;166;0,0000020;
май 2019;223;0,0000028;
июнь 2019;194;0,0000026;
июль 2019;229;0,0000031;
август 2019;280;0,0000038;
сентябрь 2019;1 221;0,0000155;
октябрь 2019;2 500;0,0000282;
ноябрь 2019;2 306;0,0000259;
декабрь 2019;4 711;0,0000507;
январь 2020;3 817;0,0000392;
февраль 2020;2 199;0,0000239;
март 2020;2 134;0,0000217;
апрель 2020;1 728;0,0000144;
май 2020;1 277;0,0000119;
июнь 2020;1 469;0,0000164;
июль 2020;638;0,0000075;
август 2020;177;0,0000021;
сентябрь 2020;423;0,0000044;
октябрь 2020;390;0,0000036;
ноябрь 2020;468;0,0000040;
декабрь 2020;540;0,0000048;
январь 2021;440;0,0000042;
февраль 2021;649;0,0000064;
март 2021;387;0,0000035;
апрель 2021;261;0,0000024;
май 2021;228;0,0000022;
июнь 2021;390;0,0000039;
июль 2021;910;0,0000093;
август 2021;286;0,0000028;
сентябрь 2021;495;0,0000046;
октябрь 2021;400;0,0000035;
ноябрь 2021;331;0,0000028;
декабрь 2021;999;0,0000084;
январь 2022;454;0,0000038;
февраль 2022;577;0,0000048;
март 2022;368;0,0000028;
апрель 2022;309;0,0000025;
май 2022;270;0,0000022;
июнь 2022;292;0,0000027;
июль 2022;328;0,0000031;
август 2022;452;0,0000041;
сентябрь 2022;428;0,0000036;
октябрь 2022;367;0,0000029;
ноябрь 2022;543;0,0000043;
декабрь 2022;658;0,0000052;
январь 2023;435;0,0000035;
февраль 2023;524;0,0000045;
март 2023;425;0,0000034;
апрель 2023;277;0,0000023;
май 2023;352;0,0000031;
июнь 2023;464;0,0000045;
июль 2023;331;0,0000032;
август 2023;461;0,0000045;
сентябрь 2023;598;0,0000055;
октябрь 2023;769;0,0000064;
ноябрь 2023;627;0,0000053;
декабрь 2023;693;0,0000058;
январь 2024;533;0,0000044;
февраль 2024;805;0,0000071;
март 2024;505;0,0000043;
апрель 2024;441;0,0000040;
май 2024;545;0,0000051;
июнь 2024;385;0,0000041;
июль 2024;401;0,0000043;
август 2024;313;0,0000033;
сентябрь 2024;408;0,0000041;
октябрь 2024;645;0,0000057;
ноябрь 2024;622;0,0000053;
декабрь 2024;830;0,0000069;
январь 2025;659;0,0000055;
февраль 2025;773;0,0000067;
март 2025;479;0,0000039;
апрель 2025;330;0,0000028;
май 2025;284;0,0000026;
июнь 2025;317;0,0000030;
