Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Углы внешние», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;60 045;0,00077;
февраль 2018;119 297;0,00153;
март 2018;146 356;0,00174;
апрель 2018;126 549;0,00167;
май 2018;156 037;0,00207;
июнь 2018;31 449;0,00045;
июль 2018;22 099;0,00031;
август 2018;25 020;0,00035;
сентябрь 2018;79 237;0,00099;
октябрь 2018;72 621;0,00078;
ноябрь 2018;63 000;0,00074;
декабрь 2018;67 664;0,00079;
январь 2019;77 489;0,00088;
февраль 2019;153 711;0,00183;
март 2019;175 251;0,00199;
апрель 2019;154 400;0,00186;
май 2019;166 191;0,00210;
июнь 2019;38 293;0,00052;
июль 2019;27 462;0,00037;
август 2019;29 321;0,00040;
сентябрь 2019;83 753;0,00106;
октябрь 2019;74 921;0,00084;
ноябрь 2019;80 905;0,00091;
декабрь 2019;87 984;0,00094;
январь 2020;91 168;0,00093;
февраль 2020;185 028;0,00201;
март 2020;233 639;0,00237;
апрель 2020;560 595;0,00469;
май 2020;392 603;0,00366;
июнь 2020;46 241;0,00051;
июль 2020;36 148;0,00042;
август 2020;39 568;0,00047;
сентябрь 2020;146 819;0,00154;
октябрь 2020;111 505;0,00103;
ноябрь 2020;106 623;0,00093;
декабрь 2020;123 607;0,00111;
январь 2021;108 293;0,00103;
февраль 2021;237 865;0,00237;
март 2021;352 687;0,00323;
апрель 2021;312 672;0,00290;
май 2021;267 335;0,00259;
июнь 2021;56 339;0,00056;
июль 2021;40 599;0,00041;
август 2021;48 040;0,00047;
сентябрь 2021;142 603;0,00133;
октябрь 2021;161 960;0,00142;
ноябрь 2021;109 786;0,00094;
декабрь 2021;129 292;0,00109;
январь 2022;137 217;0,00115;
февраль 2022;319 533;0,00270;
март 2022;357 820;0,00280;
апрель 2022;303 210;0,00253;
май 2022;341 411;0,00286;
июнь 2022;58 253;0,00054;
июль 2022;47 264;0,00045;
август 2022;56 563;0,00052;
сентябрь 2022;189 965;0,00162;
октябрь 2022;138 620;0,00112;
ноябрь 2022;118 060;0,00093;
декабрь 2022;130 936;0,00104;
январь 2023;155 456;0,00126;
февраль 2023;289 695;0,00253;
март 2023;409 645;0,00329;
апрель 2023;378 104;0,00327;
май 2023;357 573;0,00316;
июнь 2023;69 040;0,00067;
июль 2023;46 808;0,00046;
август 2023;52 339;0,00052;
сентябрь 2023;148 414;0,00138;
октябрь 2023;141 423;0,00118;
ноябрь 2023;133 072;0,00113;
декабрь 2023;172 265;0,00144;
январь 2024;192 904;0,00160;
февраль 2024;347 969;0,00309;
март 2024;413 515;0,00358;
апрель 2024;408 924;0,00376;
май 2024;338 519;0,00317;
июнь 2024;59 621;0,00063;
июль 2024;47 052;0,00050;
август 2024;55 509;0,00059;
сентябрь 2024;146 882;0,00147;
октябрь 2024;156 826;0,00139;
ноябрь 2024;159 134;0,00136;
декабрь 2024;195 101;0,00162;
январь 2025;223 624;0,00188;
февраль 2025;379 571;0,00332;
март 2025;539 662;0,00450;
апрель 2025;708 188;0,00621;
май 2025;358 763;0,00336;
июнь 2025;78 031;0,00073;
