Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Угольники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;102 262;0,00131;
февраль 2018;117 636;0,00151;
март 2018;105 994;0,00126;
апрель 2018;93 794;0,00123;
май 2018;90 714;0,00120;
июнь 2018;61 087;0,00088;
июль 2018;59 667;0,00085;
август 2018;62 174;0,00088;
сентябрь 2018;102 722;0,00129;
октябрь 2018;127 979;0,00138;
ноябрь 2018;109 584;0,00128;
декабрь 2018;109 743;0,00128;
январь 2019;127 817;0,00145;
февраль 2019;147 001;0,00175;
март 2019;133 971;0,00152;
апрель 2019;134 093;0,00162;
май 2019;109 312;0,00138;
июнь 2019;70 488;0,00097;
июль 2019;70 553;0,00095;
август 2019;73 667;0,00101;
сентябрь 2019;116 602;0,00148;
октябрь 2019;138 021;0,00156;
ноябрь 2019;131 957;0,00148;
декабрь 2019;133 311;0,00143;
январь 2020;148 668;0,00152;
февраль 2020;168 687;0,00183;
март 2020;149 563;0,00152;
апрель 2020;284 186;0,00237;
май 2020;228 938;0,00213;
июнь 2020;116 567;0,00130;
июль 2020;98 639;0,00117;
август 2020;92 650;0,00110;
сентябрь 2020;164 861;0,00173;
октябрь 2020;187 943;0,00174;
ноябрь 2020;235 772;0,00205;
декабрь 2020;203 408;0,00184;
январь 2021;176 824;0,00169;
февраль 2021;198 671;0,00198;
март 2021;203 727;0,00187;
апрель 2021;191 288;0,00177;
май 2021;160 627;0,00155;
июнь 2021;107 835;0,00108;
июль 2021;103 793;0,00106;
август 2021;112 090;0,00111;
сентябрь 2021;182 416;0,00170;
октябрь 2021;216 559;0,00190;
ноябрь 2021;200 016;0,00172;
декабрь 2021;195 569;0,00165;
январь 2022;200 075;0,00167;
февраль 2022;225 256;0,00190;
март 2022;201 359;0,00157;
апрель 2022;191 889;0,00160;
май 2022;185 287;0,00155;
июнь 2022;116 831;0,00109;
июль 2022;107 004;0,00102;
август 2022;116 591;0,00108;
сентябрь 2022;184 406;0,00157;
октябрь 2022;246 503;0,00199;
ноябрь 2022;201 692;0,00159;
декабрь 2022;211 404;0,00168;
январь 2023;208 614;0,00169;
февраль 2023;212 707;0,00186;
март 2023;218 739;0,00175;
апрель 2023;197 854;0,00171;
май 2023;204 051;0,00180;
июнь 2023;123 803;0,00120;
июль 2023;112 702;0,00111;
август 2023;117 363;0,00116;
сентябрь 2023;191 758;0,00178;
октябрь 2023;278 799;0,00233;
ноябрь 2023;215 618;0,00183;
декабрь 2023;210 080;0,00175;
январь 2024;211 426;0,00175;
февраль 2024;236 226;0,00210;
март 2024;228 672;0,00198;
апрель 2024;230 583;0,00212;
май 2024;207 233;0,00194;
июнь 2024;118 847;0,00127;
июль 2024;116 767;0,00125;
август 2024;116 185;0,00124;
сентябрь 2024;206 481;0,00207;
октябрь 2024;228 746;0,00203;
ноябрь 2024;243 867;0,00209;
декабрь 2024;239 697;0,00199;
январь 2025;231 547;0,00195;
февраль 2025;254 313;0,00222;
март 2025;249 057;0,00207;
апрель 2025;265 735;0,00233;
май 2025;218 415;0,00204;
июнь 2025;139 484;0,00132;
