Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Формы для выпечки и противни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;29;0,00000037;
февраль 2018;29;0,00000037;
март 2018;41;0,00000048;
апрель 2018;17;0,00000022;
май 2018;24;0,00000031;
июнь 2018;28;0,00000040;
июль 2018;17;0,00000024;
август 2018;25;0,00000035;
сентябрь 2018;23;0,00000029;
октябрь 2018;58;0,00000062;
ноябрь 2018;21;0,00000024;
декабрь 2018;31;0,00000036;
январь 2019;39;0,00000044;
февраль 2019;79;0,00000094;
март 2019;51;0,00000058;
апрель 2019;24;0,00000029;
май 2019;22;0,00000027;
июнь 2019;39;0,00000053;
июль 2019;45;0,00000061;
август 2019;112;0,00000154;
сентябрь 2019;97;0,00000123;
октябрь 2019;37;0,00000041;
ноябрь 2019;61;0,00000068;
декабрь 2019;28;0,00000030;
январь 2020;54;0,00000055;
февраль 2020;46;0,00000050;
март 2020;40;0,00000040;
апрель 2020;102;0,00000085;
май 2020;78;0,00000072;
июнь 2020;40;0,00000044;
июль 2020;17;0,00000020;
август 2020;42;0,00000050;
сентябрь 2020;30;0,00000031;
октябрь 2020;83;0,00000077;
ноябрь 2020;129;0,00000112;
декабрь 2020;62;0,00000056;
январь 2021;54;0,00000051;
февраль 2021;33;0,00000033;
март 2021;64;0,00000058;
апрель 2021;41;0,00000038;
май 2021;59;0,00000057;
июнь 2021;47;0,00000047;
июль 2021;46;0,00000047;
август 2021;32;0,00000031;
сентябрь 2021;48;0,00000044;
октябрь 2021;75;0,00000065;
ноябрь 2021;42;0,00000036;
декабрь 2021;65;0,00000054;
январь 2022;74;0,00000062;
февраль 2022;79;0,00000066;
март 2022;50;0,00000039;
апрель 2022;31;0,00000025;
май 2022;39;0,00000032;
июнь 2022;29;0,00000027;
июль 2022;29;0,00000027;
август 2022;22;0,00000020;
сентябрь 2022;46;0,00000039;
октябрь 2022;64;0,00000051;
ноябрь 2022;69;0,00000054;
декабрь 2022;41;0,00000032;
январь 2023;49;0,00000039;
февраль 2023;66;0,00000057;
март 2023;70;0,00000056;
апрель 2023;38;0,00000032;
май 2023;43;0,00000038;
июнь 2023;40;0,00000039;
июль 2023;45;0,00000044;
август 2023;35;0,00000034;
сентябрь 2023;33;0,00000030;
октябрь 2023;34;0,00000028;
ноябрь 2023;55;0,00000046;
декабрь 2023;55;0,00000046;
январь 2024;45;0,00000037;
февраль 2024;51;0,00000045;
март 2024;36;0,00000031;
апрель 2024;35;0,00000032;
май 2024;75;0,00000070;
июнь 2024;27;0,00000028;
июль 2024;16;0,00000017;
август 2024;28;0,00000029;
сентябрь 2024;26;0,00000026;
октябрь 2024;42;0,00000037;
ноябрь 2024;58;0,00000049;
декабрь 2024;69;0,00000057;
январь 2025;63;0,00000053;
февраль 2025;49;0,00000042;
март 2025;56;0,00000046;
апрель 2025;60;0,00000052;
май 2025;31;0,00000029;
июнь 2025;31;0,00000029;
