Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры сетевые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;71 267;0,00091;
февраль 2018;64 871;0,00083;
март 2018;65 718;0,00078;
апрель 2018;60 990;0,00080;
май 2018;58 812;0,00078;
июнь 2018;55 274;0,00079;
июль 2018;60 902;0,00087;
август 2018;66 966;0,00094;
сентябрь 2018;67 122;0,00084;
октябрь 2018;82 891;0,00089;
ноябрь 2018;78 076;0,00091;
декабрь 2018;79 032;0,00092;
январь 2019;73 879;0,00083;
февраль 2019;72 856;0,00086;
март 2019;73 808;0,00084;
апрель 2019;64 948;0,00078;
май 2019;58 966;0,00074;
июнь 2019;58 926;0,00081;
июль 2019;64 732;0,00088;
август 2019;71 709;0,00098;
сентябрь 2019;73 007;0,00092;
октябрь 2019;82 007;0,00092;
ноябрь 2019;85 755;0,00096;
декабрь 2019;95 429;0,00102;
январь 2020;91 703;0,00094;
февраль 2020;83 413;0,00090;
март 2020;80 179;0,00081;
апрель 2020;69 939;0,00058;
май 2020;78 283;0,00072;
июнь 2020;78 188;0,00087;
июль 2020;80 380;0,00095;
август 2020;77 882;0,00092;
сентябрь 2020;85 512;0,00090;
октябрь 2020;88 579;0,00082;
ноябрь 2020;97 838;0,00085;
декабрь 2020;109 520;0,00099;
январь 2021;95 893;0,00091;
февраль 2021;94 185;0,00094;
март 2021;100 534;0,00092;
апрель 2021;91 857;0,00085;
май 2021;86 537;0,00083;
июнь 2021;88 739;0,00089;
июль 2021;92 934;0,00095;
август 2021;102 353;0,00102;
сентябрь 2021;113 597;0,00106;
октябрь 2021;106 968;0,00094;
ноябрь 2021;114 307;0,00098;
декабрь 2021;126 678;0,00106;
январь 2022;117 877;0,00098;
февраль 2022;102 954;0,00087;
март 2022;108 948;0,00085;
апрель 2022;97 447;0,00081;
май 2022;99 618;0,00083;
июнь 2022;97 104;0,00090;
июль 2022;101 566;0,00097;
август 2022;111 696;0,00103;
сентябрь 2022;110 292;0,00094;
октябрь 2022;111 581;0,00090;
ноябрь 2022;127 800;0,00101;
декабрь 2022;133 348;0,00106;
январь 2023;127 226;0,00103;
февраль 2023;114 826;0,00100;
март 2023;119 369;0,00095;
апрель 2023;103 004;0,00089;
май 2023;107 100;0,00094;
июнь 2023;104 389;0,00101;
июль 2023;105 416;0,00104;
август 2023;116 299;0,00115;
сентябрь 2023;114 144;0,00106;
октябрь 2023;137 562;0,00115;
ноябрь 2023;136 501;0,00116;
декабрь 2023;139 983;0,00117;
январь 2024;138 020;0,00114;
февраль 2024;130 488;0,00116;
март 2024;123 012;0,00106;
апрель 2024;111 942;0,00103;
май 2024;119 918;0,00112;
июнь 2024;103 967;0,00111;
июль 2024;114 163;0,00122;
август 2024;107 461;0,00114;
сентябрь 2024;109 479;0,00110;
октябрь 2024;127 785;0,00113;
ноябрь 2024;135 258;0,00116;
декабрь 2024;147 774;0,00123;
январь 2025;133 403;0,00112;
февраль 2025;131 516;0,00115;
март 2025;131 601;0,00109;
апрель 2025;112 475;0,00098;
май 2025;103 681;0,00097;
июнь 2025;110 355;0,00104;
