Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мясорубки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;553 270;0,0071;
февраль 2018;498 988;0,0064;
март 2018;527 339;0,0062;
апрель 2018;370 739;0,0048;
май 2018;334 567;0,0044;
июнь 2018;366 466;0,0052;
июль 2018;493 304;0,0070;
август 2018;709 869;0,0100;
сентябрь 2018;788 848;0,0099;
октябрь 2018;707 569;0,0076;
ноябрь 2018;702 715;0,0082;
декабрь 2018;772 315;0,0090;
январь 2019;644 815;0,0073;
февраль 2019;576 180;0,0068;
март 2019;563 499;0,0064;
апрель 2019;397 391;0,0048;
май 2019;357 727;0,0045;
июнь 2019;380 344;0,0052;
июль 2019;557 445;0,0075;
август 2019;768 994;0,0105;
сентябрь 2019;817 615;0,0103;
октябрь 2019;684 937;0,0077;
ноябрь 2019;682 419;0,0076;
декабрь 2019;740 819;0,0079;
январь 2020;685 695;0,0070;
февраль 2020;632 724;0,0068;
март 2020;581 964;0,0059;
апрель 2020;527 828;0,0044;
май 2020;560 024;0,0052;
июнь 2020;539 834;0,0060;
июль 2020;710 121;0,0084;
август 2020;1 043 862;0,0124;
сентябрь 2020;1 087 691;0,0114;
октябрь 2020;894 461;0,0083;
ноябрь 2020;921 027;0,0080;
декабрь 2020;929 981;0,0084;
январь 2021;763 191;0,0073;
февраль 2021;702 523;0,0070;
март 2021;664 788;0,0061;
апрель 2021;545 946;0,0050;
май 2021;483 834;0,0046;
июнь 2021;513 181;0,0051;
июль 2021;762 808;0,0078;
август 2021;1 177 977;0,0117;
сентябрь 2021;1 132 148;0,0105;
октябрь 2021;915 005;0,0080;
ноябрь 2021;908 371;0,0078;
декабрь 2021;945 062;0,0079;
январь 2022;816 945;0,0068;
февраль 2022;735 711;0,0062;
март 2022;788 747;0,0061;
апрель 2022;605 467;0,0050;
май 2022;582 535;0,0048;
июнь 2022;579 428;0,0054;
июль 2022;788 331;0,0075;
август 2022;1 182 809;0,0109;
сентябрь 2022;1 156 691;0,0098;
октябрь 2022;966 414;0,0078;
ноябрь 2022;892 029;0,0070;
декабрь 2022;902 751;0,0071;
январь 2023;727 101;0,0058;
февраль 2023;682 303;0,0059;
март 2023;670 831;0,0053;
апрель 2023;509 622;0,0044;
май 2023;518 137;0,0045;
июнь 2023;754 437;0,0073;
июль 2023;766 174;0,0075;
август 2023;990 565;0,0098;
сентябрь 2023;1 087 394;0,0101;
октябрь 2023;938 736;0,0078;
ноябрь 2023;820 943;0,0069;
декабрь 2023;836 836;0,0070;
январь 2024;720 316;0,0059;
февраль 2024;686 814;0,0061;
март 2024;624 493;0,0054;
апрель 2024;489 043;0,0045;
май 2024;493 935;0,0046;
июнь 2024;479 044;0,0051;
июль 2024;599 890;0,0064;
август 2024;845 230;0,0090;
сентябрь 2024;864 465;0,0087;
октябрь 2024;760 972;0,0067;
ноябрь 2024;753 770;0,0064;
декабрь 2024;796 737;0,0066;
январь 2025;675 954;0,0056;
февраль 2025;637 209;0,0055;
март 2025;593 808;0,0049;
апрель 2025;460 227;0,0040;
май 2025;444 202;0,0041;
июнь 2025;492 619;0,0046;
