Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Оцинкованные листы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;39 571;0,00050;
февраль 2018;50 956;0,00065;
март 2018;58 166;0,00069;
апрель 2018;63 555;0,00083;
май 2018;70 059;0,00093;
июнь 2018;65 239;0,00094;
июль 2018;74 121;0,00106;
август 2018;77 160;0,00109;
сентябрь 2018;65 719;0,00082;
октябрь 2018;72 827;0,00079;
ноябрь 2018;50 208;0,00059;
декабрь 2018;38 222;0,00044;
январь 2019;38 083;0,00043;
февраль 2019;45 357;0,00054;
март 2019;53 859;0,00061;
апрель 2019;64 074;0,00077;
май 2019;60 422;0,00076;
июнь 2019;57 848;0,00079;
июль 2019;66 505;0,00090;
август 2019;60 493;0,00083;
сентябрь 2019;62 239;0,00079;
октябрь 2019;61 812;0,00069;
ноябрь 2019;56 393;0,00063;
декабрь 2019;41 283;0,00044;
январь 2020;45 484;0,00046;
февраль 2020;49 104;0,00053;
март 2020;55 887;0,00056;
апрель 2020;58 156;0,00048;
май 2020;78 119;0,00072;
июнь 2020;73 555;0,00082;
июль 2020;69 220;0,00082;
август 2020;66 664;0,00079;
сентябрь 2020;65 952;0,00069;
октябрь 2020;63 807;0,00059;
ноябрь 2020;54 845;0,00047;
декабрь 2020;47 392;0,00042;
январь 2021;42 347;0,00040;
февраль 2021;49 316;0,00049;
март 2021;64 257;0,00059;
апрель 2021;85 200;0,00079;
май 2021;87 247;0,00084;
июнь 2021;96 922;0,00097;
июль 2021;92 025;0,00094;
август 2021;93 056;0,00092;
сентябрь 2021;84 482;0,00078;
октябрь 2021;71 136;0,00062;
ноябрь 2021;60 060;0,00051;
декабрь 2021;50 016;0,00042;
январь 2022;44 418;0,00037;
февраль 2022;54 148;0,00045;
март 2022;70 033;0,00054;
апрель 2022;83 801;0,00070;
май 2022;89 628;0,00075;
июнь 2022;88 250;0,00082;
июль 2022;84 763;0,00081;
август 2022;83 803;0,00077;
сентябрь 2022;69 546;0,00059;
октябрь 2022;63 371;0,00051;
ноябрь 2022;55 485;0,00043;
декабрь 2022;40 771;0,00032;
январь 2023;39 731;0,00032;
февраль 2023;46 200;0,00040;
март 2023;66 310;0,00053;
апрель 2023;73 201;0,00063;
май 2023;77 500;0,00068;
июнь 2023;75 049;0,00073;
июль 2023;78 514;0,00077;
август 2023;79 262;0,00078;
сентябрь 2023;74 365;0,00069;
октябрь 2023;72 335;0,00060;
ноябрь 2023;59 387;0,00050;
декабрь 2023;40 998;0,00034;
январь 2024;40 125;0,00033;
февраль 2024;50 804;0,00045;
март 2024;61 293;0,00053;
апрель 2024;78 427;0,00072;
май 2024;78 327;0,00073;
июнь 2024;75 268;0,00080;
июль 2024;78 649;0,00084;
август 2024;77 596;0,00082;
сентябрь 2024;71 820;0,00072;
октябрь 2024;69 619;0,00062;
ноябрь 2024;58 004;0,00049;
декабрь 2024;51 775;0,00043;
январь 2025;48 196;0,00040;
февраль 2025;55 013;0,00048;
март 2025;65 881;0,00054;
апрель 2025;71 484;0,00062;
май 2025;70 468;0,00066;
июнь 2025;82 302;0,00077;
