Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вантузы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;20 741;0,00026;
февраль 2018;23 053;0,00029;
март 2018;24 457;0,00029;
апрель 2018;21 371;0,00028;
май 2018;20 749;0,00027;
июнь 2018;23 742;0,00034;
июль 2018;22 568;0,00032;
август 2018;20 808;0,00029;
сентябрь 2018;22 169;0,00027;
октябрь 2018;30 604;0,00033;
ноябрь 2018;23 776;0,00027;
декабрь 2018;25 698;0,00030;
январь 2019;26 403;0,00029;
февраль 2019;26 272;0,00031;
март 2019;25 724;0,00029;
апрель 2019;22 663;0,00027;
май 2019;21 440;0,00027;
июнь 2019;22 100;0,00030;
июль 2019;22 587;0,00030;
август 2019;22 343;0,00030;
сентябрь 2019;22 893;0,00029;
октябрь 2019;26 045;0,00029;
ноябрь 2019;25 044;0,00028;
декабрь 2019;26 601;0,00028;
январь 2020;28 088;0,00028;
февраль 2020;26 810;0,00029;
март 2020;32 602;0,00033;
апрель 2020;29 673;0,00024;
май 2020;29 850;0,00027;
июнь 2020;29 241;0,00032;
июль 2020;28 356;0,00033;
август 2020;28 069;0,00033;
сентябрь 2020;28 069;0,00029;
октябрь 2020;31 799;0,00029;
ноябрь 2020;36 760;0,00032;
декабрь 2020;33 278;0,00030;
январь 2021;33 880;0,00032;
февраль 2021;33 141;0,00033;
март 2021;36 993;0,00033;
апрель 2021;34 015;0,00031;
май 2021;30 692;0,00029;
июнь 2021;31 774;0,00032;
июль 2021;33 296;0,00034;
август 2021;34 459;0,00034;
сентябрь 2021;34 829;0,00032;
октябрь 2021;35 057;0,00030;
ноябрь 2021;36 275;0,00031;
декабрь 2021;39 008;0,00032;
январь 2022;39 498;0,00033;
февраль 2022;37 257;0,00031;
март 2022;38 366;0,00030;
апрель 2022;36 960;0,00030;
май 2022;38 247;0,00032;
июнь 2022;36 134;0,00033;
июль 2022;37 801;0,00036;
август 2022;38 663;0,00035;
сентябрь 2022;36 301;0,00031;
октябрь 2022;39 782;0,00032;
ноябрь 2022;42 849;0,00033;
декабрь 2022;42 597;0,00033;
январь 2023;43 925;0,00035;
февраль 2023;39 454;0,00034;
март 2023;61 816;0,00049;
апрель 2023;48 155;0,00041;
май 2023;43 521;0,00038;
июнь 2023;79 068;0,00077;
июль 2023;56 403;0,00055;
август 2023;69 423;0,00069;
сентябрь 2023;82 130;0,00076;
октябрь 2023;92 877;0,00077;
ноябрь 2023;87 933;0,00074;
декабрь 2023;77 279;0,00064;
январь 2024;65 628;0,00054;
февраль 2024;62 440;0,00055;
март 2024;63 483;0,00055;
апрель 2024;49 111;0,00045;
май 2024;49 981;0,00046;
июнь 2024;45 541;0,00048;
июль 2024;43 240;0,00046;
август 2024;42 620;0,00045;
сентябрь 2024;39 889;0,00040;
октябрь 2024;44 340;0,00039;
ноябрь 2024;47 683;0,00041;
декабрь 2024;49 089;0,00040;
январь 2025;47 495;0,00040;
февраль 2025;44 530;0,00039;
март 2025;45 141;0,00037;
апрель 2025;40 385;0,00035;
май 2025;39 826;0,00037;
июнь 2025;43 302;0,00041;
