Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полотенца для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 274;0,000119;
февраль 2018;8 516;0,000109;
март 2018;8 746;0,000104;
апрель 2018;7 892;0,000104;
май 2018;7 882;0,000104;
июнь 2018;8 381;0,000120;
июль 2018;9 243;0,000132;
август 2018;10 644;0,000150;
сентябрь 2018;10 767;0,000135;
октябрь 2018;12 213;0,000132;
ноябрь 2018;11 297;0,000132;
декабрь 2018;9 581;0,000112;
январь 2019;10 828;0,000122;
февраль 2019;10 362;0,000123;
март 2019;10 510;0,000119;
апрель 2019;8 395;0,000101;
май 2019;8 178;0,000103;
июнь 2019;8 614;0,000118;
июль 2019;11 024;0,000149;
август 2019;11 370;0,000156;
сентябрь 2019;11 617;0,000147;
октябрь 2019;13 463;0,000152;
ноябрь 2019;13 252;0,000149;
декабрь 2019;11 695;0,000126;
январь 2020;13 510;0,000138;
февраль 2020;12 798;0,000139;
март 2020;11 046;0,000112;
апрель 2020;10 357;0,000086;
май 2020;13 649;0,000127;
июнь 2020;13 020;0,000145;
июль 2020;14 406;0,000171;
август 2020;15 353;0,000183;
сентябрь 2020;16 247;0,000171;
октябрь 2020;18 240;0,000169;
ноябрь 2020;19 639;0,000171;
декабрь 2020;18 053;0,000163;
январь 2021;18 566;0,000177;
февраль 2021;17 520;0,000175;
март 2021;16 887;0,000155;
апрель 2021;15 195;0,000140;
май 2021;14 701;0,000142;
июнь 2021;15 256;0,000153;
июль 2021;18 011;0,000185;
август 2021;21 972;0,000219;
сентябрь 2021;22 697;0,000211;
октябрь 2021;20 732;0,000182;
ноябрь 2021;20 989;0,000181;
декабрь 2021;20 001;0,000168;
январь 2022;21 222;0,000178;
февраль 2022;19 090;0,000161;
март 2022;18 265;0,000143;
апрель 2022;17 235;0,000144;
май 2022;16 892;0,000141;
июнь 2022;15 519;0,000144;
июль 2022;17 876;0,000171;
август 2022;19 678;0,000182;
сентябрь 2022;18 121;0,000155;
октябрь 2022;18 828;0,000152;
ноябрь 2022;18 808;0,000149;
декабрь 2022;16 764;0,000133;
январь 2023;17 938;0,000145;
февраль 2023;16 148;0,000141;
март 2023;16 380;0,000131;
апрель 2023;13 420;0,000116;
май 2023;14 148;0,000125;
июнь 2023;14 897;0,000145;
июль 2023;17 339;0,000171;
август 2023;17 904;0,000178;
сентябрь 2023;18 255;0,000169;
октябрь 2023;21 007;0,000176;
ноябрь 2023;21 713;0,000185;
декабрь 2023;19 046;0,000159;
январь 2024;19 596;0,000162;
февраль 2024;18 165;0,000161;
март 2024;16 752;0,000145;
апрель 2024;14 566;0,000134;
май 2024;14 692;0,000137;
июнь 2024;14 027;0,000150;
июль 2024;15 753;0,000169;
август 2024;16 259;0,000173;
сентябрь 2024;14 782;0,000148;
октябрь 2024;16 487;0,000146;
ноябрь 2024;16 259;0,000139;
декабрь 2024;16 067;0,000133;
январь 2025;16 468;0,000138;
февраль 2025;14 743;0,000129;
март 2025;14 150;0,000118;
апрель 2025;11 984;0,000105;
май 2025;12 201;0,000114;
июнь 2025;13 238;0,000125;
