Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пресс», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 831 404;0,023;
февраль 2018;1 912 425;0,024;
март 2018;2 141 069;0,025;
апрель 2018;1 791 944;0,023;
май 2018;1 702 433;0,022;
июнь 2018;1 689 109;0,024;
июль 2018;1 744 120;0,024;
август 2018;1 690 568;0,023;
сентябрь 2018;2 108 816;0,026;
октябрь 2018;2 302 405;0,024;
ноябрь 2018;1 844 300;0,021;
декабрь 2018;2 240 704;0,026;
январь 2019;1 977 825;0,022;
февраль 2019;2 014 205;0,024;
март 2019;2 090 989;0,023;
апрель 2019;1 854 124;0,022;
май 2019;1 700 902;0,021;
июнь 2019;1 789 468;0,024;
июль 2019;1 765 361;0,024;
август 2019;1 698 834;0,023;
сентябрь 2019;1 689 231;0,021;
октябрь 2019;1 927 979;0,021;
ноябрь 2019;1 875 457;0,021;
декабрь 2019;2 404 473;0,025;
январь 2020;2 147 085;0,022;
февраль 2020;2 143 388;0,023;
март 2020;2 322 895;0,023;
апрель 2020;2 864 082;0,023;
май 2020;2 457 030;0,022;
июнь 2020;2 132 666;0,023;
июль 2020;2 014 518;0,023;
август 2020;1 964 251;0,023;
сентябрь 2020;1 940 547;0,020;
октябрь 2020;2 206 065;0,020;
ноябрь 2020;2 258 079;0,019;
декабрь 2020;2 891 778;0,026;
январь 2021;2 170 474;0,020;
февраль 2021;2 195 143;0,021;
март 2021;2 453 494;0,022;
апрель 2021;2 249 665;0,020;
май 2021;2 044 579;0,019;
июнь 2021;2 301 652;0,023;
июль 2021;2 164 939;0,022;
август 2021;2 147 909;0,021;
сентябрь 2021;2 061 721;0,019;
октябрь 2021;2 156 977;0,018;
ноябрь 2021;2 256 568;0,019;
декабрь 2021;3 363 993;0,028;
январь 2022;2 319 480;0,019;
февраль 2022;2 575 323;0,021;
март 2022;3 200 045;0,025;
апрель 2022;2 737 634;0,022;
май 2022;2 469 446;0,020;
июнь 2022;2 397 454;0,022;
июль 2022;2 345 034;0,022;
август 2022;2 333 613;0,021;
сентябрь 2022;2 357 165;0,020;
октябрь 2022;2 486 755;0,020;
ноябрь 2022;2 435 243;0,019;
декабрь 2022;2 360 835;0,018;
январь 2023;2 402 599;0,019;
февраль 2023;2 418 064;0,021;
март 2023;2 682 337;0,021;
апрель 2023;2 274 414;0,019;
май 2023;2 298 779;0,020;
июнь 2023;2 308 727;0,022;
июль 2023;2 171 364;0,021;
август 2023;2 144 955;0,021;
сентябрь 2023;2 050 700;0,019;
октябрь 2023;2 283 068;0,019;
ноябрь 2023;2 206 889;0,018;
декабрь 2023;2 306 975;0,019;
январь 2024;2 266 919;0,018;
февраль 2024;2 395 520;0,021;
март 2024;2 431 947;0,021;
апрель 2024;2 133 209;0,019;
май 2024;2 160 327;0,020;
июнь 2024;1 946 423;0,020;
июль 2024;1 982 952;0,021;
август 2024;1 914 412;0,020;
сентябрь 2024;1 879 801;0,018;
октябрь 2024;2 123 235;0,018;
ноябрь 2024;2 278 259;0,019;
декабрь 2024;2 524 003;0,021;
январь 2025;2 286 161;0,019;
февраль 2025;2 456 286;0,021;
март 2025;2 507 481;0,020;
апрель 2025;2 184 965;0,019;
май 2025;2 076 202;0,019;
июнь 2025;2 118 274;0,020;
