Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Антенны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 160 253;0,0149;
февраль 2018;1 067 184;0,0137;
март 2018;1 152 110;0,0137;
апрель 2018;1 087 171;0,0143;
май 2018;1 235 368;0,0164;
июнь 2018;1 281 880;0,0184;
июль 2018;1 274 267;0,0182;
август 2018;1 173 498;0,0166;
сентябрь 2018;1 151 171;0,0145;
октябрь 2018;1 471 674;0,0159;
ноябрь 2018;1 443 983;0,0169;
декабрь 2018;1 612 531;0,0188;
январь 2019;1 551 681;0,0176;
февраль 2019;1 435 168;0,0171;
март 2019;1 448 447;0,0164;
апрель 2019;1 496 271;0,0181;
май 2019;1 560 626;0,0197;
июнь 2019;1 568 794;0,0216;
июль 2019;1 366 476;0,0185;
август 2019;1 170 849;0,0161;
сентябрь 2019;1 069 626;0,0135;
октябрь 2019;1 312 378;0,0148;
ноябрь 2019;1 231 624;0,0138;
декабрь 2019;1 355 167;0,0146;
январь 2020;1 372 360;0,0141;
февраль 2020;1 210 776;0,0131;
март 2020;1 233 191;0,0125;
апрель 2020;1 555 558;0,0130;
май 2020;1 808 191;0,0168;
июнь 2020;1 631 861;0,0182;
июль 2020;1 436 714;0,0170;
август 2020;1 258 413;0,0150;
сентябрь 2020;1 166 785;0,0122;
октябрь 2020;1 277 534;0,0118;
ноябрь 2020;1 343 539;0,0117;
декабрь 2020;1 378 581;0,0124;
январь 2021;1 241 458;0,0118;
февраль 2021;1 087 472;0,0108;
март 2021;1 223 003;0,0112;
апрель 2021;1 239 325;0,0114;
май 2021;1 365 423;0,0132;
июнь 2021;1 472 949;0,0148;
июль 2021;1 401 511;0,0144;
август 2021;1 332 916;0,0132;
сентябрь 2021;1 237 331;0,0115;
октябрь 2021;1 242 488;0,0109;
ноябрь 2021;1 290 282;0,0111;
декабрь 2021;1 374 926;0,0116;
январь 2022;1 311 229;0,0109;
февраль 2022;1 196 577;0,0101;
март 2022;1 236 713;0,0097;
апрель 2022;1 263 530;0,0105;
май 2022;1 475 239;0,0123;
июнь 2022;1 473 992;0,0137;
июль 2022;1 462 107;0,0140;
август 2022;1 314 075;0,0121;
сентябрь 2022;1 147 035;0,0098;
октябрь 2022;1 275 719;0,0103;
ноябрь 2022;1 319 837;0,0104;
декабрь 2022;1 351 954;0,0107;
январь 2023;1 244 099;0,0100;
февраль 2023;1 124 229;0,0098;
март 2023;1 295 951;0,0104;
апрель 2023;1 206 313;0,0104;
май 2023;1 316 727;0,0116;
июнь 2023;1 450 560;0,0141;
июль 2023;1 491 955;0,0147;
август 2023;1 267 725;0,0126;
сентябрь 2023;1 163 750;0,0108;
октябрь 2023;1 325 712;0,0111;
ноябрь 2023;1 298 497;0,0110;
декабрь 2023;1 313 362;0,0110;
январь 2024;1 255 031;0,0104;
февраль 2024;1 180 957;0,0105;
март 2024;1 227 625;0,0106;
апрель 2024;1 203 385;0,0110;
май 2024;1 333 655;0,0125;
июнь 2024;1 290 168;0,0138;
июль 2024;1 251 823;0,0134;
август 2024;1 152 315;0,0123;
сентябрь 2024;1 085 909;0,0109;
октябрь 2024;1 227 781;0,0109;
ноябрь 2024;1 297 759;0,0111;
декабрь 2024;1 381 578;0,0115;
январь 2025;1 342 302;0,0113;
февраль 2025;1 201 114;0,0105;
март 2025;1 254 891;0,0104;
апрель 2025;1 207 326;0,0105;
май 2025;1 292 470;0,0121;
июнь 2025;1 447 529;0,0137;
