Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рулетки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 554 498;0,020;
февраль 2018;1 432 605;0,018;
март 2018;1 653 690;0,019;
апрель 2018;1 367 142;0,018;
май 2018;1 352 882;0,018;
июнь 2018;1 414 317;0,020;
июль 2018;1 366 766;0,019;
август 2018;1 485 130;0,021;
сентябрь 2018;1 471 448;0,018;
октябрь 2018;1 601 219;0,017;
ноябрь 2018;1 505 428;0,017;
декабрь 2018;1 457 491;0,017;
январь 2019;1 494 151;0,016;
февраль 2019;1 400 677;0,016;
март 2019;1 458 779;0,016;
апрель 2019;1 140 256;0,013;
май 2019;1 146 877;0,014;
июнь 2019;1 092 063;0,015;
июль 2019;1 131 817;0,015;
август 2019;1 125 152;0,015;
сентябрь 2019;1 036 373;0,013;
октябрь 2019;1 144 141;0,012;
ноябрь 2019;1 254 363;0,014;
декабрь 2019;1 250 805;0,013;
январь 2020;1 386 201;0,014;
февраль 2020;1 268 836;0,013;
март 2020;1 330 577;0,013;
апрель 2020;1 537 526;0,012;
май 2020;1 510 154;0,014;
июнь 2020;1 532 246;0,017;
июль 2020;1 592 237;0,018;
август 2020;1 531 868;0,018;
сентябрь 2020;1 544 231;0,016;
октябрь 2020;1 574 656;0,014;
ноябрь 2020;1 969 216;0,017;
декабрь 2020;2 645 100;0,023;
январь 2021;1 874 329;0,017;
февраль 2021;1 531 288;0,015;
март 2021;1 711 399;0,015;
апрель 2021;1 713 568;0,015;
май 2021;1 765 841;0,017;
июнь 2021;1 761 054;0,017;
июль 2021;1 748 391;0,018;
август 2021;1 817 400;0,018;
сентябрь 2021;1 574 573;0,014;
октябрь 2021;1 682 542;0,014;
ноябрь 2021;1 752 552;0,015;
декабрь 2021;1 725 758;0,014;
январь 2022;1 893 223;0,015;
февраль 2022;1 741 702;0,014;
март 2022;2 000 279;0,015;
апрель 2022;1 922 005;0,016;
май 2022;3 009 539;0,025;
июнь 2022;2 533 517;0,023;
июль 2022;2 367 753;0,022;
август 2022;2 546 555;0,023;
сентябрь 2022;2 302 483;0,019;
октябрь 2022;2 523 005;0,020;
ноябрь 2022;2 663 042;0,021;
декабрь 2022;2 882 926;0,022;
январь 2023;3 091 609;0,025;
февраль 2023;2 944 555;0,025;
март 2023;3 244 106;0,026;
апрель 2023;2 906 072;0,025;
май 2023;2 893 876;0,025;
июнь 2023;2 752 222;0,026;
июль 2023;2 922 540;0,028;
август 2023;2 831 307;0,028;
сентябрь 2023;2 537 555;0,023;
октябрь 2023;2 730 070;0,022;
ноябрь 2023;2 721 075;0,023;
декабрь 2023;2 720 073;0,022;
январь 2024;3 161 228;0,026;
февраль 2024;2 873 392;0,025;
март 2024;2 560 034;0,022;
апрель 2024;1 985 808;0,018;
май 2024;2 015 244;0,018;
июнь 2024;2 004 761;0,021;
июль 2024;2 004 450;0,021;
август 2024;1 959 774;0,020;
сентябрь 2024;1 644 709;0,016;
октябрь 2024;1 841 728;0,016;
ноябрь 2024;1 995 731;0,017;
декабрь 2024;2 164 406;0,018;
январь 2025;2 286 050;0,019;
февраль 2025;2 148 835;0,018;
март 2025;2 228 624;0,018;
апрель 2025;2 084 321;0,018;
май 2025;2 185 377;0,020;
июнь 2025;2 441 065;0,023;
