Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Система джокерная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 719;0,000022;
февраль 2018;2 311;0,000029;
март 2018;2 532;0,000030;
апрель 2018;2 413;0,000031;
май 2018;2 126;0,000028;
июнь 2018;1 960;0,000028;
июль 2018;2 060;0,000029;
август 2018;2 617;0,000037;
сентябрь 2018;2 481;0,000031;
октябрь 2018;2 772;0,000030;
ноябрь 2018;2 358;0,000027;
декабрь 2018;1 889;0,000022;
январь 2019;2 031;0,000023;
февраль 2019;2 370;0,000028;
март 2019;2 393;0,000027;
апрель 2019;2 458;0,000029;
май 2019;1 940;0,000024;
июнь 2019;2 472;0,000034;
июль 2019;2 354;0,000032;
август 2019;2 267;0,000031;
сентябрь 2019;2 289;0,000029;
октябрь 2019;2 652;0,000029;
ноябрь 2019;2 494;0,000028;
декабрь 2019;2 195;0,000023;
январь 2020;2 436;0,000025;
февраль 2020;2 610;0,000028;
март 2020;2 208;0,000022;
апрель 2020;1 544;0,000012;
май 2020;1 749;0,000016;
июнь 2020;1 913;0,000021;
июль 2020;2 052;0,000024;
август 2020;2 312;0,000027;
сентябрь 2020;2 364;0,000024;
октябрь 2020;2 452;0,000022;
ноябрь 2020;2 617;0,000022;
декабрь 2020;2 491;0,000022;
январь 2021;2 599;0,000024;
февраль 2021;2 711;0,000027;
март 2021;3 124;0,000028;
апрель 2021;2 811;0,000026;
май 2021;2 658;0,000025;
июнь 2021;2 720;0,000027;
июль 2021;2 548;0,000026;
август 2021;2 729;0,000027;
сентябрь 2021;2 919;0,000027;
октябрь 2021;2 807;0,000024;
ноябрь 2021;2 944;0,000025;
декабрь 2021;2 706;0,000022;
январь 2022;2 820;0,000023;
февраль 2022;2 727;0,000023;
март 2022;2 491;0,000019;
апрель 2022;2 438;0,000020;
май 2022;2 604;0,000021;
июнь 2022;2 417;0,000022;
июль 2022;2 329;0,000022;
август 2022;2 598;0,000024;
сентябрь 2022;2 621;0,000022;
октябрь 2022;2 650;0,000021;
ноябрь 2022;2 831;0,000022;
декабрь 2022;2 462;0,000019;
январь 2023;2 497;0,000020;
февраль 2023;2 519;0,000022;
март 2023;2 868;0,000023;
апрель 2023;2 730;0,000023;
май 2023;2 362;0,000020;
июнь 2023;2 295;0,000022;
июль 2023;2 441;0,000024;
август 2023;2 522;0,000025;
сентябрь 2023;2 380;0,000022;
октябрь 2023;2 666;0,000022;
ноябрь 2023;2 319;0,000019;
декабрь 2023;1 856;0,000015;
январь 2024;2 065;0,000017;
февраль 2024;2 558;0,000022;
март 2024;2 467;0,000021;
апрель 2024;2 335;0,000021;
май 2024;2 278;0,000021;
июнь 2024;3 008;0,000032;
июль 2024;1 871;0,000020;
август 2024;2 391;0,000025;
сентябрь 2024;2 021;0,000020;
октябрь 2024;2 057;0,000018;
ноябрь 2024;2 241;0,000019;
декабрь 2024;2 012;0,000016;
январь 2025;1 712;0,000014;
февраль 2025;1 856;0,000016;
март 2025;1 759;0,000014;
апрель 2025;1 897;0,000016;
май 2025;1 512;0,000014;
июнь 2025;1 660;0,000015;
