Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Камины дровяные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;21 037;0,000270;
февраль 2018;16 591;0,000214;
март 2018;18 513;0,000220;
апрель 2018;12 731;0,000168;
май 2018;12 429;0,000165;
июнь 2018;12 029;0,000173;
июль 2018;11 102;0,000158;
август 2018;12 216;0,000173;
сентябрь 2018;16 600;0,000209;
октябрь 2018;20 730;0,000224;
ноябрь 2018;19 012;0,000223;
декабрь 2018;14 935;0,000174;
январь 2019;18 572;0,000210;
февраль 2019;14 066;0,000167;
март 2019;13 619;0,000155;
апрель 2019;11 938;0,000144;
май 2019;9 889;0,000125;
июнь 2019;9 115;0,000125;
июль 2019;11 265;0,000153;
август 2019;11 953;0,000164;
сентябрь 2019;14 454;0,000183;
октябрь 2019;15 800;0,000178;
ноябрь 2019;17 440;0,000196;
декабрь 2019;17 809;0,000191;
январь 2020;20 425;0,000210;
февраль 2020;17 667;0,000192;
март 2020;15 569;0,000158;
апрель 2020;18 523;0,000155;
май 2020;20 398;0,000190;
июнь 2020;14 337;0,000160;
июль 2020;13 376;0,000158;
август 2020;15 708;0,000187;
сентябрь 2020;17 880;0,000188;
октябрь 2020;20 560;0,000191;
ноябрь 2020;23 856;0,000208;
декабрь 2020;22 031;0,000199;
январь 2021;24 122;0,000231;
февраль 2021;17 944;0,000179;
март 2021;16 383;0,000150;
апрель 2021;15 829;0,000146;
май 2021;12 806;0,000124;
июнь 2021;10 606;0,000106;
июль 2021;11 371;0,000117;
август 2021;14 405;0,000143;
сентябрь 2021;17 480;0,000163;
октябрь 2021;18 802;0,000165;
ноябрь 2021;20 283;0,000175;
декабрь 2021;19 974;0,000168;
январь 2022;21 882;0,000183;
февраль 2022;14 274;0,000120;
март 2022;15 148;0,000118;
апрель 2022;13 088;0,000109;
май 2022;12 305;0,000103;
июнь 2022;9 037;0,000084;
июль 2022;9 647;0,000092;
август 2022;11 611;0,000107;
сентябрь 2022;14 894;0,000127;
октябрь 2022;15 513;0,000125;
ноябрь 2022;16 953;0,000134;
декабрь 2022;14 836;0,000117;
январь 2023;16 632;0,000134;
февраль 2023;11 975;0,000104;
март 2023;11 101;0,000089;
апрель 2023;9 084;0,000078;
май 2023;8 650;0,000076;
июнь 2023;8 202;0,000080;
июль 2023;8 613;0,000085;
август 2023;10 113;0,000100;
сентябрь 2023;11 247;0,000104;
октябрь 2023;16 012;0,000134;
ноябрь 2023;15 082;0,000128;
декабрь 2023;16 635;0,000139;
январь 2024;21 738;0,000180;
февраль 2024;13 000;0,000115;
март 2024;11 273;0,000097;
апрель 2024;8 807;0,000081;
май 2024;9 692;0,000090;
июнь 2024;6 808;0,000072;
июль 2024;9 296;0,000099;
август 2024;12 279;0,000131;
сентябрь 2024;40 683;0,000409;
октябрь 2024;29 948;0,000266;
ноябрь 2024;14 816;0,000127;
декабрь 2024;13 947;0,000116;
январь 2025;15 149;0,000127;
февраль 2025;11 123;0,000097;
март 2025;8 447;0,000070;
апрель 2025;6 907;0,000060;
май 2025;10 743;0,000100;
июнь 2025;10 194;0,000096;
