Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ограждения из ДПК», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;922;0,0000118;
февраль 2018;1 074;0,0000138;
март 2018;1 562;0,0000185;
апрель 2018;2 515;0,0000331;
май 2018;3 637;0,0000484;
июнь 2018;3 138;0,0000452;
июль 2018;3 618;0,0000517;
август 2018;3 717;0,0000526;
сентябрь 2018;3 665;0,0000462;
октябрь 2018;2 593;0,0000281;
ноябрь 2018;1 485;0,0000174;
декабрь 2018;861;0,0000100;
январь 2019;1 309;0,0000148;
февраль 2019;1 636;0,0000195;
март 2019;2 180;0,0000248;
апрель 2019;3 828;0,0000463;
май 2019;4 068;0,0000514;
июнь 2019;3 832;0,0000528;
июль 2019;3 155;0,0000429;
август 2019;2 962;0,0000407;
сентябрь 2019;2 358;0,0000299;
октябрь 2019;2 283;0,0000258;
ноябрь 2019;1 320;0,0000148;
декабрь 2019;1 283;0,0000138;
январь 2020;1 586;0,0000163;
февраль 2020;2 087;0,0000226;
март 2020;2 729;0,0000277;
апрель 2020;3 592;0,0000300;
май 2020;5 680;0,0000529;
июнь 2020;4 387;0,0000491;
июль 2020;4 158;0,0000493;
август 2020;3 526;0,0000420;
сентябрь 2020;2 743;0,0000288;
октябрь 2020;2 365;0,0000219;
ноябрь 2020;1 765;0,0000153;
декабрь 2020;1 203;0,0000108;
январь 2021;1 205;0,0000115;
февраль 2021;1 579;0,0000157;
март 2021;2 469;0,0000226;
апрель 2021;4 344;0,0000402;
май 2021;5 672;0,0000549;
июнь 2021;6 147;0,0000619;
июль 2021;6 089;0,0000627;
август 2021;4 587;0,0000457;
сентябрь 2021;4 109;0,0000383;
октябрь 2021;2 379;0,0000209;
ноябрь 2021;1 891;0,0000163;
декабрь 2021;1 203;0,0000101;
январь 2022;1 368;0,0000114;
февраль 2022;1 539;0,0000130;
март 2022;2 580;0,0000202;
апрель 2022;3 898;0,0000326;
май 2022;5 231;0,0000438;
июнь 2022;4 360;0,0000406;
июль 2022;4 404;0,0000422;
август 2022;3 993;0,0000370;
сентябрь 2022;2 463;0,0000210;
октябрь 2022;1 837;0,0000148;
ноябрь 2022;1 217;0,0000096;
декабрь 2022;708;0,0000056;
январь 2023;969;0,0000078;
февраль 2023;1 308;0,0000114;
март 2023;2 208;0,0000177;
апрель 2023;3 063;0,0000265;
май 2023;3 760;0,0000332;
июнь 2023;3 362;0,0000327;
июль 2023;3 628;0,0000359;
август 2023;3 983;0,0000396;
сентябрь 2023;4 175;0,0000388;
октябрь 2023;2 450;0,0000205;
ноябрь 2023;1 295;0,0000110;
декабрь 2023;736;0,0000061;
январь 2024;1 034;0,0000085;
февраль 2024;1 642;0,0000146;
март 2024;2 547;0,0000220;
апрель 2024;3 403;0,0000313;
май 2024;4 542;0,0000426;
июнь 2024;3 427;0,0000366;
июль 2024;3 344;0,0000359;
август 2024;3 181;0,0000340;
сентябрь 2024;2 584;0,0000260;
октябрь 2024;2 189;0,0000195;
ноябрь 2024;1 934;0,0000166;
декабрь 2024;1 753;0,0000146;
январь 2025;1 812;0,0000152;
февраль 2025;2 210;0,0000193;
март 2025;3 702;0,0000308;
апрель 2025;3 587;0,0000314;
май 2025;3 987;0,0000373;
июнь 2025;4 420;0,0000418;
