Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стальные ванны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;52 805;0,00067;
февраль 2018;44 224;0,00057;
март 2018;51 821;0,00061;
апрель 2018;43 491;0,00057;
май 2018;46 484;0,00061;
июнь 2018;51 234;0,00073;
июль 2018;51 690;0,00073;
август 2018;53 286;0,00075;
сентябрь 2018;44 688;0,00056;
октябрь 2018;58 145;0,00063;
ноябрь 2018;50 862;0,00059;
декабрь 2018;45 535;0,00053;
январь 2019;53 272;0,00060;
февраль 2019;54 207;0,00064;
март 2019;55 417;0,00063;
апрель 2019;47 677;0,00057;
май 2019;46 379;0,00058;
июнь 2019;49 815;0,00068;
июль 2019;52 387;0,00071;
август 2019;51 574;0,00070;
сентябрь 2019;45 429;0,00057;
октябрь 2019;54 481;0,00061;
ноябрь 2019;54 919;0,00061;
декабрь 2019;60 815;0,00065;
январь 2020;69 515;0,00071;
февраль 2020;52 142;0,00056;
март 2020;52 071;0,00052;
апрель 2020;41 576;0,00034;
май 2020;50 528;0,00047;
июнь 2020;58 972;0,00066;
июль 2020;60 942;0,00072;
август 2020;59 500;0,00070;
сентябрь 2020;52 247;0,00055;
октябрь 2020;58 079;0,00053;
ноябрь 2020;61 365;0,00053;
декабрь 2020;55 040;0,00049;
январь 2021;62 516;0,00059;
февраль 2021;60 655;0,00060;
март 2021;63 828;0,00058;
апрель 2021;59 044;0,00054;
май 2021;55 246;0,00053;
июнь 2021;57 181;0,00057;
июль 2021;62 749;0,00064;
август 2021;67 400;0,00067;
сентябрь 2021;59 175;0,00055;
октябрь 2021;58 718;0,00051;
ноябрь 2021;62 276;0,00053;
декабрь 2021;59 608;0,00050;
январь 2022;64 720;0,00054;
февраль 2022;63 022;0,00053;
март 2022;79 355;0,00062;
апрель 2022;59 085;0,00049;
май 2022;54 789;0,00045;
июнь 2022;55 362;0,00051;
июль 2022;56 660;0,00054;
август 2022;53 419;0,00049;
сентябрь 2022;45 276;0,00038;
октябрь 2022;47 350;0,00038;
ноябрь 2022;53 758;0,00042;
декабрь 2022;45 923;0,00036;
январь 2023;51 754;0,00041;
февраль 2023;47 408;0,00041;
март 2023;52 694;0,00042;
апрель 2023;44 176;0,00038;
май 2023;46 010;0,00040;
июнь 2023;51 285;0,00050;
июль 2023;52 073;0,00051;
август 2023;54 002;0,00053;
сентябрь 2023;50 748;0,00047;
октябрь 2023;62 947;0,00052;
ноябрь 2023;57 162;0,00048;
декабрь 2023;42 221;0,00035;
январь 2024;48 220;0,00039;
февраль 2024;46 807;0,00041;
март 2024;46 142;0,00040;
апрель 2024;40 960;0,00037;
май 2024;42 766;0,00040;
июнь 2024;42 774;0,00045;
июль 2024;44 748;0,00048;
август 2024;39 918;0,00042;
сентябрь 2024;35 448;0,00035;
октябрь 2024;42 181;0,00037;
ноябрь 2024;46 365;0,00039;
декабрь 2024;41 712;0,00034;
январь 2025;47 047;0,00039;
февраль 2025;43 864;0,00038;
март 2025;43 541;0,00036;
апрель 2025;38 932;0,00034;
май 2025;38 159;0,00035;
июнь 2025;42 995;0,00040;
