Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вытяжки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;872 334;0,0112;
февраль 2018;821 596;0,0106;
март 2018;901 029;0,0107;
апрель 2018;731 011;0,0096;
май 2018;686 223;0,0091;
июнь 2018;693 903;0,0100;
июль 2018;787 973;0,0112;
август 2018;868 400;0,0123;
сентябрь 2018;866 106;0,0109;
октябрь 2018;1 043 925;0,0113;
ноябрь 2018;1 040 295;0,0122;
декабрь 2018;992 158;0,0116;
январь 2019;1 011 946;0,0114;
февраль 2019;935 998;0,0111;
март 2019;1 022 830;0,0116;
апрель 2019;821 681;0,0099;
май 2019;746 573;0,0094;
июнь 2019;776 133;0,0107;
июль 2019;893 099;0,0121;
август 2019;919 888;0,0126;
сентябрь 2019;896 233;0,0113;
октябрь 2019;1 018 324;0,0115;
ноябрь 2019;1 108 022;0,0124;
декабрь 2019;1 081 988;0,0116;
январь 2020;1 139 248;0,0117;
февраль 2020;1 075 436;0,0116;
март 2020;1 059 654;0,0107;
апрель 2020;961 451;0,0080;
май 2020;1 009 167;0,0094;
июнь 2020;1 032 109;0,0115;
июль 2020;1 089 492;0,0129;
август 2020;1 088 837;0,0129;
сентябрь 2020;1 100 891;0,0115;
октябрь 2020;1 250 200;0,0116;
ноябрь 2020;1 428 313;0,0124;
декабрь 2020;1 274 963;0,0115;
январь 2021;1 262 223;0,0120;
февраль 2021;1 160 751;0,0116;
март 2021;1 226 044;0,0112;
апрель 2021;1 135 492;0,0105;
май 2021;1 038 567;0,0100;
июнь 2021;1 097 409;0,0110;
июль 2021;1 171 736;0,0120;
август 2021;1 338 884;0,0133;
сентябрь 2021;1 352 742;0,0126;
октябрь 2021;1 446 863;0,0127;
ноябрь 2021;1 490 742;0,0128;
декабрь 2021;1 465 182;0,0123;
январь 2022;1 515 351;0,0127;
февраль 2022;1 475 719;0,0124;
март 2022;1 743 215;0,0136;
апрель 2022;1 258 085;0,0105;
май 2022;1 135 368;0,0095;
июнь 2022;1 054 314;0,0098;
июль 2022;1 128 116;0,0108;
август 2022;1 172 169;0,0108;
сентябрь 2022;1 103 918;0,0094;
октябрь 2022;1 205 804;0,0097;
ноябрь 2022;1 384 507;0,0109;
декабрь 2022;1 236 623;0,0098;
январь 2023;1 255 822;0,0101;
февраль 2023;1 180 884;0,0103;
март 2023;1 259 656;0,0101;
апрель 2023;1 056 398;0,0091;
май 2023;1 044 667;0,0092;
июнь 2023;1 059 519;0,0103;
июль 2023;1 149 125;0,0113;
август 2023;1 208 108;0,0120;
сентябрь 2023;1 192 364;0,0110;
октябрь 2023;1 447 355;0,0121;
ноябрь 2023;1 419 179;0,0120;
декабрь 2023;1 232 823;0,0103;
январь 2024;1 283 002;0,0106;
февраль 2024;1 224 100;0,0109;
март 2024;1 159 391;0,0100;
апрель 2024;1 044 484;0,0096;
май 2024;1 032 442;0,0096;
июнь 2024;955 344;0,0102;
июль 2024;1 044 596;0,0112;
август 2024;1 021 841;0,0109;
сентябрь 2024;994 919;0,0100;
октябрь 2024;1 191 929;0,0106;
ноябрь 2024;1 317 189;0,0113;
декабрь 2024;1 246 858;0,0103;
январь 2025;1 254 984;0,0105;
февраль 2025;1 184 967;0,0103;
март 2025;1 128 768;0,0094;
апрель 2025;988 544;0,0086;
май 2025;905 303;0,0084;
июнь 2025;984 530;0,0093;
