Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Уголок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 257 184;0,016;
февраль 2018;1 281 466;0,016;
март 2018;1 347 943;0,016;
апрель 2018;1 213 400;0,016;
май 2018;1 202 246;0,016;
июнь 2018;1 188 598;0,017;
июль 2018;1 283 473;0,018;
август 2018;1 454 446;0,020;
сентябрь 2018;1 635 632;0,020;
октябрь 2018;1 841 218;0,019;
ноябрь 2018;1 628 342;0,019;
декабрь 2018;1 311 126;0,015;
январь 2019;1 443 826;0,016;
февраль 2019;1 517 034;0,018;
март 2019;1 650 796;0,018;
апрель 2019;1 404 994;0,016;
май 2019;1 253 897;0,015;
июнь 2019;1 282 715;0,017;
июль 2019;1 365 230;0,018;
август 2019;1 465 970;0,020;
сентябрь 2019;1 638 754;0,020;
октябрь 2019;1 710 446;0,019;
ноябрь 2019;1 680 944;0,018;
декабрь 2019;1 535 914;0,016;
январь 2020;1 721 400;0,017;
февраль 2020;1 709 110;0,018;
март 2020;1 603 422;0,016;
апрель 2020;1 677 883;0,014;
май 2020;1 706 788;0,015;
июнь 2020;1 565 784;0,017;
июль 2020;1 591 259;0,018;
август 2020;1 695 421;0,020;
сентябрь 2020;1 831 182;0,019;
октябрь 2020;1 971 650;0,018;
ноябрь 2020;1 983 897;0,017;
декабрь 2020;1 721 445;0,015;
январь 2021;1 665 305;0,015;
февраль 2021;1 687 008;0,016;
март 2021;1 833 642;0,016;
апрель 2021;1 850 542;0,017;
май 2021;1 662 329;0,016;
июнь 2021;1 665 212;0,016;
июль 2021;1 660 815;0,017;
август 2021;2 070 382;0,020;
сентябрь 2021;2 161 987;0,020;
октябрь 2021;2 054 115;0,018;
ноябрь 2021;2 155 806;0,018;
декабрь 2021;1 855 557;0,015;
январь 2022;1 877 183;0,015;
февраль 2022;1 818 711;0,015;
март 2022;1 951 916;0,015;
апрель 2022;1 950 838;0,016;
май 2022;1 890 093;0,015;
июнь 2022;1 795 615;0,016;
июль 2022;1 855 017;0,017;
август 2022;2 012 459;0,018;
сентябрь 2022;2 072 415;0,017;
октябрь 2022;2 159 856;0,017;
ноябрь 2022;2 189 324;0,017;
декабрь 2022;1 777 802;0,014;
январь 2023;1 814 345;0,014;
февраль 2023;1 740 018;0,015;
март 2023;1 966 845;0,015;
апрель 2023;1 856 224;0,016;
май 2023;1 781 329;0,015;
июнь 2023;1 694 299;0,016;
июль 2023;1 721 900;0,017;
август 2023;1 874 389;0,018;
сентябрь 2023;2 021 015;0,018;
октябрь 2023;2 153 873;0,018;
ноябрь 2023;2 061 724;0,017;
декабрь 2023;1 759 096;0,014;
январь 2024;1 768 449;0,014;
февраль 2024;1 792 656;0,015;
март 2024;1 786 075;0,015;
апрель 2024;1 775 010;0,016;
май 2024;1 760 114;0,016;
июнь 2024;1 574 659;0,016;
июль 2024;1 692 531;0,018;
август 2024;1 770 883;0,018;
сентябрь 2024;1 909 382;0,019;
октябрь 2024;2 020 719;0,018;
ноябрь 2024;2 036 614;0,017;
декабрь 2024;1 831 280;0,015;
январь 2025;1 835 441;0,015;
февраль 2025;1 853 664;0,016;
март 2025;1 879 601;0,015;
апрель 2025;1 793 754;0,015;
май 2025;1 679 154;0,015;
июнь 2025;1 746 102;0,016;
