Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стремянки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;133 160;0,0017;
февраль 2018;141 745;0,0018;
март 2018;173 123;0,0020;
апрель 2018;156 394;0,0020;
май 2018;151 250;0,0020;
июнь 2018;144 076;0,0020;
июль 2018;150 052;0,0021;
август 2018;159 510;0,0022;
сентябрь 2018;161 528;0,0020;
октябрь 2018;198 027;0,0021;
ноябрь 2018;165 429;0,0019;
декабрь 2018;150 423;0,0017;
январь 2019;150 075;0,0017;
февраль 2019;167 323;0,0019;
март 2019;202 294;0,0023;
апрель 2019;211 188;0,0025;
май 2019;180 048;0,0022;
июнь 2019;179 723;0,0024;
июль 2019;191 491;0,0026;
август 2019;162 568;0,0022;
сентябрь 2019;162 101;0,0020;
октябрь 2019;184 692;0,0020;
ноябрь 2019;177 219;0,0019;
декабрь 2019;187 978;0,0020;
январь 2020;184 374;0,0018;
февраль 2020;188 365;0,0020;
март 2020;193 438;0,0019;
апрель 2020;174 094;0,0014;
май 2020;206 941;0,0019;
июнь 2020;219 255;0,0024;
июль 2020;222 262;0,0026;
август 2020;203 195;0,0024;
сентябрь 2020;208 260;0,0021;
октябрь 2020;235 889;0,0021;
ноябрь 2020;231 022;0,0020;
декабрь 2020;226 342;0,0020;
январь 2021;216 457;0,0020;
февраль 2021;224 944;0,0022;
март 2021;263 324;0,0024;
апрель 2021;275 725;0,0025;
май 2021;236 859;0,0022;
июнь 2021;253 769;0,0025;
июль 2021;259 191;0,0026;
август 2021;270 487;0,0026;
сентябрь 2021;275 737;0,0025;
октябрь 2021;260 750;0,0022;
ноябрь 2021;268 063;0,0023;
декабрь 2021;270 518;0,0022;
январь 2022;250 941;0,0021;
февраль 2022;259 020;0,0021;
март 2022;286 640;0,0022;
апрель 2022;295 044;0,0024;
май 2022;267 820;0,0022;
июнь 2022;270 863;0,0025;
июль 2022;274 109;0,0026;
август 2022;281 448;0,0026;
сентябрь 2022;244 342;0,0020;
октябрь 2022;272 262;0,0022;
ноябрь 2022;275 222;0,0021;
декабрь 2022;249 012;0,0019;
январь 2023;230 738;0,0018;
февраль 2023;243 865;0,0021;
март 2023;297 950;0,0023;
апрель 2023;277 494;0,0024;
май 2023;266 726;0,0023;
июнь 2023;263 624;0,0025;
июль 2023;261 207;0,0025;
август 2023;264 306;0,0026;
сентябрь 2023;262 032;0,0024;
октябрь 2023;302 758;0,0025;
ноябрь 2023;291 751;0,0024;
декабрь 2023;260 329;0,0021;
январь 2024;246 189;0,0020;
февраль 2024;276 517;0,0024;
март 2024;290 267;0,0025;
апрель 2024;302 113;0,0027;
май 2024;279 122;0,0026;
июнь 2024;255 223;0,0027;
июль 2024;265 668;0,0028;
август 2024;252 109;0,0026;
сентябрь 2024;252 169;0,0025;
октябрь 2024;287 377;0,0025;
ноябрь 2024;286 260;0,0024;
декабрь 2024;275 274;0,0022;
январь 2025;256 573;0,0021;
февраль 2025;277 699;0,0024;
март 2025;299 905;0,0025;
апрель 2025;288 624;0,0025;
май 2025;251 957;0,0023;
июнь 2025;278 174;0,0026;
