Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Конвекторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;336 493;0,0043;
февраль 2018;308 433;0,0039;
март 2018;312 033;0,0037;
апрель 2018;258 949;0,0034;
май 2018;259 261;0,0034;
июнь 2018;274 411;0,0039;
июль 2018;241 772;0,0034;
август 2018;303 454;0,0042;
сентябрь 2018;457 130;0,0057;
октябрь 2018;547 120;0,0059;
ноябрь 2018;481 903;0,0056;
декабрь 2018;412 081;0,0048;
январь 2019;357 599;0,0040;
февраль 2019;317 500;0,0037;
март 2019;310 592;0,0035;
апрель 2019;290 325;0,0035;
май 2019;251 586;0,0031;
июнь 2019;229 442;0,0031;
июль 2019;275 161;0,0037;
август 2019;339 564;0,0046;
сентябрь 2019;524 346;0,0066;
октябрь 2019;480 915;0,0054;
ноябрь 2019;495 176;0,0055;
декабрь 2019;414 489;0,0044;
январь 2020;360 722;0,0037;
февраль 2020;359 879;0,0039;
март 2020;350 589;0,0035;
апрель 2020;377 387;0,0031;
май 2020;436 961;0,0040;
июнь 2020;321 688;0,0036;
июль 2020;289 590;0,0034;
август 2020;367 506;0,0043;
сентябрь 2020;568 439;0,0059;
октябрь 2020;572 170;0,0053;
ноябрь 2020;653 957;0,0057;
декабрь 2020;635 683;0,0057;
январь 2021;530 007;0,0050;
февраль 2021;460 328;0,0046;
март 2021;421 429;0,0038;
апрель 2021;430 995;0,0039;
май 2021;371 232;0,0035;
июнь 2021;350 311;0,0035;
июль 2021;338 225;0,0034;
август 2021;480 372;0,0047;
сентябрь 2021;898 618;0,0083;
октябрь 2021;644 955;0,0056;
ноябрь 2021;672 323;0,0058;
декабрь 2021;708 374;0,0059;
январь 2022;545 222;0,0045;
февраль 2022;459 263;0,0038;
март 2022;524 776;0,0041;
апрель 2022;436 794;0,0036;
май 2022;526 892;0,0044;
июнь 2022;371 369;0,0034;
июль 2022;349 186;0,0033;
август 2022;440 254;0,0040;
сентябрь 2022;801 740;0,0068;
октябрь 2022;614 516;0,0049;
ноябрь 2022;725 294;0,0057;
декабрь 2022;614 259;0,0048;
январь 2023;529 723;0,0042;
февраль 2023;425 329;0,0037;
март 2023;422 705;0,0033;
апрель 2023;371 596;0,0032;
май 2023;414 022;0,0036;
июнь 2023;381 564;0,0037;
июль 2023;335 114;0,0033;
август 2023;437 081;0,0043;
сентябрь 2023;604 156;0,0056;
октябрь 2023;802 384;0,0067;
ноябрь 2023;654 165;0,0055;
декабрь 2023;647 809;0,0054;
январь 2024;600 244;0,0049;
февраль 2024;466 803;0,0041;
март 2024;407 393;0,0035;
апрель 2024;389 340;0,0035;
май 2024;444 918;0,0041;
июнь 2024;333 999;0,0035;
июль 2024;347 010;0,0037;
август 2024;383 406;0,0041;
сентябрь 2024;521 219;0,0052;
октябрь 2024;675 328;0,0060;
ноябрь 2024;643 987;0,0055;
декабрь 2024;595 777;0,0049;
январь 2025;465 610;0,0039;
февраль 2025;487 278;0,0042;
март 2025;433 236;0,0036;
апрель 2025;406 986;0,0035;
май 2025;399 024;0,0037;
июнь 2025;377 402;0,0035;
