Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Добавки к затирке», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;72;0,00000092;
февраль 2018;66;0,00000085;
март 2018;109;0,00000129;
апрель 2018;66;0,00000087;
май 2018;61;0,00000081;
июнь 2018;66;0,00000095;
июль 2018;107;0,00000153;
август 2018;93;0,00000131;
сентябрь 2018;81;0,00000102;
октябрь 2018;123;0,00000133;
ноябрь 2018;76;0,00000089;
декабрь 2018;80;0,00000093;
январь 2019;66;0,00000074;
февраль 2019;119;0,00000141;
март 2019;131;0,00000149;
апрель 2019;82;0,00000099;
май 2019;80;0,00000101;
июнь 2019;91;0,00000125;
июль 2019;102;0,00000138;
август 2019;72;0,00000099;
сентябрь 2019;74;0,00000094;
октябрь 2019;82;0,00000092;
ноябрь 2019;88;0,00000099;
декабрь 2019;108;0,00000116;
январь 2020;88;0,00000090;
февраль 2020;123;0,00000133;
март 2020;101;0,00000102;
апрель 2020;135;0,00000113;
май 2020;150;0,00000139;
июнь 2020;91;0,00000102;
июль 2020;124;0,00000147;
август 2020;133;0,00000158;
сентябрь 2020;76;0,00000080;
октябрь 2020;109;0,00000101;
ноябрь 2020;146;0,00000127;
декабрь 2020;64;0,00000057;
январь 2021;92;0,00000088;
февраль 2021;92;0,00000092;
март 2021;142;0,00000130;
апрель 2021;104;0,00000096;
май 2021;60;0,00000058;
июнь 2021;111;0,00000111;
июль 2021;120;0,00000123;
август 2021;119;0,00000118;
сентябрь 2021;101;0,00000094;
октябрь 2021;141;0,00000123;
ноябрь 2021;152;0,00000131;
декабрь 2021;83;0,00000070;
январь 2022;78;0,00000065;
февраль 2022;111;0,00000093;
март 2022;173;0,00000135;
апрель 2022;110;0,00000092;
май 2022;140;0,00000117;
июнь 2022;120;0,00000111;
июль 2022;131;0,00000125;
август 2022;116;0,00000107;
сентябрь 2022;124;0,00000106;
октябрь 2022;122;0,00000098;
ноябрь 2022;151;0,00000119;
декабрь 2022;96;0,00000076;
январь 2023;60;0,00000048;
февраль 2023;72;0,00000063;
март 2023;60;0,00000048;
апрель 2023;60;0,00000051;
май 2023;56;0,00000049;
июнь 2023;67;0,00000065;
июль 2023;135;0,00000133;
август 2023;137;0,00000136;
сентябрь 2023;95;0,00000088;
октябрь 2023;112;0,00000093;
ноябрь 2023;85;0,00000072;
декабрь 2023;124;0,00000103;
январь 2024;62;0,00000051;
февраль 2024;93;0,00000082;
март 2024;72;0,00000062;
апрель 2024;57;0,00000052;
май 2024;67;0,00000062;
июнь 2024;62;0,00000066;
июль 2024;75;0,00000080;
август 2024;80;0,00000085;
сентябрь 2024;57;0,00000057;
октябрь 2024;66;0,00000058;
ноябрь 2024;80;0,00000068;
декабрь 2024;82;0,00000068;
январь 2025;52;0,00000043;
февраль 2025;69;0,00000060;
март 2025;72;0,00000060;
апрель 2025;53;0,00000046;
май 2025;51;0,00000047;
июнь 2025;97;0,00000091;
