Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Хлебопечки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;421 206;0,0054;
февраль 2018;379 420;0,0048;
март 2018;413 035;0,0049;
апрель 2018;437 376;0,0057;
май 2018;222 785;0,0029;
июнь 2018;216 422;0,0031;
июль 2018;232 264;0,0033;
август 2018;255 294;0,0036;
сентябрь 2018;275 685;0,0034;
октябрь 2018;352 445;0,0038;
ноябрь 2018;387 864;0,0045;
декабрь 2018;392 774;0,0045;
январь 2019;452 017;0,0051;
февраль 2019;385 429;0,0045;
март 2019;372 106;0,0042;
апрель 2019;440 594;0,0053;
май 2019;252 701;0,0031;
июнь 2019;213 213;0,0029;
июль 2019;252 459;0,0034;
август 2019;267 622;0,0036;
сентябрь 2019;271 670;0,0034;
октябрь 2019;318 450;0,0035;
ноябрь 2019;355 346;0,0040;
декабрь 2019;375 792;0,0040;
январь 2020;462 740;0,0047;
февраль 2020;395 291;0,0042;
март 2020;550 196;0,0055;
апрель 2020;1 123 141;0,0094;
май 2020;580 440;0,0054;
июнь 2020;356 303;0,0039;
июль 2020;308 873;0,0036;
август 2020;302 380;0,0036;
сентябрь 2020;314 545;0,0033;
октябрь 2020;396 388;0,0036;
ноябрь 2020;491 539;0,0042;
декабрь 2020;485 170;0,0043;
январь 2021;546 192;0,0052;
февраль 2021;464 667;0,0046;
март 2021;465 321;0,0042;
апрель 2021;461 509;0,0042;
май 2021;353 342;0,0034;
июнь 2021;272 901;0,0027;
июль 2021;292 869;0,0030;
август 2021;327 482;0,0032;
сентябрь 2021;353 504;0,0033;
октябрь 2021;415 383;0,0036;
ноябрь 2021;529 712;0,0045;
декабрь 2021;545 359;0,0046;
январь 2022;667 179;0,0055;
февраль 2022;542 488;0,0045;
март 2022;689 218;0,0054;
апрель 2022;751 485;0,0062;
май 2022;457 028;0,0038;
июнь 2022;343 420;0,0032;
июль 2022;344 678;0,0033;
август 2022;352 255;0,0032;
сентябрь 2022;352 320;0,0030;
октябрь 2022;418 739;0,0033;
ноябрь 2022;476 799;0,0037;
декабрь 2022;463 788;0,0036;
январь 2023;526 572;0,0042;
февраль 2023;451 988;0,0039;
март 2023;494 401;0,0039;
апрель 2023;524 584;0,0045;
май 2023;294 275;0,0026;
июнь 2023;275 407;0,0026;
июль 2023;279 240;0,0027;
август 2023;275 018;0,0027;
сентябрь 2023;293 942;0,0027;
октябрь 2023;408 210;0,0034;
ноябрь 2023;445 851;0,0037;
декабрь 2023;471 284;0,0039;
январь 2024;568 894;0,0047;
февраль 2024;487 889;0,0043;
март 2024;413 311;0,0035;
апрель 2024;332 950;0,0030;
май 2024;417 376;0,0039;
июнь 2024;231 195;0,0024;
июль 2024;240 389;0,0025;
август 2024;263 558;0,0028;
сентябрь 2024;280 972;0,0028;
октябрь 2024;364 107;0,0032;
ноябрь 2024;438 537;0,0037;
декабрь 2024;454 957;0,0037;
январь 2025;548 627;0,0046;
февраль 2025;462 310;0,0040;
март 2025;428 792;0,0035;
апрель 2025;500 363;0,0043;
май 2025;289 530;0,0027;
июнь 2025;277 646;0,0026;
