Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Автоматические выключатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;162 794;0,0020;
февраль 2018;185 486;0,0023;
март 2018;192 006;0,0022;
апрель 2018;204 033;0,0026;
май 2018;199 614;0,0026;
июнь 2018;191 199;0,0027;
июль 2018;194 986;0,0027;
август 2018;217 386;0,0030;
сентябрь 2018;195 335;0,0024;
октябрь 2018;254 312;0,0027;
ноябрь 2018;211 693;0,0024;
декабрь 2018;190 233;0,0022;
январь 2019;174 539;0,0019;
февраль 2019;198 079;0,0023;
март 2019;214 907;0,0024;
апрель 2019;213 818;0,0025;
май 2019;185 752;0,0023;
июнь 2019;191 224;0,0026;
июль 2019;190 561;0,0025;
август 2019;176 066;0,0024;
сентябрь 2019;181 787;0,0023;
октябрь 2019;217 364;0,0024;
ноябрь 2019;206 899;0,0023;
декабрь 2019;208 541;0,0022;
январь 2020;190 231;0,0019;
февраль 2020;216 132;0,0023;
март 2020;224 756;0,0022;
апрель 2020;203 988;0,0017;
май 2020;220 211;0,0020;
июнь 2020;234 173;0,0026;
июль 2020;211 772;0,0025;
август 2020;196 451;0,0023;
сентябрь 2020;226 500;0,0023;
октябрь 2020;251 071;0,0023;
ноябрь 2020;258 249;0,0022;
декабрь 2020;265 493;0,0024;
январь 2021;209 828;0,0020;
февраль 2021;255 927;0,0025;
март 2021;304 014;0,0027;
апрель 2021;306 048;0,0028;
май 2021;255 182;0,0024;
июнь 2021;300 783;0,0030;
июль 2021;260 918;0,0026;
август 2021;279 280;0,0027;
сентябрь 2021;297 522;0,0027;
октябрь 2021;289 372;0,0025;
ноябрь 2021;297 420;0,0025;
декабрь 2021;309 431;0,0026;
январь 2022;266 192;0,0022;
февраль 2022;298 451;0,0025;
март 2022;385 140;0,0030;
апрель 2022;354 893;0,0029;
май 2022;307 995;0,0025;
июнь 2022;326 008;0,0030;
июль 2022;273 152;0,0026;
август 2022;290 887;0,0026;
сентябрь 2022;284 603;0,0024;
октябрь 2022;285 644;0,0023;
ноябрь 2022;316 270;0,0025;
декабрь 2022;290 756;0,0023;
январь 2023;259 232;0,0021;
февраль 2023;277 701;0,0024;
март 2023;335 206;0,0026;
апрель 2023;289 795;0,0025;
май 2023;292 200;0,0025;
июнь 2023;291 349;0,0028;
июль 2023;261 148;0,0025;
август 2023;266 954;0,0026;
сентябрь 2023;263 924;0,0024;
октябрь 2023;301 007;0,0025;
ноябрь 2023;307 601;0,0026;
декабрь 2023;282 050;0,0023;
январь 2024;272 703;0,0022;
февраль 2024;304 944;0,0027;
март 2024;309 811;0,0026;
апрель 2024;308 248;0,0028;
май 2024;302 373;0,0028;
июнь 2024;281 751;0,0030;
июль 2024;280 947;0,0030;
август 2024;261 249;0,0027;
сентябрь 2024;274 515;0,0027;
октябрь 2024;321 598;0,0028;
ноябрь 2024;337 321;0,0029;
декабрь 2024;331 511;0,0027;
январь 2025;290 559;0,0024;
февраль 2025;345 212;0,0030;
март 2025;339 960;0,0028;
апрель 2025;334 753;0,0029;
май 2025;287 352;0,0026;
июнь 2025;309 808;0,0029;
