Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Холодильники и морозильники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 331;0,000017;
февраль 2018;1 223;0,000015;
март 2018;1 412;0,000016;
апрель 2018;1 362;0,000017;
май 2018;1 381;0,000018;
июнь 2018;1 360;0,000019;
июль 2018;1 818;0,000026;
август 2018;2 017;0,000028;
сентябрь 2018;2 045;0,000025;
октябрь 2018;1 828;0,000019;
ноябрь 2018;1 562;0,000018;
декабрь 2018;1 520;0,000017;
январь 2019;1 560;0,000017;
февраль 2019;1 494;0,000017;
март 2019;1 639;0,000018;
апрель 2019;2 251;0,000027;
май 2019;1 623;0,000020;
июнь 2019;1 848;0,000025;
июль 2019;1 899;0,000025;
август 2019;1 789;0,000024;
сентябрь 2019;1 991;0,000025;
октябрь 2019;1 863;0,000021;
ноябрь 2019;1 741;0,000019;
декабрь 2019;1 756;0,000018;
январь 2020;1 862;0,000019;
февраль 2020;2 082;0,000022;
март 2020;2 254;0,000022;
апрель 2020;3 910;0,000032;
май 2020;3 699;0,000034;
июнь 2020;2 802;0,000031;
июль 2020;3 089;0,000036;
август 2020;2 476;0,000029;
сентябрь 2020;4 511;0,000047;
октябрь 2020;3 166;0,000029;
ноябрь 2020;3 000;0,000026;
декабрь 2020;2 342;0,000021;
январь 2021;2 372;0,000022;
февраль 2021;2 222;0,000022;
март 2021;2 870;0,000026;
апрель 2021;4 020;0,000037;
май 2021;2 719;0,000026;
июнь 2021;2 903;0,000029;
июль 2021;3 797;0,000039;
август 2021;3 097;0,000030;
сентябрь 2021;3 227;0,000030;
октябрь 2021;2 676;0,000023;
ноябрь 2021;2 836;0,000024;
декабрь 2021;2 703;0,000022;
январь 2022;2 882;0,000024;
февраль 2022;2 663;0,000022;
март 2022;4 123;0,000032;
апрель 2022;3 482;0,000029;
май 2022;3 363;0,000028;
июнь 2022;3 148;0,000029;
июль 2022;4 270;0,000040;
август 2022;3 700;0,000034;
сентябрь 2022;6 225;0,000053;
октябрь 2022;4 613;0,000037;
ноябрь 2022;3 224;0,000025;
декабрь 2022;2 862;0,000022;
январь 2023;2 866;0,000023;
февраль 2023;3 385;0,000029;
март 2023;5 894;0,000047;
апрель 2023;6 908;0,000059;
май 2023;3 412;0,000030;
июнь 2023;3 159;0,000030;
июль 2023;3 558;0,000035;
август 2023;4 011;0,000039;
сентябрь 2023;3 856;0,000035;
октябрь 2023;4 671;0,000039;
ноябрь 2023;3 848;0,000032;
декабрь 2023;3 255;0,000027;
январь 2024;3 998;0,000033;
февраль 2024;3 890;0,000034;
март 2024;4 905;0,000042;
апрель 2024;6 173;0,000056;
май 2024;3 290;0,000030;
июнь 2024;3 175;0,000033;
июль 2024;3 495;0,000037;
август 2024;2 886;0,000030;
сентябрь 2024;3 161;0,000031;
октябрь 2024;4 063;0,000036;
ноябрь 2024;3 764;0,000032;
декабрь 2024;3 701;0,000030;
январь 2025;3 825;0,000032;
февраль 2025;3 883;0,000034;
март 2025;4 895;0,000040;
апрель 2025;19 236;0,000168;
май 2025;4 451;0,000041;
июнь 2025;3 565;0,000033;
