Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Потолочные плиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;13 693;0,00017;
февраль 2018;16 214;0,00020;
март 2018;17 567;0,00020;
апрель 2018;16 349;0,00021;
май 2018;13 943;0,00018;
июнь 2018;13 770;0,00019;
июль 2018;15 312;0,00021;
август 2018;15 799;0,00022;
сентябрь 2018;13 846;0,00017;
октябрь 2018;18 168;0,00019;
ноябрь 2018;17 066;0,00020;
декабрь 2018;14 759;0,00017;
январь 2019;14 305;0,00016;
февраль 2019;15 429;0,00018;
март 2019;15 085;0,00017;
апрель 2019;13 307;0,00016;
май 2019;11 650;0,00014;
июнь 2019;11 836;0,00016;
июль 2019;14 032;0,00019;
август 2019;13 361;0,00018;
сентябрь 2019;12 682;0,00016;
октябрь 2019;13 754;0,00015;
ноябрь 2019;14 483;0,00016;
декабрь 2019;15 534;0,00016;
январь 2020;13 992;0,00014;
февраль 2020;14 705;0,00015;
март 2020;14 305;0,00014;
апрель 2020;12 571;0,00010;
май 2020;13 749;0,00012;
июнь 2020;14 824;0,00016;
июль 2020;15 289;0,00018;
август 2020;14 614;0,00017;
сентябрь 2020;14 537;0,00015;
октябрь 2020;14 796;0,00013;
ноябрь 2020;16 418;0,00014;
декабрь 2020;15 894;0,00014;
январь 2021;13 863;0,00013;
февраль 2021;14 108;0,00014;
март 2021;17 374;0,00015;
апрель 2021;16 172;0,00015;
май 2021;13 492;0,00013;
июнь 2021;14 824;0,00014;
июль 2021;15 874;0,00016;
август 2021;17 119;0,00017;
сентябрь 2021;16 480;0,00015;
октябрь 2021;16 777;0,00014;
ноябрь 2021;18 162;0,00015;
декабрь 2021;17 213;0,00014;
январь 2022;14 710;0,00012;
февраль 2022;15 122;0,00012;
март 2022;16 665;0,00013;
апрель 2022;17 052;0,00014;
май 2022;14 914;0,00012;
июнь 2022;15 910;0,00014;
июль 2022;16 065;0,00015;
август 2022;16 472;0,00015;
сентябрь 2022;14 945;0,00012;
октябрь 2022;15 776;0,00012;
ноябрь 2022;17 836;0,00014;
декабрь 2022;15 605;0,00012;
январь 2023;14 222;0,00011;
февраль 2023;14 666;0,00012;
март 2023;17 583;0,00014;
апрель 2023;15 084;0,00013;
май 2023;14 676;0,00012;
июнь 2023;15 373;0,00014;
июль 2023;16 126;0,00015;
август 2023;16 845;0,00016;
сентябрь 2023;14 846;0,00013;
октябрь 2023;17 051;0,00014;
ноябрь 2023;17 194;0,00014;
декабрь 2023;15 289;0,00012;
январь 2024;14 943;0,00012;
февраль 2024;15 939;0,00014;
март 2024;15 269;0,00013;
апрель 2024;15 364;0,00014;
май 2024;13 609;0,00012;
июнь 2024;13 598;0,00014;
июль 2024;14 908;0,00016;
август 2024;14 590;0,00015;
сентябрь 2024;13 020;0,00013;
октябрь 2024;15 740;0,00014;
ноябрь 2024;16 721;0,00014;
декабрь 2024;16 192;0,00013;
январь 2025;14 663;0,00012;
февраль 2025;16 272;0,00014;
март 2025;16 268;0,00013;
апрель 2025;15 106;0,00013;
май 2025;12 958;0,00012;
июнь 2025;15 115;0,00014;
