Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штанги для душа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 428;0,000057;
февраль 2018;4 255;0,000054;
март 2018;4 691;0,000055;
апрель 2018;4 231;0,000055;
май 2018;4 196;0,000055;
июнь 2018;5 272;0,000075;
июль 2018;5 417;0,000077;
август 2018;5 578;0,000079;
сентябрь 2018;5 085;0,000064;
октябрь 2018;8 084;0,000087;
ноябрь 2018;5 430;0,000063;
декабрь 2018;6 063;0,000070;
январь 2019;5 810;0,000065;
февраль 2019;5 617;0,000066;
март 2019;6 821;0,000077;
апрель 2019;5 529;0,000066;
май 2019;5 096;0,000064;
июнь 2019;4 681;0,000064;
июль 2019;5 552;0,000075;
август 2019;5 133;0,000070;
сентябрь 2019;5 603;0,000071;
октябрь 2019;5 823;0,000065;
ноябрь 2019;6 022;0,000067;
декабрь 2019;5 988;0,000064;
январь 2020;6 628;0,000068;
февраль 2020;6 289;0,000068;
март 2020;5 826;0,000059;
апрель 2020;5 182;0,000043;
май 2020;6 351;0,000059;
июнь 2020;6 824;0,000076;
июль 2020;7 457;0,000088;
август 2020;7 055;0,000084;
сентябрь 2020;6 658;0,000070;
октябрь 2020;7 885;0,000073;
ноябрь 2020;8 404;0,000073;
декабрь 2020;8 048;0,000072;
январь 2021;8 486;0,000081;
февраль 2021;8 085;0,000080;
март 2021;9 412;0,000086;
апрель 2021;7 907;0,000073;
май 2021;7 875;0,000076;
июнь 2021;8 267;0,000083;
июль 2021;8 989;0,000092;
август 2021;10 247;0,000102;
сентябрь 2021;9 169;0,000085;
октябрь 2021;8 971;0,000078;
ноябрь 2021;9 508;0,000082;
декабрь 2021;8 913;0,000075;
январь 2022;10 165;0,000085;
февраль 2022;8 449;0,000071;
март 2022;9 764;0,000076;
апрель 2022;9 067;0,000075;
май 2022;8 811;0,000073;
июнь 2022;8 385;0,000078;
июль 2022;9 691;0,000092;
август 2022;9 647;0,000089;
сентябрь 2022;7 895;0,000067;
октябрь 2022;8 064;0,000065;
ноябрь 2022;8 530;0,000067;
декабрь 2022;7 860;0,000062;
январь 2023;7 868;0,000063;
февраль 2023;7 783;0,000068;
март 2023;8 349;0,000067;
апрель 2023;7 595;0,000065;
май 2023;7 774;0,000068;
июнь 2023;8 495;0,000082;
июль 2023;9 518;0,000094;
август 2023;9 036;0,000089;
сентябрь 2023;8 786;0,000081;
октябрь 2023;9 035;0,000075;
ноябрь 2023;9 579;0,000081;
декабрь 2023;8 640;0,000072;
январь 2024;8 627;0,000071;
февраль 2024;8 381;0,000074;
март 2024;8 339;0,000072;
апрель 2024;7 509;0,000069;
май 2024;7 599;0,000071;
июнь 2024;7 223;0,000077;
июль 2024;7 826;0,000084;
август 2024;7 358;0,000078;
сентябрь 2024;7 036;0,000070;
октябрь 2024;7 645;0,000068;
ноябрь 2024;8 367;0,000071;
декабрь 2024;8 211;0,000068;
январь 2025;8 365;0,000070;
февраль 2025;8 034;0,000070;
март 2025;8 061;0,000067;
апрель 2025;7 407;0,000065;
май 2025;6 780;0,000063;
июнь 2025;7 671;0,000072;
