Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Каркасы для душевых поддонов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;285;0,0000036;
февраль 2018;298;0,0000038;
март 2018;371;0,0000044;
апрель 2018;341;0,0000045;
май 2018;506;0,0000067;
июнь 2018;421;0,0000060;
июль 2018;485;0,0000069;
август 2018;773;0,0000109;
сентябрь 2018;421;0,0000053;
октябрь 2018;392;0,0000042;
ноябрь 2018;437;0,0000051;
декабрь 2018;381;0,0000044;
январь 2019;411;0,0000046;
февраль 2019;354;0,0000042;
март 2019;367;0,0000041;
апрель 2019;416;0,0000050;
май 2019;590;0,0000074;
июнь 2019;647;0,0000089;
июль 2019;543;0,0000073;
август 2019;449;0,0000061;
сентябрь 2019;397;0,0000050;
октябрь 2019;506;0,0000057;
ноябрь 2019;434;0,0000048;
декабрь 2019;491;0,0000052;
январь 2020;415;0,0000042;
февраль 2020;389;0,0000042;
март 2020;440;0,0000044;
апрель 2020;539;0,0000045;
май 2020;634;0,0000059;
июнь 2020;685;0,0000076;
июль 2020;634;0,0000075;
август 2020;547;0,0000065;
сентябрь 2020;503;0,0000052;
октябрь 2020;538;0,0000050;
ноябрь 2020;601;0,0000052;
декабрь 2020;448;0,0000040;
январь 2021;489;0,0000046;
февраль 2021;558;0,0000055;
март 2021;738;0,0000067;
апрель 2021;820;0,0000076;
май 2021;748;0,0000072;
июнь 2021;991;0,0000099;
июль 2021;940;0,0000096;
август 2021;1 035;0,0000103;
сентябрь 2021;844;0,0000078;
октябрь 2021;875;0,0000076;
ноябрь 2021;772;0,0000066;
декабрь 2021;738;0,0000062;
январь 2022;666;0,0000055;
февраль 2022;746;0,0000063;
март 2022;797;0,0000062;
апрель 2022;916;0,0000076;
май 2022;1 251;0,0000104;
июнь 2022;1 094;0,0000102;
июль 2022;1 272;0,0000121;
август 2022;1 149;0,0000106;
сентябрь 2022;920;0,0000078;
октябрь 2022;914;0,0000073;
ноябрь 2022;928;0,0000073;
декабрь 2022;700;0,0000055;
январь 2023;713;0,0000057;
февраль 2023;722;0,0000063;
март 2023;1 009;0,0000081;
апрель 2023;887;0,0000076;
май 2023;1 122;0,0000099;
июнь 2023;1 143;0,0000111;
июль 2023;1 282;0,0000127;
август 2023;1 141;0,0000113;
сентябрь 2023;952;0,0000088;
октябрь 2023;918;0,0000076;
ноябрь 2023;1 140;0,0000097;
декабрь 2023;878;0,0000073;
январь 2024;812;0,0000067;
февраль 2024;917;0,0000081;
март 2024;943;0,0000081;
апрель 2024;1 084;0,0000099;
май 2024;1 160;0,0000108;
июнь 2024;1 251;0,0000133;
июль 2024;1 286;0,0000138;
август 2024;1 400;0,0000149;
сентябрь 2024;1 058;0,0000106;
октябрь 2024;1 100;0,0000097;
ноябрь 2024;1 341;0,0000115;
декабрь 2024;1 074;0,0000089;
январь 2025;1 202;0,0000101;
февраль 2025;1 003;0,0000087;
март 2025;1 219;0,0000101;
апрель 2025;1 246;0,0000109;
май 2025;1 086;0,0000101;
июнь 2025;1 531;0,0000145;
