Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные мешки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 406;0,00010;
февраль 2018;8 803;0,00011;
март 2018;10 200;0,00012;
апрель 2018;11 979;0,00015;
май 2018;12 134;0,00016;
июнь 2018;12 081;0,00017;
июль 2018;12 454;0,00017;
август 2018;14 965;0,00021;
сентябрь 2018;12 688;0,00016;
октябрь 2018;16 185;0,00017;
ноябрь 2018;14 111;0,00016;
декабрь 2018;9 095;0,00010;
январь 2019;9 801;0,00011;
февраль 2019;10 981;0,00013;
март 2019;12 548;0,00014;
апрель 2019;14 473;0,00017;
май 2019;13 116;0,00016;
июнь 2019;12 272;0,00016;
июль 2019;13 482;0,00018;
август 2019;12 915;0,00017;
сентябрь 2019;12 385;0,00015;
октябрь 2019;12 767;0,00014;
ноябрь 2019;11 728;0,00013;
декабрь 2019;10 779;0,00011;
январь 2020;12 206;0,00012;
февраль 2020;13 311;0,00014;
март 2020;14 257;0,00014;
апрель 2020;14 638;0,00012;
май 2020;18 221;0,00016;
июнь 2020;17 114;0,00019;
июль 2020;17 395;0,00020;
август 2020;16 941;0,00020;
сентябрь 2020;16 731;0,00017;
октябрь 2020;17 622;0,00016;
ноябрь 2020;17 881;0,00015;
декабрь 2020;14 801;0,00013;
январь 2021;15 392;0,00014;
февраль 2021;16 676;0,00016;
март 2021;21 765;0,00019;
апрель 2021;24 900;0,00023;
май 2021;24 052;0,00023;
июнь 2021;24 027;0,00024;
июль 2021;24 124;0,00024;
август 2021;26 977;0,00026;
сентябрь 2021;23 975;0,00022;
октябрь 2021;24 080;0,00021;
ноябрь 2021;24 465;0,00021;
декабрь 2021;22 652;0,00019;
январь 2022;20 213;0,00016;
февраль 2022;23 183;0,00019;
март 2022;33 290;0,00026;
апрель 2022;35 327;0,00029;
май 2022;32 787;0,00027;
июнь 2022;29 800;0,00027;
июль 2022;26 681;0,00025;
август 2022;27 810;0,00025;
сентябрь 2022;23 680;0,00020;
октябрь 2022;22 109;0,00017;
ноябрь 2022;24 363;0,00019;
декабрь 2022;19 419;0,00015;
январь 2023;19 771;0,00016;
февраль 2023;23 450;0,00020;
март 2023;27 999;0,00022;
апрель 2023;28 631;0,00024;
май 2023;27 983;0,00024;
июнь 2023;26 128;0,00025;
июль 2023;25 163;0,00024;
август 2023;25 288;0,00025;
сентябрь 2023;24 919;0,00023;
октябрь 2023;25 449;0,00021;
ноябрь 2023;22 555;0,00019;
декабрь 2023;17 406;0,00014;
январь 2024;20 787;0,00017;
февраль 2024;27 420;0,00024;
март 2024;27 680;0,00024;
апрель 2024;29 663;0,00027;
май 2024;31 003;0,00029;
июнь 2024;26 502;0,00028;
июль 2024;25 600;0,00027;
август 2024;41 298;0,00044;
сентябрь 2024;30 198;0,00030;
октябрь 2024;23 314;0,00020;
ноябрь 2024;23 379;0,00020;
декабрь 2024;25 546;0,00021;
январь 2025;21 692;0,00018;
февраль 2025;22 886;0,00020;
март 2025;26 372;0,00022;
апрель 2025;26 074;0,00022;
май 2025;26 150;0,00024;
июнь 2025;26 224;0,00024;
