Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кнопки, выключатели и тумблеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 447 160;0,031;
февраль 2018;2 314 830;0,029;
март 2018;2 524 030;0,030;
апрель 2018;2 241 844;0,029;
май 2018;2 225 645;0,029;
июнь 2018;2 119 961;0,030;
июль 2018;2 227 127;0,031;
август 2018;2 340 822;0,033;
сентябрь 2018;2 475 321;0,031;
октябрь 2018;2 892 426;0,031;
ноябрь 2018;2 852 514;0,033;
декабрь 2018;2 786 758;0,032;
январь 2019;2 887 945;0,032;
февраль 2019;2 721 347;0,032;
март 2019;2 847 460;0,032;
апрель 2019;2 581 133;0,031;
май 2019;2 506 110;0,031;
июнь 2019;2 466 197;0,034;
июль 2019;2 570 662;0,034;
август 2019;2 590 983;0,035;
сентябрь 2019;2 599 078;0,033;
октябрь 2019;3 006 639;0,033;
ноябрь 2019;3 064 281;0,034;
декабрь 2019;3 157 988;0,034;
январь 2020;3 277 841;0,033;
февраль 2020;3 101 577;0,033;
март 2020;3 168 997;0,032;
апрель 2020;3 617 273;0,030;
май 2020;3 609 895;0,033;
июнь 2020;3 258 801;0,036;
июль 2020;3 088 121;0,036;
август 2020;3 074 483;0,036;
сентябрь 2020;3 190 199;0,033;
октябрь 2020;3 660 155;0,034;
ноябрь 2020;4 022 064;0,035;
декабрь 2020;3 875 210;0,035;
январь 2021;3 772 494;0,036;
февраль 2021;3 488 428;0,034;
март 2021;3 769 003;0,034;
апрель 2021;3 548 361;0,032;
май 2021;3 632 259;0,035;
июнь 2021;3 691 731;0,037;
июль 2021;3 568 981;0,036;
август 2021;3 787 421;0,037;
сентябрь 2021;3 796 786;0,035;
октябрь 2021;4 039 369;0,035;
ноябрь 2021;4 311 609;0,037;
декабрь 2021;4 351 378;0,036;
январь 2022;4 381 792;0,036;
февраль 2022;4 041 562;0,034;
март 2022;4 279 423;0,033;
апрель 2022;4 012 062;0,033;
май 2022;4 121 986;0,034;
июнь 2022;4 036 921;0,037;
июль 2022;4 007 468;0,038;
август 2022;4 163 504;0,038;
сентябрь 2022;4 046 712;0,034;
октябрь 2022;4 483 453;0,036;
ноябрь 2022;4 892 450;0,038;
декабрь 2022;4 836 644;0,038;
январь 2023;4 770 123;0,038;
февраль 2023;4 366 759;0,038;
март 2023;4 796 350;0,038;
апрель 2023;4 383 463;0,037;
май 2023;4 378 750;0,038;
июнь 2023;4 194 946;0,040;
июль 2023;4 340 140;0,043;
август 2023;4 373 461;0,043;
сентябрь 2023;4 230 315;0,039;
октябрь 2023;4 857 695;0,040;
ноябрь 2023;4 995 223;0,042;
декабрь 2023;4 963 824;0,041;
январь 2024;4 952 404;0,041;
февраль 2024;4 599 578;0,040;
март 2024;4 658 181;0,040;
апрель 2024;4 304 830;0,039;
май 2024;4 285 165;0,040;
июнь 2024;4 017 623;0,043;
июль 2024;4 137 817;0,044;
август 2024;4 158 661;0,044;
сентябрь 2024;4 242 344;0,042;
октябрь 2024;5 058 151;0,045;
ноябрь 2024;5 378 273;0,046;
декабрь 2024;5 501 125;0,045;
январь 2025;5 470 645;0,046;
февраль 2025;5 195 486;0,045;
март 2025;5 532 551;0,046;
апрель 2025;5 198 352;0,045;
май 2025;5 376 575;0,050;
июнь 2025;6 048 515;0,057;
