Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Брусчатка», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;64 652;0,00083;
февраль 2018;71 638;0,00092;
март 2018;101 868;0,00121;
апрель 2018;191 036;0,00252;
май 2018;263 889;0,00351;
июнь 2018;235 323;0,00339;
июль 2018;235 419;0,00336;
август 2018;235 866;0,00334;
сентябрь 2018;194 117;0,00244;
октябрь 2018;150 621;0,00163;
ноябрь 2018;85 303;0,00100;
декабрь 2018;57 728;0,00067;
январь 2019;62 913;0,00071;
февраль 2019;79 533;0,00094;
март 2019;160 739;0,00183;
апрель 2019;224 385;0,00271;
май 2019;269 951;0,00341;
июнь 2019;256 214;0,00353;
июль 2019;262 766;0,00357;
август 2019;216 105;0,00297;
сентябрь 2019;181 353;0,00230;
октябрь 2019;140 134;0,00158;
ноябрь 2019;92 018;0,00103;
декабрь 2019;85 203;0,00091;
январь 2020;107 447;0,00110;
февраль 2020;112 799;0,00122;
март 2020;171 292;0,00174;
апрель 2020;245 242;0,00205;
май 2020;389 347;0,00363;
июнь 2020;375 567;0,00421;
июль 2020;329 935;0,00391;
август 2020;284 527;0,00339;
сентябрь 2020;239 066;0,00251;
октябрь 2020;185 386;0,00172;
ноябрь 2020;117 526;0,00102;
декабрь 2020;71 259;0,00064;
январь 2021;76 230;0,00073;
февраль 2021;84 855;0,00084;
март 2021;137 368;0,00126;
апрель 2021;292 881;0,00271;
май 2021;364 807;0,00353;
июнь 2021;374 793;0,00377;
июль 2021;342 304;0,00352;
август 2021;326 271;0,00325;
сентябрь 2021;242 391;0,00226;
октябрь 2021;185 254;0,00162;
ноябрь 2021;121 448;0,00104;
декабрь 2021;87 226;0,00073;
январь 2022;89 610;0,00075;
февраль 2022;107 527;0,00091;
март 2022;168 603;0,00132;
апрель 2022;296 545;0,00248;
май 2022;405 167;0,00339;
июнь 2022;394 020;0,00367;
июль 2022;368 300;0,00353;
август 2022;342 176;0,00317;
сентябрь 2022;228 936;0,00195;
октябрь 2022;165 010;0,00133;
ноябрь 2022;112 540;0,00089;
декабрь 2022;70 808;0,00056;
январь 2023;81 570;0,00066;
февраль 2023;90 218;0,00079;
март 2023;188 256;0,00151;
апрель 2023;330 801;0,00286;
май 2023;397 680;0,00351;
июнь 2023;361 685;0,00352;
июль 2023;346 115;0,00343;
август 2023;307 212;0,00305;
сентябрь 2023;258 186;0,00240;
октябрь 2023;179 245;0,00150;
ноябрь 2023;111 397;0,00094;
декабрь 2023;71 008;0,00059;
январь 2024;74 731;0,00061;
февраль 2024;98 202;0,00087;
март 2024;173 562;0,00150;
апрель 2024;337 676;0,00311;
май 2024;374 048;0,00351;
июнь 2024;352 861;0,00377;
июль 2024;335 127;0,00360;
август 2024;292 285;0,00312;
сентябрь 2024;247 188;0,00248;
октябрь 2024;181 303;0,00161;
ноябрь 2024;114 312;0,00098;
декабрь 2024;90 148;0,00075;
январь 2025;104 342;0,00087;
февраль 2025;127 600;0,00111;
март 2025;230 317;0,00192;
апрель 2025;323 927;0,00284;
май 2025;383 281;0,00359;
июнь 2025;417 266;0,00395;
