Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кирпич», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 397 675;0,017;
февраль 2018;1 409 871;0,018;
март 2018;1 683 513;0,020;
апрель 2018;1 718 038;0,022;
май 2018;1 996 113;0,026;
июнь 2018;1 953 220;0,028;
июль 2018;1 917 339;0,027;
август 2018;1 943 000;0,027;
сентябрь 2018;1 821 147;0,022;
октябрь 2018;1 905 081;0,020;
ноябрь 2018;1 491 094;0,017;
декабрь 2018;1 281 832;0,014;
январь 2019;1 464 423;0,016;
февраль 2019;1 496 663;0,017;
март 2019;1 753 915;0,019;
апрель 2019;1 934 180;0,023;
май 2019;2 052 887;0,025;
июнь 2019;1 945 320;0,026;
июль 2019;2 039 772;0,027;
август 2019;1 889 424;0,025;
сентябрь 2019;1 802 839;0,022;
октябрь 2019;1 812 494;0,020;
ноябрь 2019;1 660 243;0,018;
декабрь 2019;1 566 633;0,016;
январь 2020;1 807 870;0,018;
февраль 2020;1 786 720;0,019;
март 2020;2 009 090;0,020;
апрель 2020;2 585 588;0,021;
май 2020;3 251 552;0,030;
июнь 2020;2 784 298;0,031;
июль 2020;2 490 634;0,029;
август 2020;2 350 361;0,028;
сентябрь 2020;2 227 531;0,023;
октябрь 2020;2 288 986;0,021;
ноябрь 2020;2 155 975;0,018;
декабрь 2020;1 826 912;0,016;
январь 2021;1 888 593;0,018;
февраль 2021;1 830 478;0,018;
март 2021;2 133 021;0,019;
апрель 2021;2 510 202;0,023;
май 2021;2 614 232;0,025;
июнь 2021;2 676 982;0,026;
июль 2021;2 653 978;0,027;
август 2021;2 698 362;0,026;
сентябрь 2021;2 501 116;0,023;
октябрь 2021;2 298 459;0,020;
ноябрь 2021;2 135 433;0,018;
декабрь 2021;1 868 723;0,015;
январь 2022;2 011 967;0,016;
февраль 2022;2 032 331;0,017;
март 2022;2 324 505;0,018;
апрель 2022;2 565 740;0,021;
май 2022;2 947 158;0,024;
июнь 2022;2 758 821;0,025;
июль 2022;2 652 582;0,025;
август 2022;2 590 286;0,024;
сентябрь 2022;2 156 588;0,018;
октябрь 2022;2 036 771;0,016;
ноябрь 2022;1 934 401;0,015;
декабрь 2022;1 616 607;0,012;
январь 2023;1 827 645;0,014;
февраль 2023;1 797 467;0,015;
март 2023;2 199 908;0,017;
апрель 2023;2 386 238;0,020;
май 2023;2 580 372;0,022;
июнь 2023;2 409 816;0,023;
июль 2023;2 386 709;0,023;
август 2023;2 265 489;0,022;
сентябрь 2023;2 178 815;0,020;
октябрь 2023;2 102 732;0,017;
ноябрь 2023;1 811 880;0,015;
декабрь 2023;1 498 103;0,012;
январь 2024;1 650 266;0,013;
февраль 2024;1 706 575;0,015;
март 2024;1 944 788;0,016;
апрель 2024;2 235 479;0,020;
май 2024;2 392 170;0,022;
июнь 2024;2 062 408;0,022;
июль 2024;2 080 730;0,022;
август 2024;1 979 377;0,021;
сентябрь 2024;1 919 657;0,019;
октябрь 2024;1 972 518;0,017;
ноябрь 2024;1 756 781;0,015;
декабрь 2024;1 690 682;0,014;
январь 2025;2 570 414;0,021;
февраль 2025;1 963 741;0,017;
март 2025;2 266 734;0,018;
апрель 2025;2 274 545;0,019;
май 2025;2 280 257;0,021;
июнь 2025;2 358 113;0,022;
