Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Компьютерные провода», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 076;0,000039;
февраль 2018;2 683;0,000034;
март 2018;2 716;0,000032;
апрель 2018;2 426;0,000032;
май 2018;2 252;0,000029;
июнь 2018;2 179;0,000031;
июль 2018;2 296;0,000032;
август 2018;2 367;0,000033;
сентябрь 2018;2 646;0,000033;
октябрь 2018;3 281;0,000035;
ноябрь 2018;6 939;0,000081;
декабрь 2018;8 810;0,000103;
январь 2019;3 669;0,000041;
февраль 2019;3 144;0,000037;
март 2019;3 201;0,000036;
апрель 2019;2 660;0,000032;
май 2019;2 498;0,000031;
июнь 2019;2 327;0,000032;
июль 2019;2 479;0,000033;
август 2019;2 502;0,000034;
сентябрь 2019;2 759;0,000035;
октябрь 2019;3 102;0,000035;
ноябрь 2019;7 572;0,000085;
декабрь 2019;9 971;0,000107;
январь 2020;4 084;0,000041;
февраль 2020;3 570;0,000038;
март 2020;3 502;0,000035;
апрель 2020;4 676;0,000039;
май 2020;4 018;0,000037;
июнь 2020;3 397;0,000038;
июль 2020;3 122;0,000037;
август 2020;3 121;0,000037;
сентябрь 2020;3 384;0,000035;
октябрь 2020;4 020;0,000037;
ноябрь 2020;12 593;0,000109;
декабрь 2020;18 203;0,000164;
январь 2021;5 904;0,000056;
февраль 2021;4 472;0,000044;
март 2021;4 783;0,000043;
апрель 2021;4 193;0,000038;
май 2021;3 826;0,000037;
июнь 2021;4 050;0,000040;
июль 2021;3 874;0,000039;
август 2021;4 262;0,000042;
сентябрь 2021;5 288;0,000049;
октябрь 2021;5 030;0,000044;
ноябрь 2021;12 201;0,000105;
декабрь 2021;16 976;0,000143;
январь 2022;6 869;0,000057;
февраль 2022;5 242;0,000044;
март 2022;4 860;0,000038;
апрель 2022;4 579;0,000038;
май 2022;4 171;0,000034;
июнь 2022;4 079;0,000038;
июль 2022;3 642;0,000034;
август 2022;4 222;0,000039;
сентябрь 2022;4 274;0,000036;
октябрь 2022;4 929;0,000039;
ноябрь 2022;13 344;0,000105;
декабрь 2022;13 878;0,000110;
январь 2023;6 452;0,000052;
февраль 2023;4 996;0,000043;
март 2023;5 135;0,000041;
апрель 2023;4 186;0,000036;
май 2023;3 885;0,000034;
июнь 2023;4 013;0,000039;
июль 2023;4 027;0,000039;
август 2023;4 374;0,000043;
сентябрь 2023;4 400;0,000040;
октябрь 2023;5 240;0,000043;
ноябрь 2023;11 276;0,000096;
декабрь 2023;8 518;0,000071;
январь 2024;5 682;0,000047;
февраль 2024;5 146;0,000045;
март 2024;4 911;0,000042;
апрель 2024;4 314;0,000039;
май 2024;4 067;0,000038;
июнь 2024;3 493;0,000037;
июль 2024;3 596;0,000038;
август 2024;3 731;0,000039;
сентябрь 2024;3 788;0,000038;
октябрь 2024;4 705;0,000041;
ноябрь 2024;8 733;0,000075;
декабрь 2024;7 500;0,000062;
январь 2025;5 693;0,000047;
февраль 2025;4 870;0,000042;
март 2025;4 755;0,000039;
апрель 2025;4 354;0,000038;
май 2025;3 888;0,000036;
июнь 2025;3 751;0,000035;
