Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рулонный материал», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;10 843;0,00013;
февраль 2018;12 249;0,00015;
март 2018;15 395;0,00018;
апрель 2018;16 288;0,00021;
май 2018;17 505;0,00023;
июнь 2018;16 077;0,00023;
июль 2018;15 980;0,00022;
август 2018;18 606;0,00026;
сентябрь 2018;15 529;0,00019;
октябрь 2018;17 099;0,00018;
ноябрь 2018;12 923;0,00015;
декабрь 2018;11 096;0,00012;
январь 2019;10 487;0,00011;
февраль 2019;12 473;0,00014;
март 2019;15 083;0,00017;
апрель 2019;16 279;0,00019;
май 2019;16 189;0,00020;
июнь 2019;16 163;0,00022;
июль 2019;15 989;0,00021;
август 2019;14 167;0,00019;
сентябрь 2019;13 977;0,00017;
октябрь 2019;14 859;0,00016;
ноябрь 2019;13 078;0,00014;
декабрь 2019;13 984;0,00015;
январь 2020;13 050;0,00013;
февраль 2020;13 361;0,00014;
март 2020;15 671;0,00015;
апрель 2020;17 556;0,00014;
май 2020;20 345;0,00018;
июнь 2020;20 555;0,00023;
июль 2020;16 905;0,00020;
август 2020;14 973;0,00017;
сентябрь 2020;16 207;0,00017;
октябрь 2020;15 994;0,00014;
ноябрь 2020;16 117;0,00014;
декабрь 2020;17 540;0,00015;
январь 2021;11 917;0,00011;
февраль 2021;13 716;0,00013;
март 2021;17 631;0,00016;
апрель 2021;20 555;0,00019;
май 2021;18 452;0,00017;
июнь 2021;21 495;0,00021;
июль 2021;18 461;0,00019;
август 2021;17 947;0,00017;
сентябрь 2021;18 165;0,00016;
октябрь 2021;16 554;0,00014;
ноябрь 2021;16 278;0,00014;
декабрь 2021;16 785;0,00014;
январь 2022;13 818;0,00011;
февраль 2022;15 525;0,00013;
март 2022;20 363;0,00015;
апрель 2022;22 118;0,00018;
май 2022;21 413;0,00017;
июнь 2022;23 340;0,00021;
июль 2022;19 404;0,00018;
август 2022;19 080;0,00017;
сентябрь 2022;17 413;0,00014;
октябрь 2022;17 449;0,00014;
ноябрь 2022;18 112;0,00014;
декабрь 2022;15 516;0,00012;
январь 2023;13 740;0,00011;
февраль 2023;15 425;0,00013;
март 2023;20 906;0,00016;
апрель 2023;21 843;0,00018;
май 2023;21 675;0,00019;
июнь 2023;21 557;0,00021;
июль 2023;19 662;0,00019;
август 2023;22 171;0,00022;
сентябрь 2023;18 169;0,00016;
октябрь 2023;19 347;0,00016;
ноябрь 2023;17 630;0,00015;
декабрь 2023;15 531;0,00013;
январь 2024;13 755;0,00011;
февраль 2024;17 023;0,00015;
март 2024;20 170;0,00017;
апрель 2024;23 486;0,00021;
май 2024;22 889;0,00021;
июнь 2024;21 176;0,00022;
июль 2024;20 339;0,00021;
август 2024;18 433;0,00019;
сентябрь 2024;19 341;0,00019;
октябрь 2024;20 664;0,00018;
ноябрь 2024;21 138;0,00018;
декабрь 2024;20 590;0,00017;
январь 2025;17 354;0,00014;
февраль 2025;21 852;0,00019;
март 2025;23 883;0,00019;
апрель 2025;25 758;0,00022;
май 2025;23 295;0,00021;
июнь 2025;25 112;0,00023;
