Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тросы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;419 297;0,0053;
февраль 2018;449 875;0,0058;
март 2018;490 920;0,0058;
апрель 2018;500 857;0,0066;
май 2018;515 550;0,0068;
июнь 2018;456 549;0,0065;
июль 2018;458 661;0,0065;
август 2018;468 902;0,0066;
сентябрь 2018;464 329;0,0058;
октябрь 2018;563 043;0,0061;
ноябрь 2018;531 631;0,0062;
декабрь 2018;478 781;0,0055;
январь 2019;492 913;0,0055;
февраль 2019;532 927;0,0063;
март 2019;557 072;0,0063;
апрель 2019;578 120;0,0069;
май 2019;567 280;0,0071;
июнь 2019;509 587;0,0070;
июль 2019;513 032;0,0069;
август 2019;494 311;0,0067;
сентябрь 2019;495 762;0,0063;
октябрь 2019;563 675;0,0063;
ноябрь 2019;569 611;0,0064;
декабрь 2019;542 084;0,0058;
январь 2020;542 981;0,0055;
февраль 2020;562 399;0,0061;
март 2020;592 788;0,0060;
апрель 2020;604 180;0,0050;
май 2020;689 650;0,0064;
июнь 2020;648 858;0,0072;
июль 2020;618 158;0,0073;
август 2020;582 995;0,0069;
сентябрь 2020;588 349;0,0061;
октябрь 2020;651 477;0,0060;
ноябрь 2020;706 437;0,0061;
декабрь 2020;672 583;0,0060;
январь 2021;622 349;0,0059;
февраль 2021;677 578;0,0067;
март 2021;745 321;0,0068;
апрель 2021;785 545;0,0072;
май 2021;778 405;0,0075;
июнь 2021;752 945;0,0075;
июль 2021;720 168;0,0074;
август 2021;740 655;0,0073;
сентябрь 2021;706 366;0,0065;
октябрь 2021;742 173;0,0065;
ноябрь 2021;778 097;0,0067;
декабрь 2021;794 763;0,0067;
январь 2022;771 177;0,0064;
февраль 2022;730 229;0,0061;
март 2022;787 233;0,0061;
апрель 2022;847 225;0,0070;
май 2022;878 421;0,0073;
июнь 2022;843 587;0,0078;
июль 2022;805 337;0,0077;
август 2022;813 986;0,0075;
сентябрь 2022;740 505;0,0063;
октябрь 2022;799 565;0,0064;
ноябрь 2022;971 844;0,0077;
декабрь 2022;814 912;0,0064;
январь 2023;785 746;0,0063;
февраль 2023;722 225;0,0063;
март 2023;893 445;0,0071;
апрель 2023;910 210;0,0078;
май 2023;924 996;0,0081;
июнь 2023;838 477;0,0081;
июль 2023;834 082;0,0082;
август 2023;824 612;0,0082;
сентябрь 2023;788 445;0,0073;
октябрь 2023;894 296;0,0074;
ноябрь 2023;937 937;0,0079;
декабрь 2023;879 529;0,0073;
январь 2024;884 902;0,0073;
февраль 2024;855 619;0,0076;
март 2024;886 010;0,0076;
апрель 2024;970 091;0,0089;
май 2024;971 187;0,0091;
июнь 2024;885 884;0,0094;
июль 2024;895 840;0,0096;
август 2024;843 608;0,0090;
сентябрь 2024;816 194;0,0082;
октябрь 2024;943 562;0,0084;
ноябрь 2024;979 385;0,0084;
декабрь 2024;929 004;0,0077;
январь 2025;880 808;0,0074;
февраль 2025;872 050;0,0076;
март 2025;957 476;0,0079;
апрель 2025;983 423;0,0086;
май 2025;982 324;0,0092;
июнь 2025;1 006 563;0,0095;
