Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Панели МДФ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;106 762;0,00137;
февраль 2018;103 256;0,00133;
март 2018;120 673;0,00143;
апрель 2018;100 293;0,00132;
май 2018;105 052;0,00139;
июнь 2018;109 498;0,00157;
июль 2018;125 445;0,00179;
август 2018;141 026;0,00199;
сентябрь 2018;142 049;0,00179;
октябрь 2018;148 232;0,00160;
ноябрь 2018;133 396;0,00156;
декабрь 2018;103 776;0,00121;
январь 2019;116 515;0,00132;
февраль 2019;113 916;0,00135;
март 2019;131 895;0,00150;
апрель 2019;111 148;0,00134;
май 2019;109 494;0,00138;
июнь 2019;129 252;0,00178;
июль 2019;141 806;0,00192;
август 2019;128 074;0,00176;
сентябрь 2019;125 679;0,00159;
октябрь 2019;134 175;0,00151;
ноябрь 2019;133 111;0,00149;
декабрь 2019;126 789;0,00136;
январь 2020;143 192;0,00147;
февраль 2020;149 877;0,00163;
март 2020;135 774;0,00138;
апрель 2020;135 575;0,00113;
май 2020;163 524;0,00152;
июнь 2020;158 079;0,00177;
июль 2020;158 371;0,00188;
август 2020;152 994;0,00182;
сентябрь 2020;143 863;0,00151;
октябрь 2020;156 418;0,00145;
ноябрь 2020;169 865;0,00148;
декабрь 2020;143 716;0,00130;
январь 2021;154 673;0,00148;
февраль 2021;141 038;0,00141;
март 2021;162 481;0,00149;
апрель 2021;177 537;0,00164;
май 2021;186 512;0,00180;
июнь 2021;184 659;0,00186;
июль 2021;167 811;0,00172;
август 2021;178 639;0,00178;
сентябрь 2021;169 232;0,00157;
октябрь 2021;170 660;0,00150;
ноябрь 2021;179 218;0,00154;
декабрь 2021;153 605;0,00129;
январь 2022;165 255;0,00138;
февраль 2022;147 718;0,00125;
март 2022;160 916;0,00126;
апрель 2022;152 772;0,00127;
май 2022;147 738;0,00123;
июнь 2022;139 234;0,00129;
июль 2022;144 730;0,00138;
август 2022;145 225;0,00134;
сентябрь 2022;129 468;0,00110;
октябрь 2022;132 923;0,00107;
ноябрь 2022;150 847;0,00119;
декабрь 2022;121 244;0,00096;
январь 2023;133 232;0,00108;
февраль 2023;138 450;0,00121;
март 2023;154 746;0,00124;
апрель 2023;129 628;0,00112;
май 2023;127 194;0,00112;
июнь 2023;131 816;0,00128;
июль 2023;144 951;0,00143;
август 2023;137 920;0,00137;
сентябрь 2023;131 931;0,00122;
октябрь 2023;157 383;0,00131;
ноябрь 2023;163 071;0,00138;
декабрь 2023;126 089;0,00105;
январь 2024;141 131;0,00117;
февраль 2024;145 073;0,00129;
март 2024;146 676;0,00127;
апрель 2024;133 771;0,00123;
май 2024;128 250;0,00120;
июнь 2024;118 781;0,00127;
июль 2024;133 142;0,00143;
август 2024;132 577;0,00141;
сентябрь 2024;124 241;0,00125;
октябрь 2024;141 906;0,00126;
ноябрь 2024;153 934;0,00132;
декабрь 2024;140 076;0,00116;
январь 2025;152 287;0,00128;
февраль 2025;145 056;0,00127;
март 2025;143 284;0,00119;
апрель 2025;129 229;0,00113;
май 2025;126 983;0,00118;
июнь 2025;137 524;0,00130;
