Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чайники и кофейники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;200;0,00000257;
февраль 2018;975;0,00001257;
март 2018;334;0,00000397;
апрель 2018;176;0,00000232;
май 2018;125;0,00000166;
июнь 2018;113;0,00000162;
июль 2018;78;0,00000111;
август 2018;94;0,00000133;
сентябрь 2018;105;0,00000132;
октябрь 2018;180;0,00000195;
ноябрь 2018;132;0,00000155;
декабрь 2018;229;0,00000267;
январь 2019;250;0,00000283;
февраль 2019;670;0,00000798;
март 2019;346;0,00000394;
апрель 2019;149;0,00000180;
май 2019;146;0,00000184;
июнь 2019;62;0,00000085;
июль 2019;67;0,00000091;
август 2019;71;0,00000097;
сентябрь 2019;134;0,00000170;
октябрь 2019;118;0,00000133;
ноябрь 2019;174;0,00000196;
декабрь 2019;202;0,00000217;
январь 2020;289;0,00000297;
февраль 2020;535;0,00000581;
март 2020;352;0,00000358;
апрель 2020;664;0,00000555;
май 2020;473;0,00000441;
июнь 2020;122;0,00000136;
июль 2020;124;0,00000147;
август 2020;137;0,00000163;
сентябрь 2020;150;0,00000157;
октябрь 2020;179;0,00000166;
ноябрь 2020;266;0,00000232;
декабрь 2020;278;0,00000251;
январь 2021;299;0,00000286;
февраль 2021;445;0,00000445;
март 2021;534;0,00000490;
апрель 2021;294;0,00000272;
май 2021;174;0,00000168;
июнь 2021;99;0,00000099;
июль 2021;123;0,00000126;
август 2021;120;0,00000119;
сентябрь 2021;203;0,00000189;
октябрь 2021;159;0,00000139;
ноябрь 2021;279;0,00000240;
декабрь 2021;235;0,00000198;
январь 2022;405;0,00000339;
февраль 2022;501;0,00000424;
март 2022;405;0,00000317;
апрель 2022;254;0,00000212;
май 2022;219;0,00000183;
июнь 2022;192;0,00000179;
июль 2022;164;0,00000157;
август 2022;157;0,00000145;
сентябрь 2022;226;0,00000193;
октябрь 2022;222;0,00000179;
ноябрь 2022;302;0,00000239;
декабрь 2022;289;0,00000229;
январь 2023;340;0,00000275;
февраль 2023;426;0,00000373;
март 2023;340;0,00000273;
апрель 2023;208;0,00000180;
май 2023;192;0,00000169;
июнь 2023;158;0,00000154;
июль 2023;124;0,00000122;
август 2023;122;0,00000121;
сентябрь 2023;196;0,00000182;
октябрь 2023;275;0,00000230;
ноябрь 2023;246;0,00000209;
декабрь 2023;233;0,00000195;
январь 2024;304;0,00000252;
февраль 2024;351;0,00000312;
март 2024;255;0,00000221;
апрель 2024;151;0,00000139;
май 2024;178;0,00000167;
июнь 2024;102;0,00000109;
июль 2024;90;0,00000096;
август 2024;110;0,00000117;
сентябрь 2024;157;0,00000158;
октябрь 2024;233;0,00000207;
ноябрь 2024;256;0,00000220;
декабрь 2024;395;0,00000329;
январь 2025;536;0,00000451;
февраль 2025;381;0,00000333;
март 2025;235;0,00000196;
апрель 2025;180;0,00000157;
май 2025;211;0,00000197;
июнь 2025;161;0,00000152;
