Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бруски», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;206 823;0,0026;
февраль 2018;194 160;0,0025;
март 2018;228 571;0,0027;
апрель 2018;234 600;0,0030;
май 2018;230 404;0,0030;
июнь 2018;172 539;0,0024;
июль 2018;128 962;0,0018;
август 2018;137 388;0,0019;
сентябрь 2018;198 264;0,0025;
октябрь 2018;336 197;0,0036;
ноябрь 2018;383 249;0,0045;
декабрь 2018;344 028;0,0040;
январь 2019;258 062;0,0029;
февраль 2019;245 223;0,0029;
март 2019;300 247;0,0034;
апрель 2019;306 775;0,0037;
май 2019;262 041;0,0033;
июнь 2019;176 010;0,0024;
июль 2019;149 980;0,0020;
август 2019;142 815;0,0019;
сентябрь 2019;211 559;0,0026;
октябрь 2019;362 938;0,0041;
ноябрь 2019;458 379;0,0051;
декабрь 2019;437 608;0,0047;
январь 2020;304 086;0,0031;
февраль 2020;288 958;0,0031;
март 2020;359 125;0,0036;
апрель 2020;609 481;0,0051;
май 2020;506 976;0,0047;
июнь 2020;272 677;0,0030;
июль 2020;221 191;0,0026;
август 2020;200 129;0,0023;
сентябрь 2020;352 279;0,0037;
октябрь 2020;532 086;0,0049;
ноябрь 2020;797 812;0,0069;
декабрь 2020;807 648;0,0073;
январь 2021;424 315;0,0040;
февраль 2021;407 850;0,0040;
март 2021;525 588;0,0048;
апрель 2021;552 347;0,0051;
май 2021;462 175;0,0044;
июнь 2021;369 058;0,0037;
июль 2021;343 808;0,0035;
август 2021;384 628;0,0038;
сентябрь 2021;551 081;0,0051;
октябрь 2021;795 469;0,0069;
ноябрь 2021;918 655;0,0079;
декабрь 2021;907 550;0,0076;
январь 2022;681 981;0,0057;
февраль 2022;630 732;0,0053;
март 2022;734 173;0,0057;
апрель 2022;670 917;0,0056;
май 2022;694 993;0,0058;
июнь 2022;496 389;0,0046;
июль 2022;452 678;0,0043;
август 2022;462 957;0,0042;
сентябрь 2022;616 510;0,0052;
октябрь 2022;818 424;0,0066;
ноябрь 2022;969 829;0,0076;
декабрь 2022;842 012;0,0066;
январь 2023;602 900;0,0048;
февраль 2023;567 137;0,0049;
март 2023;704 393;0,0056;
апрель 2023;648 259;0,0056;
май 2023;577 999;0,0051;
июнь 2023;405 959;0,0039;
июль 2023;381 855;0,0037;
август 2023;354 282;0,0035;
сентябрь 2023;491 747;0,0045;
октябрь 2023;776 784;0,0065;
ноябрь 2023;825 446;0,0070;
декабрь 2023;760 748;0,0063;
январь 2024;527 260;0,0043;
февраль 2024;513 092;0,0045;
март 2024;606 793;0,0052;
апрель 2024;611 299;0,0056;
май 2024;492 227;0,0046;
июнь 2024;315 402;0,0033;
июль 2024;298 584;0,0032;
август 2024;282 766;0,0030;
сентябрь 2024;361 781;0,0036;
октябрь 2024;690 918;0,0061;
ноябрь 2024;774 452;0,0066;
декабрь 2024;748 538;0,0062;
январь 2025;477 209;0,0040;
февраль 2025;456 560;0,0040;
март 2025;568 958;0,0047;
апрель 2025;595 783;0,0052;
май 2025;457 924;0,0042;
июнь 2025;318 248;0,0030;
