Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Заглушки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;326 615;0,0042;
февраль 2018;349 628;0,0045;
март 2018;406 006;0,0048;
апрель 2018;418 143;0,0055;
май 2018;395 309;0,0052;
июнь 2018;376 834;0,0054;
июль 2018;399 870;0,0057;
август 2018;412 247;0,0058;
сентябрь 2018;431 451;0,0054;
октябрь 2018;538 293;0,0058;
ноябрь 2018;477 783;0,0056;
декабрь 2018;406 206;0,0047;
январь 2019;402 602;0,0045;
февраль 2019;426 527;0,0050;
март 2019;469 578;0,0053;
апрель 2019;503 049;0,0060;
май 2019;441 427;0,0055;
июнь 2019;427 594;0,0058;
июль 2019;471 093;0,0064;
август 2019;454 929;0,0062;
сентябрь 2019;456 320;0,0058;
октябрь 2019;529 491;0,0059;
ноябрь 2019;516 056;0,0058;
декабрь 2019;466 292;0,0050;
январь 2020;455 505;0,0046;
февраль 2020;477 514;0,0051;
март 2020;496 301;0,0050;
апрель 2020;451 789;0,0037;
май 2020;513 135;0,0047;
июнь 2020;532 203;0,0059;
июль 2020;536 610;0,0063;
август 2020;531 498;0,0063;
сентябрь 2020;545 668;0,0057;
октябрь 2020;608 842;0,0056;
ноябрь 2020;620 615;0,0054;
декабрь 2020;555 186;0,0050;
январь 2021;516 761;0,0049;
февраль 2021;543 061;0,0054;
март 2021;641 771;0,0058;
апрель 2021;708 505;0,0065;
май 2021;679 199;0,0065;
июнь 2021;658 052;0,0066;
июль 2021;641 817;0,0066;
август 2021;700 796;0,0069;
сентябрь 2021;703 472;0,0065;
октябрь 2021;716 854;0,0063;
ноябрь 2021;745 152;0,0064;
декабрь 2021;676 218;0,0057;
январь 2022;646 340;0,0054;
февраль 2022;646 212;0,0054;
март 2022;713 628;0,0055;
апрель 2022;794 140;0,0066;
май 2022;763 309;0,0063;
июнь 2022;746 531;0,0069;
июль 2022;746 926;0,0071;
август 2022;778 587;0,0072;
сентябрь 2022;721 216;0,0061;
октябрь 2022;789 253;0,0063;
ноябрь 2022;841 452;0,0066;
декабрь 2022;721 463;0,0057;
январь 2023;705 951;0,0057;
февраль 2023;691 800;0,0060;
март 2023;849 353;0,0068;
апрель 2023;852 098;0,0073;
май 2023;829 437;0,0073;
июнь 2023;795 197;0,0077;
июль 2023;811 190;0,0080;
август 2023;819 356;0,0081;
сентябрь 2023;797 845;0,0074;
октябрь 2023;936 482;0,0078;
ноябрь 2023;884 228;0,0075;
декабрь 2023;777 507;0,0065;
январь 2024;782 156;0,0064;
февраль 2024;800 679;0,0071;
март 2024;871 467;0,0075;
апрель 2024;922 229;0,0085;
май 2024;888 181;0,0083;
июнь 2024;813 887;0,0087;
июль 2024;859 701;0,0092;
август 2024;845 363;0,0090;
сентябрь 2024;842 809;0,0084;
октябрь 2024;988 849;0,0088;
ноябрь 2024;985 317;0,0084;
декабрь 2024;890 782;0,0074;
январь 2025;844 715;0,0071;
февраль 2025;886 002;0,0077;
март 2025;966 028;0,0080;
апрель 2025;963 756;0,0084;
май 2025;909 985;0,0085;
июнь 2025;970 722;0,0091;
