Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Огне», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 856 499;0,049;
февраль 2018;3 432 242;0,044;
март 2018;4 015 991;0,047;
апрель 2018;3 727 619;0,049;
май 2018;3 262 991;0,043;
июнь 2018;2 778 670;0,040;
июль 2018;2 730 916;0,039;
август 2018;2 680 215;0,037;
сентябрь 2018;2 721 572;0,034;
октябрь 2018;3 310 015;0,035;
ноябрь 2018;3 340 962;0,039;
декабрь 2018;3 556 373;0,041;
январь 2019;3 714 746;0,042;
февраль 2019;3 304 017;0,039;
март 2019;3 593 816;0,040;
апрель 2019;3 883 930;0,046;
май 2019;3 331 840;0,042;
июнь 2019;2 760 342;0,038;
июль 2019;2 819 086;0,038;
август 2019;2 757 665;0,037;
сентябрь 2019;2 699 468;0,034;
октябрь 2019;3 162 000;0,035;
ноябрь 2019;3 288 410;0,037;
декабрь 2019;3 584 848;0,038;
январь 2020;4 201 621;0,043;
февраль 2020;3 815 323;0,041;
март 2020;3 853 500;0,039;
апрель 2020;7 196 760;0,060;
май 2020;5 260 826;0,049;
июнь 2020;3 392 969;0,038;
июль 2020;2 970 570;0,035;
август 2020;2 942 012;0,035;
сентябрь 2020;3 172 783;0,033;
октябрь 2020;3 581 887;0,033;
ноябрь 2020;4 052 073;0,035;
декабрь 2020;4 842 379;0,043;
январь 2021;7 968 854;0,076;
февраль 2021;6 276 222;0,062;
март 2021;6 573 399;0,060;
апрель 2021;5 569 341;0,051;
май 2021;5 612 047;0,054;
июнь 2021;3 961 549;0,039;
июль 2021;4 022 293;0,041;
август 2021;3 899 284;0,038;
сентябрь 2021;3 899 208;0,036;
октябрь 2021;3 862 086;0,033;
ноябрь 2021;4 252 152;0,036;
декабрь 2021;4 645 120;0,039;
январь 2022;4 932 049;0,041;
февраль 2022;4 841 379;0,040;
март 2022;4 772 189;0,037;
апрель 2022;5 757 699;0,048;
май 2022;4 811 556;0,040;
июнь 2022;3 655 884;0,034;
июль 2022;3 446 809;0,033;
август 2022;3 605 919;0,033;
сентябрь 2022;3 801 786;0,032;
октябрь 2022;4 233 714;0,034;
ноябрь 2022;4 464 556;0,035;
декабрь 2022;4 530 498;0,036;
январь 2023;4 668 929;0,037;
февраль 2023;4 138 815;0,036;
март 2023;4 305 045;0,034;
апрель 2023;5 333 437;0,046;
май 2023;4 346 499;0,038;
июнь 2023;3 495 978;0,034;
июль 2023;3 534 559;0,035;
август 2023;3 536 541;0,035;
сентябрь 2023;3 751 664;0,034;
октябрь 2023;4 045 173;0,033;
ноябрь 2023;3 995 246;0,034;
декабрь 2023;4 517 036;0,037;
январь 2024;4 663 756;0,038;
февраль 2024;3 945 916;0,035;
март 2024;3 891 569;0,033;
апрель 2024;3 851 893;0,035;
май 2024;4 989 412;0,046;
июнь 2024;3 031 128;0,032;
июль 2024;2 959 134;0,031;
август 2024;2 994 712;0,032;
сентябрь 2024;3 184 587;0,032;
октябрь 2024;3 653 249;0,032;
ноябрь 2024;3 916 018;0,033;
декабрь 2024;4 466 613;0,037;
январь 2025;4 509 571;0,038;
февраль 2025;4 517 141;0,039;
март 2025;4 729 224;0,039;
апрель 2025;6 133 682;0,053;
май 2025;4 417 334;0,041;
июнь 2025;3 551 266;0,033;
