Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубы для электропроводки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 421;0,000044;
февраль 2018;4 190;0,000054;
март 2018;4 681;0,000055;
апрель 2018;5 153;0,000068;
май 2018;4 881;0,000064;
июнь 2018;4 160;0,000059;
июль 2018;4 218;0,000060;
август 2018;4 341;0,000061;
сентябрь 2018;3 747;0,000047;
октябрь 2018;5 100;0,000055;
ноябрь 2018;4 320;0,000050;
декабрь 2018;3 713;0,000043;
январь 2019;3 606;0,000040;
февраль 2019;3 924;0,000046;
март 2019;4 137;0,000047;
апрель 2019;3 965;0,000047;
май 2019;3 892;0,000049;
июнь 2019;3 657;0,000050;
июль 2019;4 103;0,000055;
август 2019;3 494;0,000048;
сентябрь 2019;3 433;0,000043;
октябрь 2019;3 796;0,000042;
ноябрь 2019;3 480;0,000039;
декабрь 2019;3 458;0,000037;
январь 2020;3 986;0,000040;
февраль 2020;4 266;0,000046;
март 2020;3 645;0,000037;
апрель 2020;3 369;0,000028;
май 2020;4 162;0,000038;
июнь 2020;4 074;0,000045;
июль 2020;3 712;0,000044;
август 2020;3 539;0,000042;
сентябрь 2020;3 479;0,000036;
октябрь 2020;3 817;0,000035;
ноябрь 2020;3 607;0,000031;
декабрь 2020;3 567;0,000032;
январь 2021;3 075;0,000029;
февраль 2021;3 658;0,000036;
март 2021;4 057;0,000037;
апрель 2021;4 510;0,000041;
май 2021;4 511;0,000043;
июнь 2021;4 109;0,000041;
июль 2021;3 872;0,000039;
август 2021;4 081;0,000040;
сентябрь 2021;4 298;0,000040;
октябрь 2021;4 091;0,000035;
ноябрь 2021;3 969;0,000034;
декабрь 2021;3 340;0,000028;
январь 2022;3 595;0,000030;
февраль 2022;3 630;0,000030;
март 2022;3 887;0,000030;
апрель 2022;4 307;0,000036;
май 2022;4 260;0,000035;
июнь 2022;3 950;0,000036;
июль 2022;3 458;0,000033;
август 2022;3 768;0,000034;
сентябрь 2022;3 551;0,000030;
октябрь 2022;3 454;0,000027;
ноябрь 2022;3 441;0,000027;
декабрь 2022;3 089;0,000024;
январь 2023;2 852;0,000023;
февраль 2023;3 275;0,000028;
март 2023;4 121;0,000033;
апрель 2023;3 677;0,000031;
май 2023;3 756;0,000033;
июнь 2023;3 707;0,000036;
июль 2023;3 506;0,000034;
август 2023;3 334;0,000033;
сентябрь 2023;3 368;0,000031;
октябрь 2023;3 530;0,000029;
ноябрь 2023;3 246;0,000027;
декабрь 2023;2 692;0,000022;
январь 2024;2 846;0,000023;
февраль 2024;3 251;0,000028;
март 2024;3 487;0,000030;
апрель 2024;3 604;0,000033;
май 2024;3 747;0,000035;
июнь 2024;3 298;0,000035;
июль 2024;3 408;0,000036;
август 2024;2 989;0,000031;
сентябрь 2024;2 920;0,000029;
октябрь 2024;3 441;0,000030;
ноябрь 2024;3 396;0,000029;
декабрь 2024;3 190;0,000026;
январь 2025;2 940;0,000024;
февраль 2025;3 046;0,000026;
март 2025;3 420;0,000028;
апрель 2025;3 201;0,000028;
май 2025;3 254;0,000030;
июнь 2025;3 010;0,000028;
