Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чашки и кружки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 350;0,0000173;
февраль 2018;1 334;0,0000172;
март 2018;1 400;0,0000166;
апрель 2018;1 427;0,0000188;
май 2018;1 085;0,0000144;
июнь 2018;736;0,0000106;
июль 2018;684;0,0000097;
август 2018;799;0,0000113;
сентябрь 2018;1 645;0,0000207;
октябрь 2018;2 678;0,0000290;
ноябрь 2018;1 858;0,0000218;
декабрь 2018;2 081;0,0000243;
январь 2019;1 530;0,0000173;
февраль 2019;1 906;0,0000227;
март 2019;1 720;0,0000195;
апрель 2019;2 318;0,0000280;
май 2019;1 293;0,0000163;
июнь 2019;1 162;0,0000160;
июль 2019;1 031;0,0000140;
август 2019;1 253;0,0000172;
сентябрь 2019;2 080;0,0000264;
октябрь 2019;2 818;0,0000318;
ноябрь 2019;2 942;0,0000331;
декабрь 2019;3 175;0,0000342;
январь 2020;2 543;0,0000261;
февраль 2020;2 269;0,0000246;
март 2020;2 304;0,0000234;
апрель 2020;6 718;0,0000562;
май 2020;3 145;0,0000293;
июнь 2020;1 710;0,0000191;
июль 2020;1 324;0,0000157;
август 2020;1 624;0,0000193;
сентябрь 2020;2 807;0,0000295;
октябрь 2020;4 122;0,0000383;
ноябрь 2020;4 290;0,0000374;
декабрь 2020;3 667;0,0000331;
январь 2021;3 080;0,0000295;
февраль 2021;3 084;0,0000308;
март 2021;3 340;0,0000306;
апрель 2021;4 152;0,0000385;
май 2021;2 714;0,0000263;
июнь 2021;2 200;0,0000221;
июль 2021;2 206;0,0000227;
август 2021;1 949;0,0000194;
сентябрь 2021;2 696;0,0000251;
октябрь 2021;3 908;0,0000343;
ноябрь 2021;4 183;0,0000360;
декабрь 2021;3 746;0,0000316;
январь 2022;3 415;0,0000286;
февраль 2022;6 322;0,0000535;
март 2022;10 044;0,0000787;
апрель 2022;7 058;0,0000590;
май 2022;4 962;0,0000415;
июнь 2022;4 490;0,0000418;
июль 2022;7 001;0,0000671;
август 2022;5 955;0,0000552;
сентябрь 2022;5 704;0,0000487;
октябрь 2022;6 215;0,0000502;
ноябрь 2022;5 693;0,0000451;
декабрь 2022;5 850;0,0000465;
январь 2023;6 431;0,0000521;
февраль 2023;5 482;0,0000480;
март 2023;4 856;0,0000390;
апрель 2023;5 898;0,0000510;
май 2023;4 792;0,0000423;
июнь 2023;3 343;0,0000326;
июль 2023;3 404;0,0000337;
август 2023;3 472;0,0000345;
сентябрь 2023;3 862;0,0000359;
октябрь 2023;7 166;0,0000600;
ноябрь 2023;4 799;0,0000408;
декабрь 2023;6 249;0,0000523;
январь 2024;5 791;0,0000480;
февраль 2024;4 697;0,0000418;
март 2024;4 562;0,0000395;
апрель 2024;4 223;0,0000389;
май 2024;3 492;0,0000327;
июнь 2024;2 847;0,0000304;
июль 2024;2 777;0,0000298;
август 2024;2 819;0,0000301;
сентябрь 2024;2 871;0,0000289;
октябрь 2024;5 641;0,0000502;
ноябрь 2024;5 406;0,0000465;
декабрь 2024;4 653;0,0000387;
январь 2025;4 351;0,0000366;
февраль 2025;4 475;0,0000392;
март 2025;5 043;0,0000420;
апрель 2025;4 145;0,0000363;
май 2025;3 379;0,0000316;
июнь 2025;3 040;0,0000287;
