Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шкафы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 880 405;0,049;
февраль 2018;3 713 369;0,047;
март 2018;4 051 204;0,048;
апрель 2018;3 544 390;0,046;
май 2018;3 474 684;0,046;
июнь 2018;3 402 494;0,049;
июль 2018;3 882 965;0,055;
август 2018;4 452 522;0,063;
сентябрь 2018;4 256 959;0,053;
октябрь 2018;5 289 980;0,057;
ноябрь 2018;4 659 231;0,054;
декабрь 2018;4 072 191;0,047;
январь 2019;4 485 459;0,050;
февраль 2019;4 266 733;0,050;
март 2019;4 510 637;0,051;
апрель 2019;4 007 979;0,048;
май 2019;3 521 096;0,044;
июнь 2019;3 577 861;0,049;
июль 2019;4 115 116;0,055;
август 2019;4 291 573;0,059;
сентябрь 2019;4 309 115;0,054;
октябрь 2019;4 870 129;0,055;
ноябрь 2019;4 933 396;0,055;
декабрь 2019;4 989 900;0,053;
январь 2020;5 574 667;0,057;
февраль 2020;4 882 530;0,053;
март 2020;4 773 655;0,048;
апрель 2020;4 462 971;0,037;
май 2020;5 175 695;0,048;
июнь 2020;4 953 442;0,055;
июль 2020;5 051 040;0,059;
август 2020;5 165 039;0,061;
сентябрь 2020;5 221 604;0,054;
октябрь 2020;6 222 376;0,057;
ноябрь 2020;6 741 180;0,058;
декабрь 2020;5 852 464;0,052;
январь 2021;5 777 154;0,055;
февраль 2021;5 323 374;0,053;
март 2021;5 675 532;0,052;
апрель 2021;5 320 258;0,049;
май 2021;4 975 362;0,048;
июнь 2021;4 929 629;0,049;
июль 2021;5 306 808;0,054;
август 2021;6 329 077;0,063;
сентябрь 2021;6 361 631;0,059;
октябрь 2021;6 235 341;0,054;
ноябрь 2021;6 684 069;0,057;
декабрь 2021;6 055 809;0,051;
январь 2022;6 190 464;0,051;
февраль 2022;5 984 004;0,050;
март 2022;7 130 624;0,055;
апрель 2022;5 948 430;0,049;
май 2022;5 397 833;0,045;
июнь 2022;4 862 193;0,045;
июль 2022;5 254 302;0,050;
август 2022;5 733 601;0,053;
сентябрь 2022;5 279 493;0,045;
октябрь 2022;5 489 283;0,044;
ноябрь 2022;5 886 881;0,046;
декабрь 2022;5 111 337;0,040;
январь 2023;5 561 465;0,045;
февраль 2023;5 181 071;0,045;
март 2023;5 618 584;0,045;
апрель 2023;4 764 493;0,041;
май 2023;4 635 974;0,040;
июнь 2023;4 594 900;0,044;
июль 2023;4 906 543;0,048;
август 2023;5 296 319;0,052;
сентябрь 2023;5 314 777;0,049;
октябрь 2023;6 193 802;0,051;
ноябрь 2023;6 005 292;0,051;
декабрь 2023;5 068 918;0,042;
январь 2024;5 585 401;0,046;
февраль 2024;5 491 646;0,048;
март 2024;5 207 278;0,045;
апрель 2024;4 716 140;0,043;
май 2024;4 593 392;0,043;
июнь 2024;4 087 015;0,043;
июль 2024;4 494 008;0,048;
август 2024;4 757 387;0,050;
сентябрь 2024;4 631 113;0,046;
октябрь 2024;5 354 239;0,047;
ноябрь 2024;5 893 871;0,050;
декабрь 2024;5 420 018;0,045;
январь 2025;5 531 149;0,046;
февраль 2025;5 171 680;0,045;
март 2025;5 104 770;0,042;
апрель 2025;4 661 292;0,040;
май 2025;4 226 019;0,039;
июнь 2025;4 580 762;0,043;
