Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловые завесы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;77 234;0,00099;
февраль 2018;61 870;0,00079;
март 2018;48 619;0,00057;
апрель 2018;36 036;0,00047;
май 2018;38 406;0,00051;
июнь 2018;42 205;0,00060;
июль 2018;38 561;0,00055;
август 2018;50 431;0,00071;
сентябрь 2018;67 758;0,00085;
октябрь 2018;104 782;0,00113;
ноябрь 2018;114 509;0,00134;
декабрь 2018;97 779;0,00114;
январь 2019;74 507;0,00084;
февраль 2019;60 319;0,00071;
март 2019;39 245;0,00044;
апрель 2019;33 553;0,00040;
май 2019;27 271;0,00034;
июнь 2019;35 187;0,00048;
июль 2019;36 211;0,00049;
август 2019;42 506;0,00058;
сентябрь 2019;75 708;0,00096;
октябрь 2019;90 328;0,00102;
ноябрь 2019;121 024;0,00136;
декабрь 2019;91 970;0,00099;
январь 2020;64 389;0,00066;
февраль 2020;52 756;0,00057;
март 2020;38 773;0,00039;
апрель 2020;30 732;0,00025;
май 2020;29 813;0,00027;
июнь 2020;29 844;0,00033;
июль 2020;31 040;0,00036;
август 2020;34 347;0,00040;
сентябрь 2020;60 430;0,00063;
октябрь 2020;78 519;0,00072;
ноябрь 2020;114 942;0,00100;
декабрь 2020;128 641;0,00116;
январь 2021;99 941;0,00095;
февраль 2021;82 340;0,00082;
март 2021;56 888;0,00052;
апрель 2021;37 993;0,00035;
май 2021;28 610;0,00027;
июнь 2021;40 180;0,00040;
июль 2021;36 162;0,00037;
август 2021;45 886;0,00045;
сентябрь 2021;99 709;0,00093;
октябрь 2021;92 797;0,00081;
ноябрь 2021;123 512;0,00106;
декабрь 2021;160 207;0,00135;
январь 2022;90 118;0,00075;
февраль 2022;55 995;0,00047;
март 2022;46 212;0,00036;
апрель 2022;38 050;0,00031;
май 2022;34 816;0,00029;
июнь 2022;34 269;0,00031;
июль 2022;32 770;0,00031;
август 2022;44 497;0,00041;
сентябрь 2022;77 614;0,00066;
октябрь 2022;82 578;0,00066;
ноябрь 2022;145 491;0,00115;
декабрь 2022;145 198;0,00115;
январь 2023;101 183;0,00082;
февраль 2023;57 044;0,00049;
март 2023;46 658;0,00037;
апрель 2023;33 523;0,00029;
май 2023;34 830;0,00030;
июнь 2023;35 801;0,00034;
июль 2023;36 038;0,00035;
август 2023;47 425;0,00047;
сентябрь 2023;66 816;0,00062;
октябрь 2023;118 543;0,00099;
ноябрь 2023;131 499;0,00112;
декабрь 2023;163 610;0,00137;
январь 2024;116 510;0,00096;
февраль 2024;71 566;0,00063;
март 2024;48 708;0,00042;
апрель 2024;38 575;0,00035;
май 2024;40 878;0,00038;
июнь 2024;32 979;0,00035;
июль 2024;40 063;0,00043;
август 2024;45 718;0,00048;
сентябрь 2024;65 835;0,00066;
октябрь 2024;111 866;0,00099;
ноябрь 2024;127 856;0,00109;
декабрь 2024;124 958;0,00104;
январь 2025;73 943;0,00062;
февраль 2025;76 369;0,00066;
март 2025;49 095;0,00040;
апрель 2025;39 573;0,00034;
май 2025;38 697;0,00036;
июнь 2025;37 167;0,00035;
