Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Скобы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;184 052;0,0023;
февраль 2018;203 232;0,0026;
март 2018;222 072;0,0026;
апрель 2018;228 822;0,0030;
май 2018;233 002;0,0031;
июнь 2018;225 663;0,0032;
июль 2018;231 885;0,0033;
август 2018;242 658;0,0034;
сентябрь 2018;241 342;0,0030;
октябрь 2018;290 226;0,0031;
ноябрь 2018;249 726;0,0029;
декабрь 2018;214 937;0,0025;
январь 2019;218 926;0,0024;
февраль 2019;240 338;0,0028;
март 2019;259 920;0,0029;
апрель 2019;271 311;0,0032;
май 2019;247 193;0,0031;
июнь 2019;248 875;0,0034;
июль 2019;260 567;0,0035;
август 2019;255 954;0,0035;
сентябрь 2019;250 572;0,0031;
октябрь 2019;280 440;0,0031;
ноябрь 2019;265 391;0,0029;
декабрь 2019;256 634;0,0027;
январь 2020;261 268;0,0026;
февраль 2020;279 660;0,0030;
март 2020;281 636;0,0028;
апрель 2020;269 048;0,0022;
май 2020;308 789;0,0028;
июнь 2020;321 728;0,0036;
июль 2020;312 275;0,0037;
август 2020;303 027;0,0036;
сентябрь 2020;311 204;0,0032;
октябрь 2020;329 829;0,0030;
ноябрь 2020;329 705;0,0028;
декабрь 2020;303 507;0,0027;
январь 2021;272 217;0,0026;
февраль 2021;304 400;0,0030;
март 2021;361 773;0,0033;
апрель 2021;390 207;0,0036;
май 2021;362 617;0,0035;
июнь 2021;384 805;0,0038;
июль 2021;369 511;0,0038;
август 2021;387 057;0,0038;
сентябрь 2021;379 803;0,0035;
октябрь 2021;373 545;0,0032;
ноябрь 2021;379 468;0,0032;
декабрь 2021;361 934;0,0030;
январь 2022;340 520;0,0028;
февраль 2022;364 460;0,0030;
март 2022;406 404;0,0031;
апрель 2022;428 653;0,0035;
май 2022;429 167;0,0035;
июнь 2022;441 765;0,0041;
июль 2022;416 836;0,0039;
август 2022;430 676;0,0039;
сентябрь 2022;387 606;0,0033;
октябрь 2022;412 613;0,0033;
ноябрь 2022;427 759;0,0033;
декабрь 2022;373 517;0,0029;
январь 2023;359 286;0,0029;
февраль 2023;378 898;0,0033;
март 2023;460 432;0,0037;
апрель 2023;471 387;0,0040;
май 2023;487 122;0,0043;
июнь 2023;474 856;0,0046;
июль 2023;458 498;0,0045;
август 2023;460 615;0,0045;
сентябрь 2023;439 212;0,0040;
октябрь 2023;485 712;0,0040;
ноябрь 2023;464 067;0,0039;
декабрь 2023;403 120;0,0033;
январь 2024;400 320;0,0033;
февраль 2024;447 856;0,0039;
март 2024;478 937;0,0041;
апрель 2024;526 062;0,0048;
май 2024;522 484;0,0049;
июнь 2024;485 061;0,0051;
июль 2024;496 477;0,0053;
август 2024;480 726;0,0051;
сентябрь 2024;473 364;0,0047;
октябрь 2024;524 389;0,0046;
ноябрь 2024;522 725;0,0044;
декабрь 2024;493 783;0,0041;
январь 2025;466 086;0,0039;
февраль 2025;505 677;0,0044;
март 2025;546 989;0,0045;
апрель 2025;549 701;0,0048;
май 2025;527 681;0,0049;
июнь 2025;572 814;0,0054;
