Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отвертки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;198 993;0,0025;
февраль 2018;223 896;0,0028;
март 2018;221 545;0,0026;
апрель 2018;194 127;0,0025;
май 2018;187 932;0,0025;
июнь 2018;180 644;0,0026;
июль 2018;190 034;0,0027;
август 2018;204 374;0,0028;
сентябрь 2018;215 552;0,0027;
октябрь 2018;281 317;0,0030;
ноябрь 2018;252 674;0,0029;
декабрь 2018;243 003;0,0028;
январь 2019;242 060;0,0027;
февраль 2019;270 598;0,0032;
март 2019;242 339;0,0027;
апрель 2019;219 276;0,0026;
май 2019;200 769;0,0025;
июнь 2019;188 941;0,0026;
июль 2019;209 339;0,0028;
август 2019;216 643;0,0029;
сентябрь 2019;230 919;0,0029;
октябрь 2019;257 197;0,0029;
ноябрь 2019;267 132;0,0030;
декабрь 2019;282 491;0,0030;
январь 2020;280 141;0,0028;
февраль 2020;310 056;0,0033;
март 2020;262 069;0,0026;
апрель 2020;254 463;0,0021;
май 2020;276 217;0,0025;
июнь 2020;281 057;0,0031;
июль 2020;257 743;0,0030;
август 2020;262 371;0,0031;
сентябрь 2020;283 013;0,0029;
октябрь 2020;318 118;0,0029;
ноябрь 2020;339 767;0,0029;
декабрь 2020;348 542;0,0031;
январь 2021;322 498;0,0030;
февраль 2021;363 195;0,0036;
март 2021;350 369;0,0032;
апрель 2021;320 202;0,0029;
май 2021;295 941;0,0028;
июнь 2021;295 114;0,0029;
июль 2021;304 553;0,0031;
август 2021;335 726;0,0033;
сентябрь 2021;351 690;0,0032;
октябрь 2021;369 954;0,0032;
ноябрь 2021;382 580;0,0033;
декабрь 2021;407 725;0,0034;
январь 2022;408 594;0,0034;
февраль 2022;414 478;0,0035;
март 2022;359 405;0,0028;
апрель 2022;362 665;0,0030;
май 2022;361 029;0,0030;
июнь 2022;341 843;0,0031;
июль 2022;341 417;0,0032;
август 2022;372 717;0,0034;
сентябрь 2022;350 426;0,0029;
октябрь 2022;391 779;0,0031;
ноябрь 2022;430 305;0,0034;
декабрь 2022;436 617;0,0034;
январь 2023;421 222;0,0034;
февраль 2023;422 260;0,0037;
март 2023;428 975;0,0034;
апрель 2023;365 320;0,0031;
май 2023;369 596;0,0032;
июнь 2023;353 596;0,0034;
июль 2023;352 866;0,0034;
август 2023;361 536;0,0035;
сентябрь 2023;372 575;0,0034;
октябрь 2023;446 849;0,0037;
ноябрь 2023;443 827;0,0037;
декабрь 2023;431 351;0,0036;
январь 2024;435 040;0,0036;
февраль 2024;458 408;0,0040;
март 2024;415 436;0,0036;
апрель 2024;389 347;0,0035;
май 2024;381 258;0,0035;
июнь 2024;329 928;0,0035;
июль 2024;362 889;0,0038;
август 2024;361 767;0,0038;
сентябрь 2024;350 662;0,0035;
октябрь 2024;406 098;0,0036;
ноябрь 2024;428 790;0,0036;
декабрь 2024;493 508;0,0041;
январь 2025;470 794;0,0039;
февраль 2025;465 156;0,0040;
март 2025;416 811;0,0034;
апрель 2025;387 113;0,0033;
май 2025;357 290;0,0033;
июнь 2025;381 249;0,0036;
