Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фены строительные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;39 734;0,00051;
февраль 2018;40 503;0,00052;
март 2018;41 082;0,00048;
апрель 2018;36 040;0,00047;
май 2018;30 158;0,00040;
июнь 2018;26 809;0,00038;
июль 2018;28 353;0,00040;
август 2018;29 344;0,00041;
сентябрь 2018;31 330;0,00039;
октябрь 2018;38 922;0,00042;
ноябрь 2018;41 720;0,00049;
декабрь 2018;43 803;0,00051;
январь 2019;45 777;0,00051;
февраль 2019;48 637;0,00057;
март 2019;45 274;0,00051;
апрель 2019;38 700;0,00046;
май 2019;33 217;0,00042;
июнь 2019;29 208;0,00040;
июль 2019;31 650;0,00043;
август 2019;34 518;0,00047;
сентябрь 2019;34 773;0,00044;
октябрь 2019;40 902;0,00046;
ноябрь 2019;46 559;0,00052;
декабрь 2019;45 602;0,00049;
январь 2020;44 999;0,00046;
февраль 2020;49 610;0,00053;
март 2020;46 493;0,00047;
апрель 2020;39 098;0,00032;
май 2020;44 880;0,00041;
июнь 2020;43 910;0,00049;
июль 2020;41 132;0,00048;
август 2020;41 444;0,00049;
сентябрь 2020;44 171;0,00046;
октябрь 2020;51 745;0,00048;
ноябрь 2020;64 322;0,00056;
декабрь 2020;69 577;0,00062;
январь 2021;84 566;0,00081;
февраль 2021;95 951;0,00095;
март 2021;75 823;0,00069;
апрель 2021;63 782;0,00059;
май 2021;54 102;0,00052;
июнь 2021;50 113;0,00050;
июль 2021;52 494;0,00054;
август 2021;60 981;0,00060;
сентябрь 2021;68 343;0,00063;
октябрь 2021;71 417;0,00062;
ноябрь 2021;80 063;0,00069;
декабрь 2021;98 431;0,00083;
январь 2022;88 722;0,00074;
февраль 2022;80 272;0,00067;
март 2022;75 629;0,00059;
апрель 2022;68 210;0,00057;
май 2022;66 536;0,00055;
июнь 2022;57 530;0,00053;
июль 2022;55 655;0,00053;
август 2022;57 802;0,00053;
сентябрь 2022;59 613;0,00050;
октябрь 2022;69 938;0,00056;
ноябрь 2022;95 284;0,00075;
декабрь 2022;96 664;0,00076;
январь 2023;110 369;0,00089;
февраль 2023;89 778;0,00078;
март 2023;84 285;0,00067;
апрель 2023;67 366;0,00058;
май 2023;60 825;0,00053;
июнь 2023;58 248;0,00056;
июль 2023;55 915;0,00055;
август 2023;59 090;0,00058;
сентябрь 2023;61 043;0,00056;
октябрь 2023;82 842;0,00069;
ноябрь 2023;91 557;0,00078;
декабрь 2023;103 310;0,00086;
январь 2024;127 036;0,00105;
февраль 2024;85 976;0,00076;
март 2024;67 931;0,00058;
апрель 2024;61 766;0,00056;
май 2024;57 846;0,00054;
июнь 2024;48 996;0,00052;
июль 2024;49 506;0,00053;
август 2024;48 563;0,00051;
сентябрь 2024;48 558;0,00048;
октябрь 2024;66 514;0,00059;
ноябрь 2024;77 525;0,00066;
декабрь 2024;80 533;0,00067;
январь 2025;68 914;0,00058;
февраль 2025;74 451;0,00065;
март 2025;62 167;0,00051;
апрель 2025;55 964;0,00049;
май 2025;54 174;0,00050;
июнь 2025;57 720;0,00054;
