Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Поверхностные насосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 125;0,00014;
февраль 2018;12 166;0,00015;
март 2018;15 996;0,00019;
апрель 2018;23 102;0,00030;
май 2018;37 097;0,00049;
июнь 2018;34 805;0,00050;
июль 2018;26 955;0,00038;
август 2018;20 262;0,00028;
сентябрь 2018;15 217;0,00019;
октябрь 2018;15 573;0,00016;
ноябрь 2018;13 182;0,00015;
декабрь 2018;10 329;0,00012;
январь 2019;11 977;0,00013;
февраль 2019;15 085;0,00017;
март 2019;17 518;0,00019;
апрель 2019;28 834;0,00034;
май 2019;39 546;0,00050;
июнь 2019;41 957;0,00057;
июль 2019;25 060;0,00034;
август 2019;17 264;0,00023;
сентябрь 2019;15 563;0,00019;
октябрь 2019;16 883;0,00019;
ноябрь 2019;15 636;0,00017;
декабрь 2019;15 468;0,00016;
январь 2020;18 627;0,00019;
февраль 2020;18 891;0,00020;
март 2020;24 853;0,00025;
апрель 2020;41 131;0,00034;
май 2020;65 573;0,00061;
июнь 2020;62 916;0,00070;
июль 2020;50 453;0,00059;
август 2020;34 084;0,00040;
сентябрь 2020;25 386;0,00026;
октябрь 2020;23 616;0,00021;
ноябрь 2020;21 369;0,00018;
декабрь 2020;20 675;0,00018;
январь 2021;24 129;0,00023;
февраль 2021;23 631;0,00023;
март 2021;33 118;0,00030;
апрель 2021;51 138;0,00047;
май 2021;74 196;0,00071;
июнь 2021;76 981;0,00077;
июль 2021;70 965;0,00073;
август 2021;43 795;0,00043;
сентябрь 2021;31 963;0,00029;
октябрь 2021;28 372;0,00024;
ноябрь 2021;26 318;0,00022;
декабрь 2021;22 926;0,00019;
январь 2022;25 173;0,00021;
февраль 2022;28 669;0,00024;
март 2022;42 233;0,00033;
апрель 2022;60 825;0,00050;
май 2022;87 742;0,00073;
июнь 2022;82 476;0,00076;
июль 2022;70 037;0,00067;
август 2022;52 589;0,00048;
сентябрь 2022;32 585;0,00027;
октябрь 2022;28 980;0,00023;
ноябрь 2022;27 330;0,00021;
декабрь 2022;22 715;0,00018;
январь 2023;27 029;0,00021;
февраль 2023;26 307;0,00023;
март 2023;42 242;0,00033;
апрель 2023;61 676;0,00053;
май 2023;98 038;0,00086;
июнь 2023;91 936;0,00089;
июль 2023;64 418;0,00063;
август 2023;48 463;0,00048;
сентябрь 2023;36 981;0,00034;
октябрь 2023;38 601;0,00032;
ноябрь 2023;31 617;0,00026;
декабрь 2023;25 133;0,00021;
январь 2024;31 216;0,00025;
февраль 2024;34 691;0,00030;
март 2024;40 433;0,00035;
апрель 2024;67 518;0,00062;
май 2024;85 592;0,00080;
июнь 2024;82 231;0,00088;
июль 2024;70 283;0,00075;
август 2024;40 065;0,00042;
сентябрь 2024;34 469;0,00034;
октябрь 2024;32 706;0,00029;
ноябрь 2024;28 112;0,00024;
декабрь 2024;24 952;0,00020;
январь 2025;27 283;0,00022;
февраль 2025;30 338;0,00026;
март 2025;44 589;0,00037;
апрель 2025;64 003;0,00056;
май 2025;84 613;0,00079;
июнь 2025;82 207;0,00077;
