Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Топоры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;465 682;0,0059;
февраль 2018;435 284;0,0056;
март 2018;493 548;0,0058;
апрель 2018;390 562;0,0051;
май 2018;1 284 606;0,0170;
июнь 2018;555 876;0,0080;
июль 2018;471 930;0,0067;
август 2018;445 931;0,0063;
сентябрь 2018;546 073;0,0068;
октябрь 2018;574 765;0,0062;
ноябрь 2018;523 142;0,0061;
декабрь 2018;531 678;0,0062;
январь 2019;574 301;0,0065;
февраль 2019;576 309;0,0068;
март 2019;546 112;0,0062;
апрель 2019;543 097;0,0065;
май 2019;658 247;0,0083;
июнь 2019;433 474;0,0059;
июль 2019;427 881;0,0058;
август 2019;457 972;0,0062;
сентябрь 2019;560 684;0,0071;
октябрь 2019;536 190;0,0060;
ноябрь 2019;497 046;0,0056;
декабрь 2019;527 190;0,0056;
январь 2020;565 692;0,0058;
февраль 2020;570 079;0,0062;
март 2020;580 421;0,0059;
апрель 2020;794 432;0,0066;
май 2020;874 346;0,0081;
июнь 2020;566 521;0,0063;
июль 2020;495 693;0,0058;
август 2020;503 165;0,0059;
сентябрь 2020;708 256;0,0074;
октябрь 2020;671 341;0,0062;
ноябрь 2020;745 439;0,0065;
декабрь 2020;629 638;0,0056;
январь 2021;620 730;0,0059;
февраль 2021;608 191;0,0060;
март 2021;668 343;0,0061;
апрель 2021;629 466;0,0058;
май 2021;1 670 296;0,0161;
июнь 2021;632 728;0,0063;
июль 2021;580 072;0,0059;
август 2021;612 818;0,0061;
сентябрь 2021;789 507;0,0073;
октябрь 2021;714 706;0,0062;
ноябрь 2021;692 059;0,0059;
декабрь 2021;662 382;0,0055;
январь 2022;745 433;0,0062;
февраль 2022;810 766;0,0068;
март 2022;735 983;0,0057;
апрель 2022;731 246;0,0061;
май 2022;1 534 707;0,0128;
июнь 2022;782 389;0,0072;
июль 2022;674 986;0,0064;
август 2022;694 714;0,0064;
сентябрь 2022;865 190;0,0074;
октябрь 2022;856 782;0,0069;
ноябрь 2022;804 422;0,0063;
декабрь 2022;759 811;0,0060;
январь 2023;731 024;0,0059;
февраль 2023;719 759;0,0063;
март 2023;777 085;0,0062;
апрель 2023;683 201;0,0059;
май 2023;1 353 125;0,0119;
июнь 2023;702 238;0,0068;
июль 2023;638 859;0,0063;
август 2023;669 333;0,0066;
сентябрь 2023;776 436;0,0072;
октябрь 2023;840 218;0,0070;
ноябрь 2023;760 037;0,0064;
декабрь 2023;716 087;0,0059;
январь 2024;723 757;0,0060;
февраль 2024;688 441;0,0061;
март 2024;800 106;0,0069;
апрель 2024;632 907;0,0058;
май 2024;814 793;0,0076;
июнь 2024;613 639;0,0065;
июль 2024;568 935;0,0061;
август 2024;616 809;0,0065;
сентябрь 2024;761 910;0,0076;
октябрь 2024;744 525;0,0066;
ноябрь 2024;757 389;0,0065;
декабрь 2024;768 284;0,0064;
январь 2025;791 494;0,0066;
февраль 2025;783 012;0,0068;
март 2025;825 399;0,0068;
апрель 2025;815 783;0,0071;
май 2025;1 189 981;0,0111;
июнь 2025;780 610;0,0073;
