Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Снегоуборщики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;226 584;0,00291;
февраль 2018;422 769;0,00545;
март 2018;227 543;0,00270;
апрель 2018;56 193;0,00074;
май 2018;45 552;0,00060;
июнь 2018;46 353;0,00066;
июль 2018;59 531;0,00085;
август 2018;93 620;0,00132;
сентябрь 2018;135 936;0,00171;
октябрь 2018;213 194;0,00231;
ноябрь 2018;342 092;0,00402;
декабрь 2018;499 331;0,00583;
январь 2019;799 701;0,00908;
февраль 2019;881 319;0,01050;
март 2019;425 297;0,00484;
апрель 2019;356 664;0,00431;
май 2019;429 626;0,00543;
июнь 2019;301 524;0,00416;
июль 2019;235 981;0,00320;
август 2019;198 115;0,00272;
сентябрь 2019;235 396;0,00299;
октябрь 2019;336 330;0,00380;
ноябрь 2019;501 302;0,00564;
декабрь 2019;447 632;0,00482;
январь 2020;501 498;0,00515;
февраль 2020;282 708;0,00307;
март 2020;123 233;0,00125;
апрель 2020;110 336;0,00092;
май 2020;68 804;0,00064;
июнь 2020;58 290;0,00065;
июль 2020;66 803;0,00079;
август 2020;113 099;0,00134;
сентябрь 2020;133 153;0,00140;
октябрь 2020;218 531;0,00203;
ноябрь 2020;341 545;0,00297;
декабрь 2020;441 461;0,00399;
январь 2021;915 751;0,00877;
февраль 2021;1 037 451;0,01037;
март 2021;343 017;0,00315;
апрель 2021;92 685;0,00085;
май 2021;77 246;0,00074;
июнь 2021;90 202;0,00090;
июль 2021;116 440;0,00120;
август 2021;172 756;0,00172;
сентябрь 2021;263 753;0,00246;
октябрь 2021;397 413;0,00349;
ноябрь 2021;690 134;0,00595;
декабрь 2021;1 479 464;0,01248;
январь 2022;1 868 676;0,01567;
февраль 2022;824 817;0,00698;
март 2022;248 205;0,00194;
апрель 2022;125 127;0,00104;
май 2022;118 067;0,00098;
июнь 2022;140 856;0,00131;
июль 2022;160 123;0,00153;
август 2022;239 184;0,00221;
сентябрь 2022;332 058;0,00284;
октябрь 2022;450 567;0,00364;
ноябрь 2022;952 334;0,00754;
декабрь 2022;1 899 290;0,01509;
январь 2023;726 989;0,00589;
февраль 2023;417 308;0,00365;
март 2023;325 344;0,00261;
апрель 2023;92 412;0,00080;
май 2023;101 618;0,00089;
июнь 2023;106 008;0,00103;
июль 2023;126 904;0,00125;
август 2023;195 857;0,00194;
сентябрь 2023;296 763;0,00275;
октябрь 2023;474 920;0,00398;
ноябрь 2023;1 147 310;0,00977;
декабрь 2023;2 471 423;0,02070;
январь 2024;1 862 734;0,01545;
февраль 2024;1 104 494;0,00983;
март 2024;283 189;0,00245;
апрель 2024;133 389;0,00122;
май 2024;137 897;0,00129;
июнь 2024;131 391;0,00140;
июль 2024;182 249;0,00195;
август 2024;260 830;0,00278;
сентябрь 2024;369 582;0,00372;
октябрь 2024;606 487;0,00540;
ноябрь 2024;991 852;0,00853;
декабрь 2024;1 559 880;0,01300;
январь 2025;730 474;0,00615;
февраль 2025;309 117;0,00270;
март 2025;141 937;0,00118;
апрель 2025;78 281;0,00068;
май 2025;70 406;0,00065;
июнь 2025;77 512;0,00073;
