Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Расходные материалы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;64 491;0,00083;
февраль 2018;72 405;0,00093;
март 2018;74 979;0,00089;
апрель 2018;70 066;0,00092;
май 2018;66 496;0,00088;
июнь 2018;62 710;0,00090;
июль 2018;63 654;0,00091;
август 2018;67 447;0,00095;
сентябрь 2018;69 659;0,00087;
октябрь 2018;87 418;0,00094;
ноябрь 2018;76 556;0,00090;
декабрь 2018;66 751;0,00078;
январь 2019;68 940;0,00078;
февраль 2019;73 452;0,00087;
март 2019;75 599;0,00086;
апрель 2019;73 154;0,00088;
май 2019;62 505;0,00079;
июнь 2019;62 230;0,00085;
июль 2019;64 486;0,00087;
август 2019;61 968;0,00085;
сентябрь 2019;68 201;0,00086;
октябрь 2019;84 655;0,00095;
ноябрь 2019;80 358;0,00090;
декабрь 2019;92 556;0,00099;
январь 2020;94 562;0,00097;
февраль 2020;91 229;0,00099;
март 2020;105 156;0,00107;
апрель 2020;90 361;0,00075;
май 2020;85 361;0,00079;
июнь 2020;82 422;0,00092;
июль 2020;70 567;0,00083;
август 2020;62 263;0,00074;
сентябрь 2020;75 602;0,00079;
октябрь 2020;78 121;0,00072;
ноябрь 2020;80 312;0,00070;
декабрь 2020;77 668;0,00070;
январь 2021;66 177;0,00063;
февраль 2021;72 978;0,00073;
март 2021;82 965;0,00076;
апрель 2021;83 510;0,00077;
май 2021;70 127;0,00067;
июнь 2021;73 655;0,00074;
июль 2021;66 868;0,00068;
август 2021;67 359;0,00067;
сентябрь 2021;74 707;0,00069;
октябрь 2021;75 334;0,00066;
ноябрь 2021;78 149;0,00067;
декабрь 2021;75 762;0,00063;
январь 2022;69 053;0,00057;
февраль 2022;74 866;0,00063;
март 2022;106 227;0,00083;
апрель 2022;89 465;0,00074;
май 2022;73 633;0,00061;
июнь 2022;72 989;0,00068;
июль 2022;60 160;0,00057;
август 2022;64 377;0,00059;
сентябрь 2022;66 017;0,00056;
октябрь 2022;69 206;0,00055;
ноябрь 2022;73 782;0,00058;
декабрь 2022;64 044;0,00050;
январь 2023;60 779;0,00049;
февраль 2023;65 422;0,00057;
март 2023;81 077;0,00065;
апрель 2023;73 565;0,00063;
май 2023;71 459;0,00063;
июнь 2023;66 189;0,00064;
июль 2023;57 785;0,00057;
август 2023;56 883;0,00056;
сентябрь 2023;64 808;0,00060;
октябрь 2023;76 622;0,00064;
ноябрь 2023;73 637;0,00062;
декабрь 2023;63 614;0,00053;
январь 2024;62 427;0,00051;
февраль 2024;71 665;0,00063;
март 2024;74 943;0,00064;
апрель 2024;77 377;0,00071;
май 2024;73 819;0,00069;
июнь 2024;58 456;0,00062;
июль 2024;60 600;0,00065;
август 2024;50 842;0,00054;
сентябрь 2024;60 610;0,00061;
октябрь 2024;74 557;0,00066;
ноябрь 2024;76 311;0,00065;
декабрь 2024;73 461;0,00061;
январь 2025;67 496;0,00056;
февраль 2025;81 066;0,00071;
март 2025;83 155;0,00069;
апрель 2025;84 742;0,00074;
май 2025;70 634;0,00066;
июнь 2025;70 050;0,00066;
