Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дуршлаги и сита», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40;0,00000051;
февраль 2018;40;0,00000051;
март 2018;49;0,00000058;
апрель 2018;26;0,00000034;
май 2018;35;0,00000046;
июнь 2018;41;0,00000059;
июль 2018;33;0,00000047;
август 2018;58;0,00000082;
сентябрь 2018;52;0,00000065;
октябрь 2018;51;0,00000055;
ноябрь 2018;59;0,00000069;
декабрь 2018;41;0,00000047;
январь 2019;48;0,00000054;
февраль 2019;56;0,00000066;
март 2019;67;0,00000076;
апрель 2019;46;0,00000055;
май 2019;33;0,00000041;
июнь 2019;38;0,00000052;
июль 2019;82;0,00000111;
август 2019;112;0,00000154;
сентябрь 2019;154;0,00000195;
октябрь 2019;46;0,00000051;
ноябрь 2019;90;0,00000101;
декабрь 2019;108;0,00000116;
январь 2020;62;0,00000063;
февраль 2020;71;0,00000077;
март 2020;54;0,00000054;
апрель 2020;118;0,00000098;
май 2020;95;0,00000088;
июнь 2020;82;0,00000091;
июль 2020;72;0,00000085;
август 2020;99;0,00000118;
сентябрь 2020;108;0,00000113;
октябрь 2020;53;0,00000049;
ноябрь 2020;106;0,00000092;
декабрь 2020;83;0,00000075;
январь 2021;74;0,00000070;
февраль 2021;82;0,00000082;
март 2021;78;0,00000071;
апрель 2021;389;0,00000360;
май 2021;262;0,00000253;
июнь 2021;179;0,00000180;
июль 2021;388;0,00000399;
август 2021;484;0,00000482;
сентябрь 2021;763;0,00000712;
октябрь 2021;621;0,00000546;
ноябрь 2021;347;0,00000299;
декабрь 2021;345;0,00000291;
январь 2022;379;0,00000317;
февраль 2022;488;0,00000413;
март 2022;157;0,00000123;
апрель 2022;93;0,00000077;
май 2022;128;0,00000107;
июнь 2022;71;0,00000066;
июль 2022;137;0,00000131;
август 2022;119;0,00000110;
сентябрь 2022;150;0,00000128;
октябрь 2022;191;0,00000154;
ноябрь 2022;171;0,00000135;
декабрь 2022;179;0,00000142;
январь 2023;119;0,00000096;
февраль 2023;111;0,00000097;
март 2023;157;0,00000126;
апрель 2023;109;0,00000094;
май 2023;107;0,00000094;
июнь 2023;147;0,00000143;
июль 2023;157;0,00000155;
август 2023;149;0,00000148;
сентябрь 2023;190;0,00000176;
октябрь 2023;208;0,00000174;
ноябрь 2023;196;0,00000167;
декабрь 2023;192;0,00000160;
январь 2024;183;0,00000151;
февраль 2024;193;0,00000171;
март 2024;221;0,00000191;
апрель 2024;186;0,00000171;
май 2024;238;0,00000223;
июнь 2024;115;0,00000123;
июль 2024;142;0,00000152;
август 2024;128;0,00000136;
сентябрь 2024;141;0,00000141;
октябрь 2024;175;0,00000155;
ноябрь 2024;157;0,00000135;
декабрь 2024;125;0,00000104;
январь 2025;130;0,00000109;
февраль 2025;148;0,00000129;
март 2025;161;0,00000134;
апрель 2025;112;0,00000098;
май 2025;155;0,00000145;
июнь 2025;183;0,00000173;
