Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цилиндры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 162 667;0,014;
февраль 2018;1 206 136;0,015;
март 2018;1 328 892;0,015;
апрель 2018;1 319 173;0,017;
май 2018;1 368 472;0,018;
июнь 2018;1 090 929;0,015;
июль 2018;960 216;0,013;
август 2018;971 271;0,013;
сентябрь 2018;1 125 981;0,014;
октябрь 2018;1 393 396;0,015;
ноябрь 2018;1 432 722;0,016;
декабрь 2018;1 455 560;0,017;
январь 2019;1 362 699;0,015;
февраль 2019;1 421 657;0,016;
март 2019;1 519 670;0,017;
апрель 2019;1 565 704;0,018;
май 2019;1 497 788;0,018;
июнь 2019;1 226 697;0,016;
июль 2019;1 073 077;0,014;
август 2019;1 010 502;0,013;
сентябрь 2019;1 166 591;0,014;
октябрь 2019;1 399 750;0,015;
ноябрь 2019;1 542 460;0,017;
декабрь 2019;1 674 652;0,018;
январь 2020;1 573 443;0,016;
февраль 2020;1 592 062;0,017;
март 2020;1 766 134;0,017;
апрель 2020;2 652 497;0,022;
май 2020;2 351 810;0,021;
июнь 2020;1 873 856;0,021;
июль 2020;1 333 000;0,015;
август 2020;1 207 725;0,014;
сентябрь 2020;1 538 093;0,016;
октябрь 2020;1 750 261;0,016;
ноябрь 2020;2 144 153;0,018;
декабрь 2020;2 289 492;0,020;
январь 2021;1 782 013;0,017;
февраль 2021;1 811 542;0,018;
март 2021;2 116 181;0,019;
апрель 2021;2 204 047;0,020;
май 2021;1 984 410;0,019;
июнь 2021;1 845 272;0,018;
июль 2021;1 396 127;0,014;
август 2021;1 408 296;0,014;
сентябрь 2021;1 697 756;0,015;
октябрь 2021;1 893 910;0,016;
ноябрь 2021;2 053 264;0,017;
декабрь 2021;2 198 785;0,018;
январь 2022;1 932 329;0,016;
февраль 2022;1 987 491;0,016;
март 2022;2 178 461;0,017;
апрель 2022;2 254 136;0,018;
май 2022;2 206 384;0,018;
июнь 2022;2 025 430;0,018;
июль 2022;1 574 712;0,015;
август 2022;1 618 275;0,015;
сентябрь 2022;1 805 284;0,015;
октябрь 2022;2 064 812;0,016;
ноябрь 2022;2 211 019;0,017;
декабрь 2022;2 205 458;0,017;
январь 2023;2 071 651;0,016;
февраль 2023;1 943 601;0,017;
март 2023;2 407 230;0,019;
апрель 2023;2 367 129;0,020;
май 2023;2 319 642;0,020;
июнь 2023;1 965 865;0,019;
июль 2023;1 583 023;0,015;
август 2023;1 562 541;0,015;
сентябрь 2023;1 915 485;0,017;
октябрь 2023;2 126 263;0,017;
ноябрь 2023;2 200 508;0,018;
декабрь 2023;2 212 426;0,018;
январь 2024;2 081 508;0,017;
февраль 2024;2 133 880;0,019;
март 2024;2 314 114;0,020;
апрель 2024;2 466 406;0,022;
май 2024;2 307 955;0,021;
июнь 2024;1 823 834;0,019;
июль 2024;1 584 224;0,017;
август 2024;1 516 393;0,016;
сентябрь 2024;1 862 416;0,018;
октябрь 2024;2 254 058;0,020;
ноябрь 2024;2 296 160;0,019;
декабрь 2024;2 350 147;0,019;
январь 2025;2 157 816;0,018;
февраль 2025;2 237 888;0,019;
март 2025;2 509 869;0,020;
апрель 2025;2 535 101;0,022;
май 2025;2 372 248;0,022;
июнь 2025;2 066 311;0,019;
