Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка для кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;80 052;0,00103;
февраль 2018;79 328;0,00102;
март 2018;89 195;0,00106;
апрель 2018;72 093;0,00095;
май 2018;69 299;0,00092;
июнь 2018;76 523;0,00110;
июль 2018;85 022;0,00121;
август 2018;83 539;0,00118;
сентябрь 2018;74 590;0,00094;
октябрь 2018;88 253;0,00095;
ноябрь 2018;84 591;0,00099;
декабрь 2018;68 040;0,00079;
январь 2019;83 831;0,00095;
февраль 2019;82 577;0,00098;
март 2019;86 583;0,00098;
апрель 2019;73 085;0,00088;
май 2019;66 999;0,00084;
июнь 2019;66 804;0,00092;
июль 2019;79 370;0,00107;
август 2019;72 182;0,00099;
сентябрь 2019;67 991;0,00086;
октябрь 2019;76 571;0,00086;
ноябрь 2019;79 507;0,00089;
декабрь 2019;68 043;0,00073;
январь 2020;85 048;0,00087;
февраль 2020;80 769;0,00087;
март 2020;73 920;0,00075;
апрель 2020;74 744;0,00062;
май 2020;85 163;0,00079;
июнь 2020;81 882;0,00091;
июль 2020;87 767;0,00104;
август 2020;82 646;0,00098;
сентябрь 2020;80 936;0,00085;
октябрь 2020;99 581;0,00092;
ноябрь 2020;112 939;0,00098;
декабрь 2020;95 722;0,00086;
январь 2021;108 747;0,00104;
февраль 2021;100 750;0,00100;
март 2021;109 045;0,00100;
апрель 2021;96 820;0,00089;
май 2021;91 070;0,00088;
июнь 2021;85 127;0,00085;
июль 2021;94 135;0,00097;
август 2021;108 427;0,00108;
сентябрь 2021;97 830;0,00091;
октябрь 2021;99 369;0,00087;
ноябрь 2021;105 919;0,00091;
декабрь 2021;89 040;0,00075;
январь 2022;96 806;0,00081;
февраль 2022;90 176;0,00076;
март 2022;95 982;0,00075;
апрель 2022;79 605;0,00066;
май 2022;68 499;0,00057;
июнь 2022;60 243;0,00056;
июль 2022;66 815;0,00064;
август 2022;68 538;0,00063;
сентябрь 2022;55 983;0,00047;
октябрь 2022;60 512;0,00048;
ноябрь 2022;67 057;0,00053;
декабрь 2022;55 460;0,00044;
январь 2023;66 322;0,00053;
февраль 2023;62 552;0,00054;
март 2023;66 879;0,00053;
апрель 2023;56 648;0,00049;
май 2023;54 684;0,00048;
июнь 2023;54 421;0,00053;
июль 2023;58 363;0,00057;
август 2023;54 563;0,00054;
сентябрь 2023;56 833;0,00052;
октябрь 2023;66 577;0,00055;
ноябрь 2023;58 175;0,00049;
декабрь 2023;46 411;0,00038;
январь 2024;55 801;0,00046;
февраль 2024;54 146;0,00048;
март 2024;52 160;0,00045;
апрель 2024;48 409;0,00044;
май 2024;48 174;0,00045;
июнь 2024;38 005;0,00040;
июль 2024;41 320;0,00044;
август 2024;39 593;0,00042;
сентябрь 2024;37 045;0,00037;
октябрь 2024;42 239;0,00037;
ноябрь 2024;44 672;0,00038;
декабрь 2024;39 728;0,00033;
январь 2025;46 616;0,00039;
февраль 2025;41 329;0,00036;
март 2025;39 424;0,00032;
апрель 2025;36 720;0,00032;
май 2025;36 554;0,00034;
июнь 2025;37 991;0,00035;
