Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители для душа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;61 650;0,00079;
февраль 2018;59 689;0,00077;
март 2018;66 920;0,00079;
апрель 2018;56 304;0,00074;
май 2018;56 257;0,00074;
июнь 2018;64 856;0,00093;
июль 2018;70 289;0,00100;
август 2018;70 058;0,00099;
сентябрь 2018;62 612;0,00079;
октябрь 2018;89 311;0,00096;
ноябрь 2018;71 107;0,00083;
декабрь 2018;70 787;0,00082;
январь 2019;73 990;0,00084;
февраль 2019;79 138;0,00094;
март 2019;78 091;0,00088;
апрель 2019;66 715;0,00080;
май 2019;64 676;0,00081;
июнь 2019;61 749;0,00085;
июль 2019;67 499;0,00091;
август 2019;67 533;0,00092;
сентябрь 2019;65 554;0,00083;
октябрь 2019;71 420;0,00080;
ноябрь 2019;79 141;0,00089;
декабрь 2019;93 494;0,00100;
январь 2020;97 801;0,00100;
февраль 2020;80 805;0,00087;
март 2020;77 567;0,00078;
апрель 2020;73 383;0,00061;
май 2020;83 887;0,00078;
июнь 2020;86 747;0,00097;
июль 2020;94 750;0,00112;
август 2020;84 631;0,00100;
сентябрь 2020;83 162;0,00087;
октябрь 2020;96 711;0,00089;
ноябрь 2020;106 595;0,00092;
декабрь 2020;106 735;0,00096;
январь 2021;113 214;0,00108;
февраль 2021;110 438;0,00110;
март 2021;115 201;0,00105;
апрель 2021;97 682;0,00090;
май 2021;97 226;0,00094;
июнь 2021;100 981;0,00101;
июль 2021;110 567;0,00113;
август 2021;120 115;0,00119;
сентябрь 2021;115 419;0,00107;
октябрь 2021;112 195;0,00098;
ноябрь 2021;129 914;0,00112;
декабрь 2021;125 403;0,00105;
январь 2022;130 975;0,00109;
февраль 2022;125 882;0,00106;
март 2022;156 269;0,00122;
апрель 2022;123 783;0,00103;
май 2022;112 541;0,00094;
июнь 2022;104 659;0,00097;
июль 2022;105 478;0,00101;
август 2022;106 021;0,00098;
сентябрь 2022;96 692;0,00082;
октябрь 2022;95 768;0,00077;
ноябрь 2022;103 746;0,00082;
декабрь 2022;95 169;0,00075;
январь 2023;102 491;0,00083;
февраль 2023;97 686;0,00085;
март 2023;106 863;0,00085;
апрель 2023;93 342;0,00080;
май 2023;97 995;0,00086;
июнь 2023;103 613;0,00101;
июль 2023;104 350;0,00103;
август 2023;108 294;0,00107;
сентябрь 2023;105 572;0,00098;
октябрь 2023;128 300;0,00107;
ноябрь 2023;123 679;0,00105;
декабрь 2023;103 466;0,00086;
январь 2024;114 592;0,00095;
февраль 2024;112 977;0,00100;
март 2024;111 487;0,00096;
апрель 2024;99 477;0,00091;
май 2024;100 151;0,00094;
июнь 2024;93 358;0,00099;
июль 2024;101 526;0,00109;
август 2024;92 080;0,00098;
сентябрь 2024;85 104;0,00085;
октябрь 2024;97 149;0,00086;
ноябрь 2024;105 224;0,00090;
декабрь 2024;102 148;0,00085;
январь 2025;108 243;0,00091;
февраль 2025;106 789;0,00093;
март 2025;104 500;0,00087;
апрель 2025;93 764;0,00082;
май 2025;89 325;0,00083;
июнь 2025;95 611;0,00090;
