Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Эмали для пола», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 019;0,000038;
февраль 2018;3 468;0,000044;
март 2018;4 239;0,000050;
апрель 2018;5 309;0,000070;
май 2018;7 274;0,000096;
июнь 2018;7 778;0,000112;
июль 2018;9 279;0,000132;
август 2018;8 975;0,000127;
сентябрь 2018;6 957;0,000087;
октябрь 2018;6 073;0,000065;
ноябрь 2018;4 095;0,000048;
декабрь 2018;3 226;0,000037;
январь 2019;3 064;0,000034;
февраль 2019;3 413;0,000040;
март 2019;4 971;0,000056;
апрель 2019;7 185;0,000086;
май 2019;8 369;0,000105;
июнь 2019;9 095;0,000125;
июль 2019;10 067;0,000136;
август 2019;9 063;0,000124;
сентябрь 2019;7 035;0,000089;
октябрь 2019;5 969;0,000067;
ноябрь 2019;4 952;0,000055;
декабрь 2019;4 740;0,000051;
январь 2020;4 621;0,000047;
февраль 2020;4 721;0,000051;
март 2020;6 059;0,000061;
апрель 2020;7 951;0,000066;
май 2020;12 190;0,000113;
июнь 2020;13 092;0,000146;
июль 2020;13 224;0,000157;
август 2020;12 626;0,000150;
сентябрь 2020;9 253;0,000097;
октябрь 2020;7 989;0,000074;
ноябрь 2020;6 437;0,000056;
декабрь 2020;5 787;0,000052;
январь 2021;4 521;0,000043;
февраль 2021;5 012;0,000050;
март 2021;6 708;0,000061;
апрель 2021;10 445;0,000096;
май 2021;12 043;0,000116;
июнь 2021;15 245;0,000153;
июль 2021;14 811;0,000152;
август 2021;15 136;0,000150;
сентябрь 2021;10 235;0,000095;
октябрь 2021;7 848;0,000069;
ноябрь 2021;7 314;0,000063;
декабрь 2021;6 052;0,000051;
январь 2022;5 279;0,000044;
февраль 2022;5 533;0,000046;
март 2022;8 814;0,000069;
апрель 2022;11 436;0,000095;
май 2022;14 497;0,000121;
июнь 2022;18 460;0,000172;
июль 2022;19 419;0,000186;
август 2022;17 802;0,000165;
сентябрь 2022;10 899;0,000093;
октябрь 2022;8 807;0,000071;
ноябрь 2022;7 598;0,000060;
декабрь 2022;5 885;0,000046;
январь 2023;5 087;0,000041;
февраль 2023;5 912;0,000051;
март 2023;8 516;0,000068;
апрель 2023;11 632;0,000100;
май 2023;14 250;0,000125;
июнь 2023;17 423;0,000169;
июль 2023;17 843;0,000176;
август 2023;16 237;0,000161;
сентябрь 2023;11 596;0,000107;
октябрь 2023;9 249;0,000077;
ноябрь 2023;7 087;0,000060;
декабрь 2023;6 142;0,000051;
январь 2024;5 154;0,000042;
февраль 2024;6 643;0,000059;
март 2024;8 040;0,000069;
апрель 2024;11 629;0,000107;
май 2024;12 853;0,000120;
июнь 2024;14 572;0,000156;
июль 2024;16 422;0,000176;
август 2024;14 495;0,000155;
сентябрь 2024;11 305;0,000113;
октябрь 2024;8 318;0,000074;
ноябрь 2024;6 786;0,000058;
декабрь 2024;6 569;0,000054;
январь 2025;5 856;0,000049;
февраль 2025;7 077;0,000062;
март 2025;8 766;0,000073;
апрель 2025;10 563;0,000092;
май 2025;12 110;0,000113;
июнь 2025;16 623;0,000157;
