Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Металлопластиковые трубы и фитинги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 806;0,0000232;
февраль 2018;1 774;0,0000228;
март 2018;1 209;0,0000143;
апрель 2018;1 212;0,0000159;
май 2018;1 491;0,0000198;
июнь 2018;1 278;0,0000184;
июль 2018;1 236;0,0000176;
август 2018;1 261;0,0000178;
сентябрь 2018;1 086;0,0000137;
октябрь 2018;1 308;0,0000141;
ноябрь 2018;1 086;0,0000127;
декабрь 2018;859;0,0000100;
январь 2019;850;0,0000096;
февраль 2019;904;0,0000107;
март 2019;886;0,0000100;
апрель 2019;888;0,0000107;
май 2019;1 056;0,0000133;
июнь 2019;1 110;0,0000153;
июль 2019;1 138;0,0000154;
август 2019;800;0,0000110;
сентябрь 2019;752;0,0000095;
октябрь 2019;1 020;0,0000115;
ноябрь 2019;1 084;0,0000122;
декабрь 2019;863;0,0000093;
январь 2020;906;0,0000093;
февраль 2020;915;0,0000099;
март 2020;884;0,0000089;
апрель 2020;1 187;0,0000099;
май 2020;1 611;0,0000150;
июнь 2020;1 413;0,0000158;
июль 2020;1 228;0,0000145;
август 2020;1 391;0,0000165;
сентябрь 2020;1 470;0,0000154;
октябрь 2020;1 435;0,0000133;
ноябрь 2020;1 347;0,0000117;
декабрь 2020;1 260;0,0000114;
январь 2021;1 330;0,0000127;
февраль 2021;1 211;0,0000121;
март 2021;1 261;0,0000115;
апрель 2021;1 259;0,0000116;
май 2021;1 265;0,0000122;
июнь 2021;1 055;0,0000106;
июль 2021;951;0,0000098;
август 2021;1 101;0,0000109;
сентябрь 2021;1 084;0,0000101;
октябрь 2021;893;0,0000078;
ноябрь 2021;834;0,0000071;
декабрь 2021;727;0,0000061;
январь 2022;816;0,0000068;
февраль 2022;544;0,0000046;
март 2022;700;0,0000054;
апрель 2022;752;0,0000062;
май 2022;1 007;0,0000084;
июнь 2022;688;0,0000064;
июль 2022;585;0,0000056;
август 2022;494;0,0000045;
сентябрь 2022;573;0,0000049;
октябрь 2022;449;0,0000036;
ноябрь 2022;477;0,0000037;
декабрь 2022;399;0,0000031;
январь 2023;492;0,0000039;
февраль 2023;541;0,0000047;
март 2023;565;0,0000045;
апрель 2023;514;0,0000044;
май 2023;596;0,0000052;
июнь 2023;549;0,0000053;
июль 2023;530;0,0000052;
август 2023;467;0,0000046;
сентябрь 2023;457;0,0000042;
октябрь 2023;566;0,0000047;
ноябрь 2023;472;0,0000040;
декабрь 2023;462;0,0000038;
январь 2024;460;0,0000038;
февраль 2024;427;0,0000038;
март 2024;357;0,0000030;
апрель 2024;478;0,0000044;
май 2024;535;0,0000050;
июнь 2024;442;0,0000047;
июль 2024;411;0,0000044;
август 2024;414;0,0000044;
сентябрь 2024;436;0,0000043;
октябрь 2024;471;0,0000041;
ноябрь 2024;472;0,0000040;
декабрь 2024;414;0,0000034;
январь 2025;511;0,0000043;
февраль 2025;449;0,0000039;
март 2025;458;0,0000038;
апрель 2025;464;0,0000040;
май 2025;470;0,0000044;
июнь 2025;438;0,0000041;
