Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы малярные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;213;0,0000027;
февраль 2018;204;0,0000026;
март 2018;217;0,0000025;
апрель 2018;209;0,0000027;
май 2018;258;0,0000034;
июнь 2018;245;0,0000035;
июль 2018;198;0,0000028;
август 2018;237;0,0000033;
сентябрь 2018;191;0,0000024;
октябрь 2018;302;0,0000032;
ноябрь 2018;196;0,0000023;
декабрь 2018;183;0,0000021;
январь 2019;224;0,0000025;
февраль 2019;287;0,0000034;
март 2019;325;0,0000037;
апрель 2019;333;0,0000040;
май 2019;290;0,0000036;
июнь 2019;257;0,0000035;
июль 2019;291;0,0000039;
август 2019;236;0,0000032;
сентябрь 2019;292;0,0000037;
октябрь 2019;278;0,0000031;
ноябрь 2019;281;0,0000031;
декабрь 2019;307;0,0000033;
январь 2020;257;0,0000026;
февраль 2020;291;0,0000031;
март 2020;339;0,0000034;
апрель 2020;320;0,0000026;
май 2020;351;0,0000032;
июнь 2020;351;0,0000039;
июль 2020;357;0,0000042;
август 2020;394;0,0000046;
сентябрь 2020;400;0,0000042;
октябрь 2020;403;0,0000037;
ноябрь 2020;401;0,0000034;
декабрь 2020;296;0,0000026;
январь 2021;257;0,0000024;
февраль 2021;369;0,0000036;
март 2021;406;0,0000037;
апрель 2021;549;0,0000050;
май 2021;473;0,0000045;
июнь 2021;622;0,0000062;
июль 2021;463;0,0000047;
август 2021;564;0,0000056;
сентябрь 2021;480;0,0000044;
октябрь 2021;512;0,0000045;
ноябрь 2021;536;0,0000046;
декабрь 2021;457;0,0000038;
январь 2022;508;0,0000042;
февраль 2022;608;0,0000051;
март 2022;574;0,0000045;
апрель 2022;738;0,0000061;
май 2022;751;0,0000062;
июнь 2022;673;0,0000062;
июль 2022;536;0,0000051;
август 2022;679;0,0000063;
сентябрь 2022;604;0,0000051;
октябрь 2022;556;0,0000044;
ноябрь 2022;685;0,0000054;
декабрь 2022;440;0,0000034;
январь 2023;449;0,0000036;
февраль 2023;657;0,0000057;
март 2023;947;0,0000076;
апрель 2023;814;0,0000070;
май 2023;874;0,0000077;
июнь 2023;899;0,0000087;
июль 2023;814;0,0000080;
август 2023;805;0,0000080;
сентябрь 2023;620;0,0000057;
октябрь 2023;710;0,0000059;
ноябрь 2023;669;0,0000057;
декабрь 2023;595;0,0000049;
январь 2024;724;0,0000060;
февраль 2024;862;0,0000076;
март 2024;1 049;0,0000090;
апрель 2024;1 238;0,0000114;
май 2024;1 091;0,0000102;
июнь 2024;923;0,0000098;
июль 2024;863;0,0000092;
август 2024;905;0,0000096;
сентябрь 2024;834;0,0000083;
октябрь 2024;753;0,0000067;
ноябрь 2024;970;0,0000083;
декабрь 2024;809;0,0000067;
январь 2025;830;0,0000069;
февраль 2025;981;0,0000085;
март 2025;1 109;0,0000092;
апрель 2025;1 132;0,0000099;
май 2025;1 155;0,0000108;
июнь 2025;1 072;0,0000101;
