Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Биты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 629 477;0,033;
февраль 2018;2 606 224;0,033;
март 2018;2 834 158;0,033;
апрель 2018;2 560 923;0,033;
май 2018;2 541 970;0,033;
июнь 2018;2 159 014;0,031;
июль 2018;2 275 197;0,032;
август 2018;2 348 183;0,033;
сентябрь 2018;2 801 991;0,035;
октябрь 2018;3 475 550;0,037;
ноябрь 2018;3 203 479;0,037;
декабрь 2018;3 440 466;0,040;
январь 2019;3 490 105;0,039;
февраль 2019;3 205 027;0,038;
март 2019;3 176 630;0,036;
апрель 2019;2 948 259;0,035;
май 2019;2 776 767;0,035;
июнь 2019;2 532 337;0,034;
июль 2019;2 601 079;0,035;
август 2019;2 747 801;0,037;
сентябрь 2019;3 070 978;0,039;
октябрь 2019;3 522 493;0,039;
ноябрь 2019;3 426 716;0,038;
декабрь 2019;3 649 770;0,039;
январь 2020;3 818 825;0,039;
февраль 2020;3 690 890;0,040;
март 2020;3 835 353;0,039;
апрель 2020;5 495 724;0,046;
май 2020;4 802 447;0,044;
июнь 2020;3 361 887;0,037;
июль 2020;3 097 175;0,036;
август 2020;3 218 109;0,038;
сентябрь 2020;3 841 404;0,040;
октябрь 2020;4 817 216;0,044;
ноябрь 2020;5 390 556;0,047;
декабрь 2020;4 847 539;0,043;
январь 2021;4 037 807;0,038;
февраль 2021;3 819 377;0,038;
март 2021;3 973 210;0,036;
апрель 2021;5 452 208;0,050;
май 2021;3 919 437;0,037;
июнь 2021;3 396 940;0,034;
июль 2021;3 427 319;0,035;
август 2021;3 513 190;0,035;
сентябрь 2021;4 402 920;0,041;
октябрь 2021;4 906 448;0,043;
ноябрь 2021;4 860 497;0,041;
декабрь 2021;4 858 180;0,040;
январь 2022;4 699 802;0,039;
февраль 2022;4 534 681;0,038;
март 2022;4 523 603;0,035;
апрель 2022;4 268 882;0,035;
май 2022;4 242 168;0,035;
июнь 2022;3 735 740;0,034;
июль 2022;3 522 666;0,033;
август 2022;3 687 870;0,034;
сентябрь 2022;4 231 114;0,036;
октябрь 2022;4 986 428;0,040;
ноябрь 2022;4 974 233;0,039;
декабрь 2022;4 992 776;0,039;
январь 2023;4 729 697;0,038;
февраль 2023;4 357 713;0,038;
март 2023;4 749 371;0,038;
апрель 2023;4 387 499;0,038;
май 2023;4 386 203;0,038;
июнь 2023;3 724 438;0,036;
июль 2023;3 600 163;0,035;
август 2023;3 663 179;0,036;
сентябрь 2023;4 315 914;0,040;
октябрь 2023;4 942 613;0,041;
ноябрь 2023;4 734 720;0,040;
декабрь 2023;5 008 464;0,041;
январь 2024;4 720 880;0,039;
февраль 2024;4 469 754;0,039;
март 2024;4 423 870;0,038;
апрель 2024;4 204 116;0,038;
май 2024;4 232 808;0,039;
июнь 2024;3 374 517;0,036;
июль 2024;3 317 339;0,035;
август 2024;3 600 747;0,038;
сентябрь 2024;4 147 123;0,041;
октябрь 2024;4 774 476;0,042;
ноябрь 2024;5 090 403;0,043;
декабрь 2024;5 581 415;0,046;
январь 2025;5 039 403;0,042;
февраль 2025;4 844 860;0,042;
март 2025;4 773 060;0,039;
апрель 2025;4 709 143;0,041;
май 2025;4 318 577;0,040;
июнь 2025;3 879 570;0,036;
