Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ковры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 623 148;0,020;
февраль 2018;1 455 243;0,018;
март 2018;1 564 413;0,018;
апрель 2018;1 356 176;0,017;
май 2018;1 379 009;0,018;
июнь 2018;1 392 761;0,020;
июль 2018;1 566 465;0,022;
август 2018;1 709 829;0,024;
сентябрь 2018;1 785 977;0,022;
октябрь 2018;2 144 640;0,023;
ноябрь 2018;1 919 070;0,022;
декабрь 2018;1 845 513;0,021;
январь 2019;1 856 092;0,021;
февраль 2019;1 664 599;0,019;
март 2019;1 708 519;0,019;
апрель 2019;1 578 227;0,019;
май 2019;1 540 279;0,019;
июнь 2019;1 509 987;0,020;
июль 2019;1 749 312;0,023;
август 2019;1 822 025;0,025;
сентябрь 2019;1 951 898;0,024;
октябрь 2019;2 083 140;0,023;
ноябрь 2019;2 017 875;0,022;
декабрь 2019;2 119 701;0,022;
январь 2020;2 079 039;0,021;
февраль 2020;1 901 366;0,020;
март 2020;1 850 276;0,018;
апрель 2020;2 059 990;0,017;
май 2020;2 158 019;0,020;
июнь 2020;2 001 653;0,022;
июль 2020;2 115 345;0,025;
август 2020;2 188 351;0,026;
сентябрь 2020;2 358 566;0,024;
октябрь 2020;2 557 106;0,023;
ноябрь 2020;2 725 668;0,023;
декабрь 2020;2 646 323;0,023;
январь 2021;2 351 642;0,022;
февраль 2021;2 139 087;0,021;
март 2021;2 243 472;0,020;
апрель 2021;2 214 270;0,020;
май 2021;2 137 016;0,020;
июнь 2021;2 131 112;0,021;
июль 2021;2 239 762;0,023;
август 2021;2 557 502;0,025;
сентябрь 2021;2 745 521;0,025;
октябрь 2021;2 643 241;0,023;
ноябрь 2021;2 713 130;0,023;
декабрь 2021;2 789 192;0,023;
январь 2022;2 556 462;0,021;
февраль 2022;2 284 847;0,019;
март 2022;2 463 593;0,019;
апрель 2022;2 391 824;0,020;
май 2022;2 382 263;0,019;
июнь 2022;2 265 572;0,021;
июль 2022;2 461 343;0,023;
август 2022;2 613 263;0,024;
сентябрь 2022;2 612 126;0,022;
октябрь 2022;2 653 207;0,021;
ноябрь 2022;2 735 657;0,021;
декабрь 2022;2 788 825;0,022;
январь 2023;2 404 982;0,019;
февраль 2023;2 200 088;0,019;
март 2023;2 390 449;0,019;
апрель 2023;2 187 883;0,018;
май 2023;2 193 639;0,019;
июнь 2023;2 137 596;0,020;
июль 2023;2 376 371;0,023;
август 2023;2 504 979;0,024;
сентябрь 2023;2 477 884;0,023;
октябрь 2023;2 713 076;0,022;
ноябрь 2023;2 580 089;0,021;
декабрь 2023;2 488 687;0,020;
январь 2024;2 350 871;0,019;
февраль 2024;2 139 679;0,019;
март 2024;2 172 983;0,018;
апрель 2024;2 134 053;0,019;
май 2024;2 073 374;0,019;
июнь 2024;1 999 165;0,021;
июль 2024;2 163 296;0,023;
август 2024;2 187 367;0,023;
сентябрь 2024;2 208 851;0,022;
октябрь 2024;2 461 063;0,021;
ноябрь 2024;2 470 251;0,021;
декабрь 2024;2 496 573;0,020;
январь 2025;2 318 155;0,019;
февраль 2025;2 103 405;0,018;
март 2025;2 226 363;0,018;
апрель 2025;2 142 802;0,018;
май 2025;2 080 145;0,019;
июнь 2025;2 164 997;0,020;
