Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коврики для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;35 634;0,00045;
февраль 2018;33 896;0,00043;
март 2018;35 292;0,00041;
апрель 2018;29 198;0,00038;
май 2018;24 942;0,00033;
июнь 2018;27 887;0,00040;
июль 2018;30 730;0,00043;
август 2018;32 653;0,00046;
сентябрь 2018;33 416;0,00042;
октябрь 2018;39 942;0,00043;
ноябрь 2018;38 022;0,00044;
декабрь 2018;35 785;0,00041;
январь 2019;34 610;0,00039;
февраль 2019;32 029;0,00038;
март 2019;31 155;0,00035;
апрель 2019;25 810;0,00031;
май 2019;23 759;0,00030;
июнь 2019;25 419;0,00035;
июль 2019;31 468;0,00042;
август 2019;31 992;0,00044;
сентябрь 2019;33 561;0,00042;
октябрь 2019;40 157;0,00045;
ноябрь 2019;40 269;0,00045;
декабрь 2019;44 078;0,00047;
январь 2020;43 813;0,00045;
февраль 2020;37 007;0,00040;
март 2020;35 132;0,00035;
апрель 2020;32 250;0,00026;
май 2020;38 587;0,00035;
июнь 2020;36 335;0,00040;
июль 2020;38 856;0,00046;
август 2020;40 622;0,00048;
сентябрь 2020;43 447;0,00045;
октябрь 2020;47 710;0,00044;
ноябрь 2020;52 199;0,00045;
декабрь 2020;53 130;0,00048;
январь 2021;49 369;0,00047;
февраль 2021;47 930;0,00047;
март 2021;45 542;0,00041;
апрель 2021;41 751;0,00038;
май 2021;39 438;0,00038;
июнь 2021;41 314;0,00041;
июль 2021;46 728;0,00048;
август 2021;56 424;0,00056;
сентябрь 2021;58 542;0,00054;
октябрь 2021;55 930;0,00049;
ноябрь 2021;61 453;0,00053;
декабрь 2021;60 040;0,00050;
январь 2022;62 049;0,00052;
февраль 2022;52 272;0,00044;
март 2022;47 600;0,00037;
апрель 2022;46 279;0,00038;
май 2022;44 431;0,00037;
июнь 2022;44 610;0,00041;
июль 2022;48 756;0,00046;
август 2022;54 850;0,00050;
сентябрь 2022;51 969;0,00044;
октябрь 2022;53 133;0,00042;
ноябрь 2022;56 298;0,00044;
декабрь 2022;51 195;0,00040;
январь 2023;48 165;0,00039;
февраль 2023;43 599;0,00038;
март 2023;45 601;0,00036;
апрель 2023;36 640;0,00031;
май 2023;38 541;0,00034;
июнь 2023;41 685;0,00040;
июль 2023;46 104;0,00045;
август 2023;51 267;0,00051;
сентябрь 2023;57 055;0,00053;
октябрь 2023;74 283;0,00062;
ноябрь 2023;71 388;0,00060;
декабрь 2023;59 356;0,00049;
январь 2024;57 026;0,00047;
февраль 2024;51 782;0,00046;
март 2024;46 408;0,00040;
апрель 2024;41 406;0,00038;
май 2024;42 612;0,00040;
июнь 2024;37 482;0,00040;
июль 2024;42 130;0,00045;
август 2024;40 840;0,00043;
сентябрь 2024;39 142;0,00039;
октябрь 2024;43 697;0,00038;
ноябрь 2024;46 026;0,00039;
декабрь 2024;43 418;0,00036;
январь 2025;41 526;0,00034;
февраль 2025;39 144;0,00034;
март 2025;36 118;0,00030;
апрель 2025;30 965;0,00027;
май 2025;30 046;0,00028;
июнь 2025;33 376;0,00031;
