Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лезвия для ножей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 731;0,000086;
февраль 2018;7 583;0,000097;
март 2018;8 306;0,000098;
апрель 2018;6 667;0,000087;
май 2018;6 371;0,000084;
июнь 2018;6 237;0,000089;
июль 2018;7 016;0,000100;
август 2018;7 901;0,000111;
сентябрь 2018;8 028;0,000101;
октябрь 2018;10 502;0,000113;
ноябрь 2018;10 429;0,000122;
декабрь 2018;8 439;0,000098;
январь 2019;9 085;0,000103;
февраль 2019;9 229;0,000110;
март 2019;9 796;0,000111;
апрель 2019;8 294;0,000100;
май 2019;7 404;0,000093;
июнь 2019;6 844;0,000094;
июль 2019;7 705;0,000104;
август 2019;8 282;0,000113;
сентябрь 2019;8 913;0,000113;
октябрь 2019;11 281;0,000127;
ноябрь 2019;12 131;0,000136;
декабрь 2019;10 699;0,000115;
январь 2020;10 701;0,000110;
февраль 2020;10 898;0,000118;
март 2020;9 908;0,000100;
апрель 2020;9 734;0,000081;
май 2020;10 363;0,000096;
июнь 2020;10 003;0,000112;
июль 2020;9 867;0,000117;
август 2020;10 465;0,000124;
сентябрь 2020;11 450;0,000120;
октябрь 2020;14 530;0,000135;
ноябрь 2020;17 330;0,000151;
декабрь 2020;14 504;0,000131;
январь 2021;12 945;0,000124;
февраль 2021;13 475;0,000134;
март 2021;15 020;0,000137;
апрель 2021;13 857;0,000128;
май 2021;12 249;0,000118;
июнь 2021;12 097;0,000121;
июль 2021;12 207;0,000125;
август 2021;14 310;0,000142;
сентябрь 2021;16 282;0,000151;
октябрь 2021;19 485;0,000171;
ноябрь 2021;21 110;0,000182;
декабрь 2021;18 307;0,000154;
январь 2022;17 991;0,000150;
февраль 2022;17 926;0,000151;
март 2022;17 551;0,000137;
апрель 2022;16 517;0,000138;
май 2022;15 858;0,000132;
июнь 2022;14 947;0,000139;
июль 2022;15 456;0,000148;
август 2022;17 164;0,000159;
сентябрь 2022;17 370;0,000148;
октябрь 2022;25 200;0,000203;
ноябрь 2022;24 552;0,000194;
декабрь 2022;18 822;0,000149;
январь 2023;18 221;0,000147;
февраль 2023;18 547;0,000162;
март 2023;20 841;0,000167;
апрель 2023;17 504;0,000151;
май 2023;17 268;0,000152;
июнь 2023;16 093;0,000156;
июль 2023;17 148;0,000169;
август 2023;18 284;0,000182;
сентябрь 2023;18 529;0,000172;
октябрь 2023;25 372;0,000212;
ноябрь 2023;26 127;0,000222;
декабрь 2023;20 690;0,000173;
январь 2024;19 819;0,000164;
февраль 2024;21 570;0,000192;
март 2024;20 474;0,000177;
апрель 2024;19 142;0,000176;
май 2024;17 947;0,000168;
июнь 2024;15 687;0,000167;
июль 2024;16 669;0,000179;
август 2024;17 806;0,000190;
сентябрь 2024;18 020;0,000181;
октябрь 2024;24 485;0,000218;
ноябрь 2024;26 252;0,000225;
декабрь 2024;22 379;0,000186;
январь 2025;21 892;0,000184;
февраль 2025;23 271;0,000203;
март 2025;20 936;0,000174;
апрель 2025;19 191;0,000168;
май 2025;17 191;0,000161;
июнь 2025;17 951;0,000170;
