Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала без подсветки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;545;0,0000070;
февраль 2018;489;0,0000063;
март 2018;586;0,0000069;
апрель 2018;464;0,0000061;
май 2018;458;0,0000060;
июнь 2018;445;0,0000064;
июль 2018;530;0,0000075;
август 2018;498;0,0000070;
сентябрь 2018;510;0,0000064;
октябрь 2018;675;0,0000073;
ноябрь 2018;640;0,0000075;
декабрь 2018;612;0,0000071;
январь 2019;714;0,0000081;
февраль 2019;817;0,0000097;
март 2019;802;0,0000091;
апрель 2019;1 306;0,0000158;
май 2019;1 003;0,0000126;
июнь 2019;970;0,0000133;
июль 2019;941;0,0000127;
август 2019;1 093;0,0000150;
сентябрь 2019;991;0,0000125;
октябрь 2019;1 370;0,0000154;
ноябрь 2019;1 513;0,0000170;
декабрь 2019;3 277;0,0000353;
январь 2020;2 715;0,0000279;
февраль 2020;1 057;0,0000114;
март 2020;895;0,0000091;
апрель 2020;717;0,0000060;
май 2020;923;0,0000086;
июнь 2020;995;0,0000111;
июль 2020;1 356;0,0000161;
август 2020;1 465;0,0000174;
сентябрь 2020;1 676;0,0000176;
октябрь 2020;1 914;0,0000177;
ноябрь 2020;1 932;0,0000168;
декабрь 2020;2 043;0,0000184;
январь 2021;1 900;0,0000182;
февраль 2021;1 922;0,0000192;
март 2021;2 105;0,0000193;
апрель 2021;1 899;0,0000176;
май 2021;1 538;0,0000149;
июнь 2021;1 600;0,0000161;
июль 2021;1 864;0,0000192;
август 2021;2 426;0,0000241;
сентябрь 2021;2 165;0,0000202;
октябрь 2021;1 960;0,0000172;
ноябрь 2021;2 402;0,0000207;
декабрь 2021;2 304;0,0000194;
январь 2022;2 514;0,0000210;
февраль 2022;2 249;0,0000190;
март 2022;2 562;0,0000200;
апрель 2022;2 256;0,0000188;
май 2022;1 915;0,0000160;
июнь 2022;1 719;0,0000160;
июль 2022;1 943;0,0000186;
август 2022;2 139;0,0000198;
сентябрь 2022;2 037;0,0000174;
октябрь 2022;2 313;0,0000187;
ноябрь 2022;2 672;0,0000211;
декабрь 2022;2 432;0,0000193;
январь 2023;2 359;0,0000191;
февраль 2023;2 265;0,0000198;
март 2023;2 394;0,0000192;
апрель 2023;2 065;0,0000178;
май 2023;2 422;0,0000214;
июнь 2023;2 438;0,0000237;
июль 2023;2 642;0,0000261;
август 2023;2 996;0,0000298;
сентябрь 2023;3 001;0,0000279;
октябрь 2023;3 963;0,0000332;
ноябрь 2023;3 880;0,0000330;
декабрь 2023;3 321;0,0000278;
январь 2024;3 352;0,0000278;
февраль 2024;3 450;0,0000307;
март 2024;3 302;0,0000286;
апрель 2024;2 918;0,0000268;
май 2024;3 093;0,0000290;
июнь 2024;2 568;0,0000274;
июль 2024;2 728;0,0000293;
август 2024;2 763;0,0000295;
сентябрь 2024;2 657;0,0000267;
октябрь 2024;2 987;0,0000266;
ноябрь 2024;3 443;0,0000296;
декабрь 2024;3 114;0,0000259;
январь 2025;3 356;0,0000282;
февраль 2025;3 265;0,0000286;
март 2025;3 343;0,0000278;
апрель 2025;2 705;0,0000237;
май 2025;2 566;0,0000240;
июнь 2025;2 726;0,0000258;
