Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Терки для штукатурки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;628;0,0000080;
февраль 2018;610;0,0000078;
март 2018;848;0,0000100;
апрель 2018;801;0,0000105;
май 2018;956;0,0000127;
июнь 2018;1 099;0,0000158;
июль 2018;1 113;0,0000159;
август 2018;1 165;0,0000165;
сентябрь 2018;1 210;0,0000152;
октябрь 2018;1 148;0,0000124;
ноябрь 2018;819;0,0000096;
декабрь 2018;808;0,0000094;
январь 2019;807;0,0000091;
февраль 2019;824;0,0000098;
март 2019;931;0,0000106;
апрель 2019;1 098;0,0000132;
май 2019;1 160;0,0000146;
июнь 2019;1 273;0,0000175;
июль 2019;1 506;0,0000204;
август 2019;1 384;0,0000190;
сентябрь 2019;1 301;0,0000165;
октябрь 2019;1 225;0,0000138;
ноябрь 2019;1 138;0,0000128;
декабрь 2019;1 052;0,0000113;
январь 2020;1 172;0,0000120;
февраль 2020;1 326;0,0000144;
март 2020;1 230;0,0000125;
апрель 2020;1 756;0,0000146;
май 2020;2 083;0,0000194;
июнь 2020;2 117;0,0000237;
июль 2020;2 146;0,0000254;
август 2020;2 054;0,0000244;
сентябрь 2020;1 999;0,0000210;
октябрь 2020;2 006;0,0000186;
ноябрь 2020;1 610;0,0000140;
декабрь 2020;1 579;0,0000142;
январь 2021;1 527;0,0000146;
февраль 2021;1 509;0,0000150;
март 2021;1 834;0,0000168;
апрель 2021;2 026;0,0000187;
май 2021;2 198;0,0000213;
июнь 2021;2 358;0,0000237;
июль 2021;2 495;0,0000257;
август 2021;2 816;0,0000280;
сентябрь 2021;2 355;0,0000219;
октябрь 2021;2 302;0,0000202;
ноябрь 2021;2 186;0,0000188;
декабрь 2021;1 797;0,0000151;
январь 2022;2 007;0,0000168;
февраль 2022;1 979;0,0000167;
март 2022;2 003;0,0000157;
апрель 2022;2 515;0,0000210;
май 2022;2 955;0,0000247;
июнь 2022;2 988;0,0000278;
июль 2022;3 185;0,0000305;
август 2022;3 344;0,0000310;
сентябрь 2022;2 736;0,0000234;
октябрь 2022;2 507;0,0000202;
ноябрь 2022;2 491;0,0000197;
декабрь 2022;1 816;0,0000144;
январь 2023;2 320;0,0000188;
февраль 2023;2 137;0,0000187;
март 2023;2 593;0,0000208;
апрель 2023;2 636;0,0000228;
май 2023;3 083;0,0000272;
июнь 2023;3 089;0,0000301;
июль 2023;3 349;0,0000332;
август 2023;3 278;0,0000326;
сентябрь 2023;2 857;0,0000265;
октябрь 2023;2 746;0,0000230;
ноябрь 2023;2 386;0,0000203;
декабрь 2023;1 963;0,0000164;
январь 2024;2 004;0,0000166;
февраль 2024;2 264;0,0000201;
март 2024;2 348;0,0000203;
апрель 2024;2 654;0,0000244;
май 2024;3 023;0,0000283;
июнь 2024;2 992;0,0000320;
июль 2024;3 077;0,0000330;
август 2024;3 113;0,0000332;
сентябрь 2024;2 931;0,0000295;
октябрь 2024;2 664;0,0000237;
ноябрь 2024;2 207;0,0000189;
декабрь 2024;2 074;0,0000172;
январь 2025;2 257;0,0000190;
февраль 2025;2 446;0,0000214;
март 2025;2 407;0,0000200;
апрель 2025;2 689;0,0000236;
май 2025;2 903;0,0000271;
июнь 2025;3 235;0,0000306;
