Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти к бетоносмесителям», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;24;0,00000030;
февраль 2018;38;0,00000049;
март 2018;50;0,00000059;
апрель 2018;82;0,00000108;
май 2018;105;0,00000139;
июнь 2018;125;0,00000180;
июль 2018;109;0,00000155;
август 2018;94;0,00000133;
сентябрь 2018;53;0,00000066;
октябрь 2018;57;0,00000061;
ноябрь 2018;15;0,00000017;
декабрь 2018;22;0,00000025;
январь 2019;42;0,00000047;
февраль 2019;48;0,00000057;
март 2019;38;0,00000043;
апрель 2019;49;0,00000059;
май 2019;81;0,00000102;
июнь 2019;99;0,00000136;
июль 2019;80;0,00000108;
август 2019;87;0,00000119;
сентябрь 2019;52;0,00000066;
октябрь 2019;59;0,00000066;
ноябрь 2019;32;0,00000036;
декабрь 2019;30;0,00000032;
январь 2020;30;0,00000030;
февраль 2020;18;0,00000019;
март 2020;31;0,00000031;
апрель 2020;30;0,00000025;
май 2020;52;0,00000048;
июнь 2020;78;0,00000087;
июль 2020;84;0,00000099;
август 2020;46;0,00000054;
сентябрь 2020;88;0,00000092;
октябрь 2020;40;0,00000037;
ноябрь 2020;50;0,00000043;
декабрь 2020;28;0,00000025;
январь 2021;13;0,00000012;
февраль 2021;33;0,00000033;
март 2021;56;0,00000051;
апрель 2021;51;0,00000047;
май 2021;81;0,00000078;
июнь 2021;93;0,00000093;
июль 2021;80;0,00000082;
август 2021;81;0,00000080;
сентябрь 2021;40;0,00000037;
октябрь 2021;41;0,00000036;
ноябрь 2021;37;0,00000031;
декабрь 2021;28;0,00000023;
январь 2022;18;0,00000015;
февраль 2022;16;0,00000013;
март 2022;38;0,00000029;
апрель 2022;55;0,00000046;
май 2022;82;0,00000068;
июнь 2022;42;0,00000039;
июль 2022;54;0,00000051;
август 2022;40;0,00000037;
сентябрь 2022;65;0,00000055;
октябрь 2022;55;0,00000044;
ноябрь 2022;57;0,00000045;
декабрь 2022;21;0,00000016;
январь 2023;22;0,00000017;
февраль 2023;13;0,00000011;
март 2023;14;0,00000011;
апрель 2023;25;0,00000021;
май 2023;43;0,00000038;
июнь 2023;69;0,00000067;
июль 2023;69;0,00000068;
август 2023;59;0,00000058;
сентябрь 2023;58;0,00000053;
октябрь 2023;116;0,00000097;
ноябрь 2023;56;0,00000047;
декабрь 2023;22;0,00000018;
январь 2024;40;0,00000033;
февраль 2024;63;0,00000056;
март 2024;58;0,00000050;
апрель 2024;55;0,00000050;
май 2024;65;0,00000061;
июнь 2024;41;0,00000043;
июль 2024;57;0,00000061;
август 2024;41;0,00000043;
сентябрь 2024;41;0,00000041;
октябрь 2024;43;0,00000038;
ноябрь 2024;26;0,00000022;
декабрь 2024;19;0,00000015;
январь 2025;21;0,00000017;
февраль 2025;15;0,00000013;
март 2025;18;0,00000015;
апрель 2025;26;0,00000022;
май 2025;26;0,00000024;
июнь 2025;30;0,00000028;
